iteration,operation,ns
1,1,26998525
1,2,953749226
1,3,1485984
1,4,2703093
1,5,14356339
1,6,423361
1,7,1455696
1,8,1372228
1,9,35375277
1,10,985305956
2,1,893608576
2,2,1327661
2,3,1343507803
2,4,468652
2,5,465448
2,6,901921
2,7,227190
2,8,820800242
2,9,487347870
2,10,551255
3,1,796305
3,2,860188220
3,3,2061187
3,4,2655757
3,5,6508482
3,6,638837928
3,7,588260
3,8,499613078
3,9,987717
3,10,481857
4,1,31038771
4,2,708906325
4,3,950728
4,4,570981646
4,5,1051247
4,6,629969058
4,7,552851139
4,8,290729792
4,9,579676
4,10,943834
5,1,663110668
5,2,2400570
5,3,980385
5,4,2128769
5,5,776499175
5,6,1640791
5,7,674733
5,8,638875
5,9,503502
5,10,719762108
