iteration,operation,ns
1,1,158223
1,2,496413
1,3,267590
1,4,139709
1,5,74394
1,6,2717339
1,7,874280
1,8,226747
1,9,22568097
1,10,188901
1,11,73804686
1,12,198987
1,13,114271324
1,14,161323
1,15,40414833
1,16,185497
1,17,178801
1,18,62427
1,19,37517591
1,20,862635
1,21,316880
1,22,8434288
1,23,271676
1,24,368499
1,25,249968
1,26,52360684
1,27,152391
1,28,761435
1,29,315543
1,30,249325
1,31,37035560
1,32,18640249
1,33,555458
1,34,686359
1,35,695643
1,36,257095
1,37,503328
1,38,1378726
1,39,28077330
1,40,51661340
1,41,163640
1,42,121119
1,43,97571
1,44,211144
1,45,135737
1,46,42765
1,47,52852
1,48,120266
1,49,94964
1,50,155786
1,51,133284
1,52,94851
1,53,47759
1,54,83174
1,55,53485
1,56,189403
1,57,89345
1,58,15120819
1,59,161439
1,60,104923
1,61,50616
1,62,17470111
1,63,139410
1,64,107031
1,65,92415
1,66,110304
1,67,89146
1,68,84008
1,69,74288
1,70,43299
1,71,90855
1,72,128142
1,73,27453894
1,74,223969
1,75,229440
1,76,125620
1,77,89716
1,78,18466197
1,79,77809
1,80,64249
1,81,12772290
1,82,135555
1,83,59276
1,84,127664
1,85,79050
1,86,59538
1,87,84492
1,88,132251
1,89,66787
1,90,80093
1,91,47856
1,92,44059
1,93,446120
1,94,31780832
1,95,109112
1,96,68781
1,97,51116
1,98,125818
1,99,33594968
1,100,351249
2,1,680507
2,2,3593132
2,3,145339
2,4,344068
2,5,64408202
2,6,25723798
2,7,237802
2,8,430633
2,9,434634
2,10,129006
2,11,65173
2,12,99061
2,13,85653
2,14,177717416
2,15,17891973
2,16,141009
2,17,657567
2,18,245599
2,19,115780
2,20,87689
2,21,264983
2,22,94098188
2,23,166641
2,24,131204
2,25,194700
2,26,89850
2,27,60603
2,28,285246
2,29,180325
2,30,57260
2,31,54032
2,32,45258
2,33,112292
2,34,52657
2,35,4787622
2,36,191245
2,37,62702003
2,38,148419
2,39,158670
2,40,77539382
2,41,151719
2,42,94737
2,43,13576782
2,44,137449
2,45,85724
2,46,70305957
2,47,174958
2,48,60512
2,49,48768
2,50,35614
2,51,91368
2,52,68793
2,53,54562
2,54,76056
2,55,105646
2,56,53227
2,57,120638
2,58,47159
2,59,107225
2,60,98981
2,61,56713
2,62,57498
2,63,147807
2,64,98706
2,65,82250
2,66,62744
2,67,17633294
2,68,181044
2,69,194164
2,70,44910291
2,71,158630
2,72,80188
2,73,126594
2,74,55509
2,75,53826
2,76,86132
2,77,31854393
2,78,138263
2,79,91573
2,80,74798
2,81,141426
2,82,108664
2,83,49487
2,84,18580308
2,85,258613
2,86,138961
2,87,87158
2,88,101357
2,89,30054908
2,90,12288686
2,91,111249
2,92,6793082
2,93,275346
2,94,168231
2,95,178522
2,96,47378
2,97,110151
2,98,48510
2,99,100464
2,100,36573
3,1,562483
3,2,43492591
3,3,106810
3,4,83457
3,5,55927
3,6,135528
3,7,57447
3,8,45229
3,9,117107
3,10,17934813
3,11,61334
3,12,32883
3,13,45252
3,14,4604866
3,15,359100
3,16,130095
3,17,46851947
3,18,80464
3,19,92907
3,20,72258
3,21,53383
3,22,50510
3,23,69070
3,24,54920
3,25,50420
3,26,50659
3,27,58156
3,28,58477
3,29,39414
3,30,59080
3,31,39995983
3,32,143422
3,33,25618646
3,34,34715255
3,35,100650
3,36,73621
3,37,120664
3,38,65750
3,39,60094
3,40,142764
3,41,61480
3,42,82982
3,43,78256
3,44,47540
3,45,74437
3,46,57839
3,47,56280
3,48,55650
3,49,52085
3,50,22451957
3,51,29710354
3,52,105109
3,53,52305
3,54,65605
3,55,97043
3,56,21220851
3,57,142236
3,58,55686
3,59,35701
3,60,40882
3,61,30344
3,62,89714
3,63,47101
3,64,27933
3,65,69612
3,66,88592
3,67,82451
3,68,55747
3,69,77235
3,70,56493
3,71,54014
3,72,20498487
3,73,238758
3,74,89168
3,75,146348
3,76,44312
3,77,1281164
3,78,132332
3,79,109759
3,80,58967
3,81,36188
3,82,38018
3,83,35199
3,84,33241
3,85,16602906
3,86,23180207
3,87,96504
3,88,70312
3,89,78279
3,90,99801
3,91,60017
3,92,51926
3,93,52284
3,94,63341
3,95,59608
3,96,52432
3,97,51955
3,98,16631503
3,99,164255
3,100,93966
4,1,27614587
4,2,20754841
4,3,157720
4,4,339717
4,5,37244129
4,6,80350
4,7,153256
4,8,67760
4,9,164577
4,10,65448
4,11,49430
4,12,49202
4,13,57346
4,14,55255
4,15,52968
4,16,83813
4,17,59182
4,18,58038
4,19,24400
4,20,30928
4,21,49720
4,22,49070
4,23,41504
4,24,38580
4,25,25568
4,26,49199
4,27,58302641
4,28,79143
4,29,42210
4,30,32974046
4,31,91108
4,32,53661
4,33,51421
4,34,76237
4,35,37816705
4,36,48257
4,37,46151337
4,38,40628280
4,39,156108
4,40,51493382
4,41,78034
4,42,55428
4,43,60732
4,44,45093
4,45,50851
4,46,87853
4,47,42157
4,48,58322
4,49,33640708
4,50,99226
4,51,129899
4,52,54018
4,53,67209
4,54,39929
4,55,34753
4,56,40334
4,57,22008
4,58,42622
4,59,34403836
4,60,136083
4,61,49572
4,62,39983
4,63,41813
4,64,66291
4,65,50237
4,66,39413206
4,67,11784862
4,68,170142
4,69,54267
4,70,8916828
4,71,140295
4,72,61432
4,73,30441
4,74,31864
4,75,70665
4,76,213072
4,77,116377
4,78,104731
4,79,225095
4,80,19830998
4,81,166095
4,82,14489849
4,83,24336857
4,84,82117
4,85,22686578
4,86,27686582
4,87,75665
4,88,87038
4,89,103784
4,90,103850
4,91,77388
4,92,29156
4,93,31014
4,94,27515768
4,95,142546
4,96,54510
4,97,42581
4,98,69648
4,99,46295
4,100,76642
5,1,31060104
5,2,30574222
5,3,89277
5,4,28025
5,5,448789
5,6,66413
5,7,32475799
5,8,100099
5,9,48982
5,10,42709
5,11,78382312
5,12,77373
5,13,30369
5,14,69312
5,15,40422
5,16,44802
5,17,36002
5,18,28846
5,19,39202
5,20,21050
5,21,25690
5,22,183450371
5,23,47020979
5,24,47391179
5,25,209703
5,26,246987
5,27,235390
5,28,701672
5,29,518554
5,30,83397
5,31,45811
5,32,25919
5,33,29760528
5,34,77797
5,35,52160
5,36,56458
5,37,19642555
5,38,155740
5,39,53428
5,40,40209
5,41,37474
5,42,67701
5,43,55252
5,44,33032
5,45,51776
5,46,33948
5,47,67583432
5,48,47535767
5,49,65112
5,50,63992
5,51,41473
5,52,25203
5,53,33578
5,54,19147
5,55,14472389
5,56,101454
5,57,83547
5,58,42385591
5,59,56460
5,60,43663878
5,61,152334
5,62,59444
5,63,129096
5,64,223686
5,65,86514
5,66,430185
5,67,49639
5,68,33777
5,69,46759
5,70,19081
5,71,27117
5,72,44327990
5,73,221324
5,74,137015
5,75,37303747
5,76,146950
5,77,62047
5,78,31836794
5,79,136698
5,80,84791
5,81,110430
5,82,17335598
5,83,164658
5,84,9880693
5,85,90985
5,86,81623
5,87,16488035
5,88,203367
5,89,100530
5,90,49002
5,91,74373
5,92,28727
5,93,56046
5,94,48552
5,95,29655
5,96,4604725
5,97,130857
5,98,50522
5,99,57381
5,100,5574451
