iteration,operation,ns
1,1,658841
1,2,43328960
1,3,92381
1,4,54946
1,5,58597826
1,6,264089
1,7,693091
1,8,35096434
1,9,122733
1,10,39368
1,11,35859
1,12,285866
1,13,91073
1,14,18055208
1,15,121632
1,16,13274
1,17,30242
1,18,22991
1,19,23647
1,20,42625676
1,21,185940
1,22,80920
1,23,92099
1,24,14406
1,25,28595
1,26,50721
1,27,30996
1,28,12587
1,29,27664
1,30,37159
1,31,31851154
1,32,96785
1,33,44072
1,34,77921
1,35,32286
1,36,22460
1,37,47400827
1,38,58110
1,39,88608
1,40,26600
1,41,20002
1,42,10064
1,43,38247358
1,44,53979
1,45,6290627
1,46,112591
1,47,27156
1,48,71695
1,49,25589
1,50,22461
1,51,63003
1,52,35569408
1,53,45763529
1,54,57937
1,55,56278
1,56,36074
1,57,19996
1,58,27798
1,59,34986
1,60,13279
1,61,25078
1,62,29599
1,63,56458226
1,64,24284987
1,65,137011
1,66,24001
1,67,40071
1,68,40906
1,69,43504787
1,70,24158782
1,71,77833
1,72,43535019
1,73,83660
1,74,17293536
1,75,80574
1,76,27370
1,77,6142277
1,78,84909
1,79,34546
1,80,15953
1,81,26082
1,82,23524
1,83,22293
1,84,22322
1,85,22166
1,86,22891
1,87,7372040
1,88,85999
1,89,49750
1,90,7949567
1,91,83686
1,92,42564
1,93,42631
1,94,47885
1,95,92719
1,96,48626
1,97,81015
1,98,26680
1,99,13121
1,100,28998
2,1,1174231
2,2,4790568
2,3,33381
2,4,49664869
2,5,83155
2,6,30551
2,7,23902
2,8,20056
2,9,14688
2,10,14124
2,11,60774061
2,12,215195
2,13,982231
2,14,866438
2,15,77710
2,16,95238
2,17,35035552
2,18,120409
2,19,508058
2,20,412113
2,21,44552
2,22,14193602
2,23,168076
2,24,17142
2,25,96290
2,26,31565480
2,27,61560
2,28,14729
2,29,44033
2,30,31256
2,31,91795
2,32,13525709
2,33,121128
2,34,33563231
2,35,54859
2,36,37852
2,37,25531013
2,38,52005
2,39,18129073
2,40,100618
2,41,24304
2,42,85871
2,43,48250
2,44,29945
2,45,19671
2,46,39753
2,47,22145905
2,48,78749
2,49,78692
2,50,21855
2,51,13429
2,52,69690
2,53,28856493
2,54,38307661
2,55,22840801
2,56,154591
2,57,42576
2,58,13870
2,59,9813
2,60,9935
2,61,31883
2,62,51623
2,63,10624
2,64,27801
2,65,10061
2,66,41083445
2,67,88466
2,68,65185
2,69,45638
2,70,25277
2,71,12284
2,72,38252177
2,73,57841
2,74,26537936
2,75,21618030
2,76,69186
2,77,39088
2,78,22324
2,79,72386
2,80,18901623
2,81,69825
2,82,23329
2,83,29169
2,84,62312
2,85,18256
2,86,21375
2,87,22869518
2,88,251022
2,89,68496
2,90,183325
2,91,113448
2,92,25988456
2,93,56545
2,94,14895
2,95,16735
2,96,35061
2,97,11243
2,98,42395
2,99,35152
2,100,24124
3,1,234583
3,2,798445
3,3,79047
3,4,2937534
3,5,30420770
3,6,12435992
3,7,75670
3,8,74628
3,9,13412
3,10,22768
3,11,10646
3,12,24736
3,13,51490
3,14,41757
3,15,22592
3,16,27017
3,17,552566
3,18,23957
3,19,45129
3,20,17532
3,21,39926117
3,22,78204
3,23,51075
3,24,23155999
3,25,58212
3,26,15352083
3,27,127132
3,28,40906409
3,29,43358804
3,30,137576
3,31,9841510
3,32,29441059
3,33,50555
3,34,15703968
3,35,53818
3,36,55209129
3,37,79311
3,38,77944
3,39,69676
3,40,48428
3,41,26718
3,42,28002
3,43,13768
3,44,33236
3,45,23611
3,46,11681
3,47,64898
3,48,52166
3,49,45960
3,50,24630
3,51,11435
3,52,10098
3,53,13076
3,54,31897
3,55,10616
3,56,19364949
3,57,43651
3,58,37388
3,59,42978
3,60,17798
3,61,17255
3,62,20529
3,63,14359
3,64,30407
3,65,21287665
3,66,77470
3,67,18237
3,68,27117
3,69,22313
3,70,41157799
3,71,51511
3,72,81339
3,73,33711
3,74,9842092
3,75,20205663
3,76,76744
3,77,20984
3,78,15756
3,79,12465
3,80,40014
3,81,70157
3,82,21916
3,83,18613
3,84,57259
3,85,21843
3,86,19344
3,87,26402948
3,88,73336
3,89,27655
3,90,29106
3,91,42952
3,92,18508
3,93,91448
3,94,62936
3,95,52879421
3,96,132305
3,97,53348
