iteration,operation,ns
1,1,836655
1,2,166792
1,3,572733
1,4,63630547
1,5,43444134
1,6,15134868
1,7,303124
1,8,150891
1,9,45425001
1,10,38206771
1,11,157115
1,12,114004
1,13,89698
1,14,94273874
1,15,86585
1,16,143555
1,17,106431
1,18,221435
1,19,133227
1,20,102310
1,21,75332
1,22,52414
1,23,181075
1,24,37577026
1,25,245559
1,26,23437134
1,27,316350
1,28,84647
1,29,33427751
1,30,36111822
1,31,96057
1,32,164774
1,33,148585
1,34,14530229
1,35,42734201
1,36,44618335
1,37,251469
1,38,186505
1,39,116651
1,40,74149
1,41,66447
1,42,179132
1,43,576169
1,44,211528
1,45,109919
1,46,559179
1,47,217018
1,48,202171
1,49,2008014
1,50,260582
1,51,51482041
1,52,14081580
1,53,803050
1,54,363572
1,55,737416
1,56,77613303
1,57,152586
1,58,101750
1,59,77922
1,60,62209457
1,61,186305
1,62,115594
1,63,50842961
1,64,1077391
1,65,1298995
1,66,1005981
1,67,1028875
1,68,33051817
1,69,37231398
1,70,30540660
1,71,164147
1,72,160061
1,73,126018
1,74,62673
1,75,45610
1,76,151551
1,77,49212
1,78,56659
1,79,103634
1,80,41806508
1,81,313695
1,82,240731
1,83,113368
1,84,80577
1,85,54004359
1,86,292862
1,87,145088
1,88,166136
1,89,29033278
1,90,227803
1,91,26861961
1,92,219965
1,93,13025621
1,94,242683
1,95,213703
1,96,16346547
1,97,208227
1,98,78599
1,99,12604393
1,100,191467
2,1,64196
2,2,1571421
2,3,88912
2,4,182015
2,5,16279700
2,6,213423
2,7,62407
2,8,46227998
2,9,362207
2,10,108522
2,11,151781
2,12,586060
2,13,1590122
2,14,893576
2,15,299888
2,16,1273600
2,17,1095057
2,18,17304801
2,19,272811
2,20,132401
2,21,58088
2,22,68848
2,23,42485
2,24,58364
2,25,49139
2,26,77533
2,27,110357
2,28,29809712
2,29,35806303
2,30,25942076
2,31,16349804
2,32,202471
2,33,78517
2,34,52943
2,35,42843
2,36,565312
2,37,50800733
2,38,122177
2,39,67783
2,40,44147267
2,41,40591310
2,42,269885
2,43,282772
2,44,221699
2,45,33656675
2,46,132163
2,47,33986651
2,48,90162
2,49,124611
2,50,51053
2,51,33519
2,52,17193908
2,53,194312
2,54,71770
2,55,133417
2,56,125603
2,57,75525301
2,58,43561240
2,59,61068377
2,60,183436
2,61,91461
2,62,4355149
2,63,178137
2,64,132977
2,65,86416
2,66,31306205
2,67,28091789
2,68,202572
2,69,70370
2,70,121220
2,71,43430368
2,72,421400
2,73,40704413
2,74,128504
2,75,88175
2,76,70696
2,77,105288
2,78,88931
2,79,36368119
2,80,176736
2,81,52283
2,82,66742
2,83,45159
2,84,31761566
2,85,263699
2,86,73747
2,87,90112
2,88,44978
2,89,44798
2,90,41459
2,91,5620340
2,92,13519850
2,93,343856
2,94,185290
2,95,175938
2,96,145658
2,97,144702
2,98,246717
2,99,125716
2,100,257907
3,1,593891
3,2,31878763
3,3,248189
3,4,61079
3,5,95901
3,6,40371
3,7,79933
3,8,38320
3,9,15625625
3,10,174854
3,11,76677
3,12,49551
3,13,43145
3,14,27421
3,15,61645
3,16,33733
3,17,14388565
3,18,5207666
3,19,154983
3,20,60680
3,21,980451
3,22,477258
3,23,163106
3,24,21492797
3,25,249777
3,26,47482433
3,27,61005
3,28,31809520
3,29,169047
3,30,62408
3,31,31563
3,32,163088
3,33,41899
3,34,66122
3,35,59057
3,36,55674
3,37,534269
3,38,149462
3,39,30900792
3,40,245011
3,41,113171
3,42,5320365
3,43,63968081
3,44,89625
3,45,55248
3,46,58902
3,47,7648453
3,48,114769
3,49,48586358
3,50,121799
3,51,21214146
3,52,72673
3,53,58152731
3,54,10689577
3,55,24075631
3,56,27436942
3,57,77604
3,58,89448
3,59,62596
3,60,79691784
3,61,178235
3,62,67703
3,63,25563844
3,64,89538
3,65,55229
3,66,54428
3,67,31626
3,68,58382
3,69,48676
3,70,32507763
3,71,83388
3,72,50865792
3,73,39963977
3,74,131750
3,75,28908602
3,76,153465
3,77,57674512
3,78,441326
3,79,140401
3,80,264178
3,81,115765
3,82,128935
3,83,78945
3,84,46378248
3,85,208668
3,86,80133
3,87,19356071
3,88,154532
3,89,56807
3,90,64364
3,91,23640015
3,92,30850120
3,93,10615957
3,94,156632
3,95,154911
3,96,73558
3,97,36781
3,98,59861
3,99,36323
3,100,68206
4,1,681741
4,2,123065
4,3,17482791
4,4,164055
4,5,60472
4,6,30212460
4,7,138338
4,8,49770991
4,9,34159563
4,10,22711637
4,11,69866
4,12,41459
4,13,77175
4,14,40455
4,15,28967
4,16,45686782
4,17,67067
4,18,81368
4,19,45531
4,20,40642
4,21,31800548
4,22,114291
4,23,137484962
4,24,880880
4,25,663595
4,26,380028
4,27,574310
4,28,304959
4,29,161047
4,30,313055
4,31,41139781
4,32,182968
4,33,26158923
4,34,123645
4,35,41185
4,36,34558
4,37,71581
4,38,40930985
4,39,50735
4,40,27220
4,41,45296834
4,42,135872
4,43,51941
4,44,56365
4,45,46493709
4,46,206579
4,47,69442
4,48,53147
4,49,50295
4,50,41154
4,51,111328
4,52,25060
4,53,36132
4,54,60497929
4,55,110881
4,56,14707138
4,57,16849371
4,58,77859
4,59,19426614
4,60,88801
4,61,82242
4,62,42800
4,63,62991
4,64,29701
4,65,49777
4,66,31387096
4,67,161710
4,68,46724
4,69,48266
4,70,42233
4,71,19797343
4,72,81144
4,73,46534
4,74,122672
4,75,42541
4,76,105507
4,77,43743
4,78,97583
4,79,47466
4,80,47711
4,81,49484
4,82,43059
4,83,56060898
4,84,104418
4,85,15934961
4,86,22808191
4,87,153665
4,88,119271
4,89,373470
4,90,123769
4,91,527680
4,92,354795
4,93,111317
4,94,265742
4,95,253396
4,96,82267
4,97,317378
4,98,133094
4,99,18125493
4,100,75446
5,1,556255
5,2,66925
5,3,61459999
5,4,68937199
5,5,143145
5,6,12480936
5,7,855757
5,8,25435127
5,9,198404
5,10,28549422
5,11,126744184
5,12,528735
5,13,26766188
5,14,26199907
5,15,63480
5,16,122112
5,17,59143
5,18,42689
5,19,32879
5,20,31283
5,21,32463825
5,22,76955
5,23,125654
5,24,42448
5,25,35364
5,26,25410
5,27,101105737
5,28,40400925
5,29,68438679
5,30,126520
5,31,114295
5,32,44389
5,33,62216401
5,34,62551
5,35,16755803
5,36,56438302
5,37,121180
5,38,39838
5,39,33625
5,40,32194181
5,41,133415
5,42,57375
5,43,46026
5,44,78769
5,45,39802
5,46,22461
5,47,44650
5,48,1190136
5,49,95253
5,50,37208599
5,51,806935
5,52,158635
5,53,97276
5,54,36955
5,55,32842
5,56,26832733
5,57,94636
5,58,56897234
5,59,67870
5,60,62169
5,61,27874714
5,62,51432015
5,63,62875
5,64,87127873
5,65,112125
5,66,53033
5,67,39160
5,68,23886
5,69,85013
5,70,36237731
5,71,92501
5,72,87319
5,73,174450
5,74,36540179
5,75,92028
5,76,101629
5,77,74386
5,78,45304
5,79,54210
5,80,118145
5,81,58499
5,82,31681077
5,83,223500
5,84,188269
5,85,426404
5,86,26666828
5,87,30298351
5,88,182186
5,89,211284
5,90,98124
5,91,15951111
5,92,303432
5,93,159054
5,94,261811
5,95,310272
5,96,214175
5,97,145331
5,98,137308
5,99,230899
5,100,739200
