;file;mean;median;len;std;conf_1_low;conf_1_high;conf_2_low;conf_2_high
0;results/case-studies/geodist/counter-mixed/;;;0;;;;;
0;results/case-studies/geodist/counter-eventual/;;;0;;;;;
0;results/case-studies/geodist/counter-strong/;;;0;;;;;
0;results/case-studies/geodist/concertTickets-mixed/;;;0;;;;;
0;results/case-studies/geodist/concertTickets-strong/;;;0;;;;;
0;results/case-studies/geodist/eshop-mixed/;;;0;;;;;
0;results/case-studies/geodist/eshop-strong/;;;0;;;;;
0;results/case-studies/geodist/eshop-strong-with-10mswait/;0.9900053532585843;0.0013116364022572242;9;2.796069893536625;-0.06434640490011823;2.0443571114172867;-1.3493422863243687;3.3293529928415353
0;results/case-studies/geodist/messageGroups-mixed/;;;0;;;;;
0;results/case-studies/geodist/messageGroups-causal/;;;0;;;;;
0;results/case-studies/geodist/messageGroups-strong/;;;0;;;;;
0;results/case-studies/geodist/twitterClone-mixed/;;;0;;;;;
0;results/case-studies/geodist/twitterClone-mixed-lesssync/;;;0;;;;;
0;results/case-studies/geodist/twitterClone-strong/;;;0;;;;;
0;results/case-studies/local/counter-mixed/;;;0;;;;;
0;results/case-studies/local/counter-strong/;;;0;;;;;
0;results/case-studies/local/concert-mixed/;;;0;;;;;
0;results/case-studies/local/concert-strong/;;;0;;;;;
0;results/case-studies/local/eshop-mixed/;;;0;;;;;
0;results/case-studies/local/eshop-strong/;;;0;;;;;
0;results/case-studies/local/messageGroups-eventual/;;;0;;;;;
0;results/case-studies/local/messageGroups-strong/;;;0;;;;;
0;results/case-studies/local/twitterClone-mixed/;;;0;;;;;
0;results/case-studies/local/twitterClone-strong/;;;0;;;;;
0;results/case-studies/datacenter/counter-mixed/;;;0;;;;;
0;results/case-studies/datacenter/counter-strong/;;;0;;;;;
0;results/case-studies/datacenter/concert-mixed/;;;0;;;;;
0;results/case-studies/datacenter/concert-strong/;;;0;;;;;
0;results/case-studies/datacenter/eshop-mixed/;;;0;;;;;
0;results/case-studies/datacenter/eshop-strong/;;;0;;;;;
0;results/case-studies/datacenter/eshop-strong-with-10mswait/;1.1008271440207622;0.0711863169631452;9;2.9019646323182204;0.006544229537168711;2.1951100585043557;-1.3271179257572001;3.5287722137987227
0;results/case-studies/datacenter/messageGroups-eventual/;;;0;;;;;
0;results/case-studies/datacenter/messageGroups-strong/;;;0;;;;;
0;results/case-studies/datacenter/twitterClone-mixed/;;;0;;;;;
0;results/case-studies/datacenter/twitterClone-strong/;;;0;;;;;
