iteration,operation,ns
1,1,1814841
1,2,1804287
1,3,1803274
1,4,1976448
1,5,1637949
1,6,1657671
1,7,32326942
1,8,50521625
1,9,1609100
1,10,44261718
1,11,1707254
1,12,2278660
1,13,1481620
1,14,1401384
1,15,46398790
1,16,39414926
1,17,35454745
1,18,1500761
1,19,1415585
1,20,41721001
1,21,43409411
1,22,1661132
1,23,51160991
1,24,1499207
1,25,39226517
1,26,34565739
1,27,46785489
1,28,1410346
1,29,44657288
1,30,1485757
1,31,41359961
1,32,33903069
1,33,49503911
1,34,43083417
1,35,46745390
1,36,47147862
1,37,1422400
1,38,1463522
1,39,47362631
1,40,1504209
1,41,1128431
1,42,45867928
1,43,1581928
1,44,47610762
1,45,1475043
1,46,1421382
1,47,1143940
1,48,36781350
1,49,46667448
1,50,1516677
1,51,1356994
1,52,47392155
1,53,40355806
1,54,42544571
1,55,50185926
1,56,45772507
1,57,1355364
1,58,47595420
1,59,52066940
1,60,1680703
1,61,1366199
1,62,43780789
1,63,1537747
1,64,43148340
1,65,1277513
1,66,1123360
1,67,41174839
1,68,1525137
1,69,42165206
1,70,1707822
1,71,49407953
1,72,1485378
1,73,52816822
1,74,1566271
1,75,1304827
1,76,1249301
1,77,1127756
1,78,1495858
1,79,45906777
1,80,48476620
1,81,1351071
1,82,1453580
1,83,40166044
1,84,43102660
1,85,1403045
1,86,1571474
1,87,44384536
1,88,1448016
1,89,1501555
1,90,46027274
1,91,49964292
1,92,55087444
1,93,1372809
1,94,46839323
1,95,46026327
1,96,1475451
1,97,37885735
1,98,1440975
1,99,36255054
1,100,36685328
2,1,26920138
2,2,41666423
2,3,46577290
2,4,1540339
2,5,45121990
2,6,1551635
2,7,1386451
2,8,43548441
2,9,1934989
2,10,1925689
2,11,1575782
2,12,1342243
2,13,1590198
2,14,1741205
2,15,45766429
2,16,52933032
2,17,41852553
2,18,42895493
2,19,53633985
2,20,1527716
2,21,1521700
2,22,44173051
2,23,1408107
2,24,41748213
2,25,47672926
2,26,1585285
2,27,42111962
2,28,1917088
2,29,45304134
2,30,38010537
2,31,2108094
2,32,47201929
2,33,1399133
2,34,47463762
2,35,1324169
2,36,1030398
2,37,1021941
2,38,40512835
2,39,1691834
2,40,1972634
2,41,1741839
2,42,35946838
2,43,42823833
2,44,1429428
2,45,1362205
2,46,1299095
2,47,1134767
2,48,1069542
2,49,30953809
2,50,46478218
2,51,1639328
2,52,46984651
2,53,1307627
2,54,41654003
2,55,1414458
2,56,49590289
2,57,46321183
2,58,47508371
2,59,1271793
2,60,1402235
2,61,1029691
2,62,1191407
2,63,1179806
2,64,1469933
2,65,50091567
2,66,1709418
2,67,41816545
2,68,1317296
2,69,1191703
2,70,45853239
2,71,1273062
2,72,1383965
2,73,1116729
2,74,39096790
2,75,53603882
2,76,147857872
2,77,1447357
2,78,44892223
2,79,44529314
2,80,45138703
2,81,1175603
2,82,47516984
2,83,1514545
2,84,1471658
2,85,49162165
2,86,1585629
2,87,46859109
2,88,45923333
2,89,1379297
2,90,44937462
2,91,46542115
2,92,44599232
2,93,46311225
2,94,1262940
2,95,1112137
2,96,1129083
2,97,44301387
2,98,50179987
2,99,1471530
2,100,1440522
3,1,32290289
3,2,41022031
3,3,35085230
3,4,41794438
3,5,40795512
3,6,1515734
3,7,1266335
3,8,1459278
3,9,41760138
3,10,1449681
3,11,46117888
3,12,47719064
3,13,47503383
3,14,41896429
3,15,1218077
3,16,1451060
3,17,1097176
3,18,40548376
3,19,47333197
3,20,1285162
3,21,49907223
3,22,1253696
3,23,1078417
3,24,1235185
3,25,43153691
3,26,1652541
3,27,1134912
3,28,1192319
3,29,1055516
3,30,42132821
