iteration,operation,ns
1,1,33864308
1,2,52797265
1,3,49077145
1,4,47248111
1,5,46383718
1,6,44524751
1,7,47618748
1,8,44587984
1,9,46927143
1,10,44112338
1,11,45919350
1,12,40544534
1,13,46254953
1,14,44640241
1,15,47166268
1,16,50711837
1,17,45709939
1,18,45351806
1,19,42882977
1,20,47910138
1,21,48207391
1,22,46789823
1,23,47818407
1,24,45856591
1,25,46607103
1,26,49608407
1,27,47295876
1,28,48040834
1,29,49696665
1,30,45706795
1,31,46898703
1,32,48230498
1,33,49176589
1,34,47714801
1,35,47816247
1,36,48893245
1,37,48239517
1,38,47558111
1,39,45614606
1,40,47394789
1,41,47977473
1,42,50852720
1,43,47606466
1,44,48640763
1,45,46909555
1,46,50401732
1,47,47508990
1,48,50473875
1,49,47174927
1,50,46903298
1,51,45041803
1,52,46948942
1,53,46158815
1,54,48595588
1,55,46386052
1,56,47736071
1,57,48307241
1,58,50161169
1,59,46576282
1,60,47096602
1,61,40959169
1,62,45564471
1,63,45010286
1,64,42664805
1,65,44330460
1,66,47444059
1,67,48961135
1,68,47343419
1,69,46978649
1,70,50778292
1,71,47512309
1,72,48293835
1,73,46076967
1,74,43830762
1,75,50389786
1,76,46315245
1,77,50746702
1,78,47097680
1,79,46530949
1,80,48107803
1,81,47372307
1,82,45904876
1,83,48071201
1,84,47325480
1,85,46864286
1,86,47742559
1,87,44603080
1,88,46635967
1,89,53155522
1,90,47023193
1,91,47142695
1,92,47643997
1,93,51055436
1,94,46683979
1,95,44524374
1,96,52179446
1,97,46824584
1,98,46629787
1,99,45280641
1,100,47190337
2,1,53044634
2,2,46370944
2,3,47199559
2,4,45293310
2,5,45975389
2,6,45602213
2,7,49795342
2,8,45697944
2,9,45824037
2,10,41738050
2,11,46070442
2,12,46082016
2,13,45058732
2,14,46671280
2,15,46212949
2,16,46499658
2,17,47030074
2,18,46258911
2,19,46058986
2,20,47164190
2,21,48963358
2,22,46715167
2,23,51496960
2,24,46487136
2,25,46911488
2,26,46117272
2,27,47304505
2,28,48595035
2,29,45864629
2,30,47432749
2,31,46935974
2,32,50241727
