iteration,operation,ns
1,1,2541981
1,2,2044333
1,3,1385550
1,4,1823912
1,5,1412992
1,6,1400651
1,7,1848913
1,8,1836746
1,9,1354137
1,10,1818805
1,11,1936340
1,12,2407080
1,13,2883871
1,14,2394824
1,15,1688398
1,16,1467903
1,17,1389005
1,18,1970049
1,19,1385103
1,20,2002879
1,21,2000690
1,22,1495660
1,23,1962050
1,24,1940425
1,25,1481693
1,26,1530365
1,27,2146861
1,28,2492968
1,29,2132921
1,30,1925179
1,31,1872295
1,32,2441242
1,33,3029718
1,34,3204269
1,35,2767522
1,36,3402786
1,37,3926136
1,38,3638062
1,39,2698684
1,40,3076251
1,41,2077474
1,42,2382969
1,43,4003238
1,44,3465716
1,45,2866765
1,46,3061225
1,47,2961320
1,48,3708701
1,49,3019028
1,50,2766960
1,51,1810718
1,52,1957851
1,53,3248189
1,54,2330388
1,55,3083916
1,56,2117103
1,57,3133687
1,58,2742082
1,59,3726164
1,60,2668652
1,61,2396981
1,62,3306517
1,63,2490488
1,64,2399469
1,65,3469680
1,66,2636933
1,67,3137339
1,68,2766172
1,69,2135229
1,70,2910087
1,71,2842762
1,72,3644808
1,73,2501921
1,74,4584496
1,75,2131609
1,76,2462655
1,77,3224465
1,78,3036412
1,79,1883500
1,80,2534689
1,81,2545621
1,82,2756196
1,83,3012797
1,84,2825583
1,85,2156573
1,86,2299312
1,87,2436970
1,88,2395786
1,89,2703599
1,90,1994522
1,91,2182658
1,92,2583013
1,93,2425492
1,94,2894045
1,95,2872288
1,96,2931072
1,97,2815878
1,98,2696828
1,99,2691052
1,100,2452262
2,1,2607991
2,2,1893125
2,3,2224835
2,4,2622078
2,5,2078778
2,6,2977051
2,7,2112809
2,8,2890723
2,9,2466068
2,10,2480357
2,11,2910239
2,12,2113204
2,13,2028436
2,14,2768050
2,15,2367954
2,16,2492887
2,17,2393542
2,18,2735901
2,19,2490994
2,20,2683508
2,21,3049329
2,22,2575693
2,23,2975151
2,24,2980979
2,25,2898271
2,26,2924278
2,27,1915503
2,28,2558022
2,29,2835258
2,30,2133988
2,31,3071843
2,32,2812353
2,33,2464111
2,34,2989734
2,35,2805742
2,36,3493942
2,37,2151778
2,38,2623403
2,39,4262778
2,40,4538150
2,41,3994044
2,42,2833682
2,43,2873617
2,44,3200532
2,45,1943255
2,46,3170396
2,47,2358309
2,48,2527976
2,49,1967620
2,50,3273486
2,51,2460539
2,52,2594261
2,53,2728975
2,54,2438970
2,55,2289656
2,56,2753351
2,57,2802060
2,58,2134043
2,59,1838132
2,60,2930452
2,61,2606415
2,62,9468843
2,63,9034547
2,64,3557770
2,65,3427804
2,66,2188800
2,67,2948000
2,68,4302142
2,69,1701622
2,70,2830406
2,71,1797751
2,72,2860450
2,73,2036546
2,74,2069843
2,75,3153222
2,76,1792293
2,77,3158538
2,78,2465773
2,79,1861251
2,80,3015747
2,81,1976953
2,82,2825850
2,83,2600786
2,84,1765885
2,85,3005469
2,86,2573269
2,87,1988711
2,88,2124666
2,89,2877000
2,90,1726677
2,91,1624238
2,92,2575722
2,93,2045718
2,94,2581022
2,95,2331561
2,96,2299362
2,97,3054286
2,98,2374688
2,99,2791855
2,100,2166927
3,1,2402434
3,2,1943707
3,3,2489498
3,4,2083051
3,5,2833837
3,6,2507124
3,7,2274289
3,8,2533629
3,9,2877185
3,10,2716716
3,11,2592831
3,12,2274506
3,13,2668383
3,14,1950453
3,15,2897069
3,16,1713250
3,17,1750709
3,18,2629548
3,19,1862209
3,20,3145376
3,21,3352993
3,22,2474501
3,23,2508297
3,24,2281954
3,25,3444745
3,26,2682908
3,27,2778109
3,28,2870822
3,29,2583397
3,30,3106860
3,31,2730828
3,32,3372514
3,33,2540190
3,34,3048145
3,35,2084724
3,36,3394472
3,37,3513185
3,38,3749183
3,39,2147910
3,40,3000600
3,41,3123627
3,42,2302899
3,43,3208182
3,44,7454789
3,45,2999957
3,46,2191983
3,47,2404542
3,48,2935522
3,49,2490414
3,50,2362836
3,51,2800247
3,52,2814019
3,53,3016393
3,54,3186829
3,55,2183984
3,56,3469153
3,57,3775665
3,58,3620973
3,59,3616319
3,60,3528781
3,61,2443704
3,62,2310771
3,63,2188815
3,64,2494001
3,65,3004376
3,66,2821427
3,67,3448037
3,68,2711720
3,69,3062561
3,70,2038269
3,71,2346034
3,72,3805555
3,73,3429200
3,74,1933395
3,75,2744383
3,76,3588489
3,77,2463570
3,78,3686894
3,79,2555148
3,80,2807726
3,81,3807983
3,82,2926316
3,83,2725727
3,84,3651895
3,85,2866687
3,86,3523237
3,87,3515769
3,88,2810591
3,89,2429159
3,90,2113359
3,91,2745643
3,92,2451018
3,93,3441294
3,94,3726164
3,95,2865801
3,96,3250820
3,97,3378335
3,98,2761824
3,99,2955949
3,100,2737317
4,1,2118650
4,2,2201993
4,3,2360298
4,4,1834397
4,5,1895983
4,6,1622092
4,7,1311020
4,8,1308823
4,9,1582616
4,10,2197652
4,11,2511072
4,12,2773724
4,13,2833118
4,14,2099007
4,15,1830435
4,16,2080242
4,17,1554184
4,18,2260066
4,19,2531638
4,20,1724208
4,21,2083111
4,22,2498744
4,23,2251364
4,24,2377608
4,25,2440000
4,26,2282764
4,27,1993074
4,28,1676541
4,29,2069901
4,30,1896550
4,31,2180849
4,32,2235202
4,33,1359597
4,34,2067233
4,35,1842978
4,36,2560787
4,37,1682565
4,38,2926444
4,39,2476657
4,40,1975898
4,41,2292129
4,42,2420407
4,43,1749792
4,44,2780997
4,45,1487485
4,46,2142276
4,47,1970219
4,48,2303903
4,49,1960410
4,50,2934020
4,51,2045457
4,52,1979422
4,53,2030496
4,54,1760987
4,55,1928958
4,56,2948972
4,57,2777198
4,58,2238589
4,59,1986768
4,60,3196449
4,61,2846658
4,62,2579930
4,63,1659448
4,64,1692139
4,65,1952802
4,66,2164471
4,67,1855906
4,68,2469949
4,69,1742399
4,70,2926803
4,71,2337833
4,72,1703279
4,73,2105733
4,74,2601148
4,75,2926396
4,76,2660348
4,77,2548913
4,78,2661703
4,79,2498173
4,80,2399471
4,81,2377727
4,82,2076123
4,83,2381170
4,84,2805701
4,85,2700481
4,86,2990854
4,87,2046607
4,88,1939116
4,89,2015513
4,90,2146932
4,91,2102603
4,92,2438064
4,93,3075026
4,94,3104554
4,95,2375620
4,96,2493146
4,97,2438933
4,98,2316039
4,99,2618676
4,100,3194781
5,1,2827028
5,2,3021823
5,3,2593253
5,4,2880131
5,5,2406451
5,6,2106159
5,7,1857579
5,8,2435935
5,9,1856495
5,10,2906008
5,11,2224767
5,12,2959920
5,13,2735451
5,14,2468508
5,15,2133441
5,16,3102041
5,17,3089574
5,18,2172629
5,19,2333014
5,20,3496821
5,21,2224057
5,22,2258722
5,23,3533823
5,24,2464544
5,25,3101760
5,26,3313105
5,27,2559350
5,28,2054183
5,29,3076781
5,30,2930934
5,31,2076830
5,32,2213603
5,33,1788723
5,34,1952374
5,35,7285031
5,36,1872869
5,37,2734197
5,38,1991960
5,39,2317975
5,40,2006502
5,41,2650259
5,42,2840987
5,43,2547327
5,44,2260188
5,45,2839938
5,46,2427309
5,47,2216497
5,48,3242244
5,49,3043693
5,50,2443669
5,51,2937790
5,52,1704617
5,53,3265862
5,54,2638050
5,55,3051616
5,56,1799093
5,57,2161760
5,58,2650786
5,59,3083736
5,60,2789481
5,61,2216056
5,62,2518423
5,63,2223907
5,64,3192302
5,65,2238837
5,66,3032253
5,67,1968917
5,68,2355452
5,69,2004976
5,70,2614308
5,71,2024773
5,72,2152098
5,73,1898692
5,74,2184719
5,75,2071760
5,76,2037079
5,77,2490955
5,78,2101444
5,79,1637040
5,80,2053807
5,81,2452910
5,82,1990617
5,83,2180554
5,84,3049097
5,85,2247891
5,86,2448139
5,87,2277124
5,88,2672874
5,89,2331174
5,90,3014206
5,91,2411913
5,92,3296245
5,93,1670086
5,94,2245790
5,95,1839783
5,96,1444697
5,97,2272856
5,98,2357395
5,99,1420001
5,100,1742057
