iteration,operation,ns
1,1,2810531
1,2,3150801
1,3,1537154
1,4,1856574
1,5,34763448
1,6,1647182
1,7,1429335
1,8,1484600
1,9,1405164
1,10,1752576
1,11,1703294
1,12,1509917
1,13,30763095
1,14,2728947
1,15,1470411
1,16,1356985
1,17,1285667
1,18,2332462
1,19,1336540
1,20,1289510
1,21,1340487
1,22,33329396
1,23,35484698
1,24,31192621
1,25,1539336
1,26,2147666
1,27,2245040
1,28,1704651
1,29,2483175
1,30,1724262
1,31,1632561
1,32,1427350
1,33,28175232
1,34,1639175
1,35,1654274
1,36,29842624
1,37,1597817
1,38,2308849
1,39,1346126
1,40,1329335
1,41,31688762
1,42,1734503
1,43,1566642
1,44,1474162
1,45,2650913
1,46,1417798
1,47,1642808
1,48,25099709
1,49,1495235
1,50,1435568
1,51,40192635
1,52,1515329
1,53,1287006
1,54,24722074
1,55,1669679
1,56,1558747
1,57,1245737
1,58,35896018
1,59,1754589
1,60,27990952
1,61,1936605
1,62,1652974
1,63,2626617
1,64,1758311
1,65,57460880
1,66,1506311
1,67,1526080
1,68,1570163
1,69,28064992
1,70,27787648
1,71,2458680
1,72,1201580
1,73,1938156
1,74,2316389
1,75,1382109
1,76,1363849
1,77,2378951
1,78,1383170
1,79,2159129
1,80,2361605
1,81,2509684
1,82,2577738
1,83,1614594
1,84,1499908
1,85,2242858
1,86,1547200
1,87,3450935
1,88,2471446
1,89,1497558
1,90,1047795
1,91,1429077
1,92,1564541
1,93,2253267
1,94,1350719
1,95,1322290
1,96,1323383
1,97,1203758
1,98,30823358
1,99,1803256
1,100,2454143
2,1,2388964
2,2,3918366
2,3,57050600
2,4,1820932
2,5,1735981
2,6,1377099
2,7,1363343
2,8,32654293
2,9,27610237
2,10,1452372
2,11,46453110
2,12,1714046
2,13,109303414
2,14,2955886
2,15,1453927
2,16,2169291
2,17,1330884
2,18,1496923
2,19,1532354
2,20,56828172
2,21,2809999
2,22,1379189
2,23,1421251
2,24,1216542
2,25,26632724
2,26,35234790
2,27,2586282
2,28,2491368
2,29,1533887
2,30,1442146
2,31,27198440
2,32,2593166
2,33,2437335
2,34,2352428
2,35,2479003
2,36,1809800
2,37,1957969
2,38,1421467
2,39,2480886
2,40,2060138
2,41,1689226
2,42,61364914
2,43,1521194
2,44,1586541
2,45,2342250
2,46,2244940
2,47,57414290
2,48,27445719
2,49,1511868
2,50,1628946
2,51,1489177
2,52,21026374
2,53,1765160
2,54,27509549
2,55,2637443
2,56,30414206
2,57,35942092
2,58,1824697
2,59,1363402
2,60,1512499
2,61,1520935
2,62,1368921
2,63,2254235
2,64,1484350
2,65,1362854
2,66,2458409
2,67,30749035
2,68,1728839
2,69,2629484
2,70,1432981
2,71,1187998
2,72,1557637
2,73,36699836
2,74,1619083
2,75,1350405
2,76,1904489
2,77,31724396
2,78,2776571
2,79,5563163
2,80,1909932
2,81,3665087
2,82,1507973
2,83,1457610
2,84,30289601
2,85,1603297
2,86,1423022
2,87,1518343
2,88,2029818
2,89,1371745
2,90,1103889
2,91,2076080
2,92,1265898
2,93,1153180
2,94,1286288
2,95,2219089
2,96,1511555
2,97,1540937
2,98,23115539
2,99,27236037
2,100,1586097
3,1,7929506
3,2,7128628
3,3,40112735
3,4,1388227
3,5,2207342
3,6,1387127
3,7,1280416
3,8,24990037
3,9,1419449
3,10,2328626
3,11,1253088
3,12,2120921
3,13,1314527
3,14,2194693
3,15,25643848
3,16,1613988
3,17,64307252
3,18,2713787
3,19,1633445
3,20,1450988
3,21,2365181
3,22,1407535
3,23,26795175
3,24,1587767
3,25,1550687
3,26,1468702
3,27,1992097
3,28,1458550
3,29,1529717
3,30,1217285
3,31,987882
3,32,1289007
3,33,1258571
3,34,2164939
3,35,25392511
3,36,1435287
3,37,1539992
3,38,1463376
3,39,2221418
3,40,28123952
3,41,1669534
3,42,2463967
3,43,1748518
3,44,32859974
3,45,1746791
3,46,1869930
3,47,2666657
3,48,29342546
3,49,2126432
3,50,61148504
3,51,1780751
3,52,1987161
3,53,1452824
3,54,1670584
3,55,2436052
3,56,1643401
3,57,31099249
3,58,3045320
3,59,1510273
3,60,3633880
3,61,2116455
3,62,30079006
3,63,2231005
3,64,1878093
3,65,2236889
3,66,2310404
3,67,1624523
3,68,1628555
3,69,1736551
3,70,1407919
3,71,1393236
3,72,1513424
3,73,1507049
3,74,1972831
3,75,2964092
3,76,35512701
3,77,2083150
3,78,1623561
3,79,1319264
3,80,1715297
3,81,6088119
3,82,1715769
3,83,1971184
3,84,2215127
3,85,2056286
3,86,2203804
3,87,3739718
3,88,28802643
3,89,33362563
3,90,25977488
3,91,32808826
3,92,1846074
3,93,1439696
3,94,1334392
3,95,2127819
3,96,25816350
3,97,1571803
3,98,1290348
3,99,26586817
3,100,32638001
4,1,8765449
4,2,4657882
4,3,29542949
4,4,28834801
4,5,1758097
4,6,1444941
4,7,1585143
4,8,1720364
4,9,2434550
4,10,30868111
4,11,2046978
4,12,1641016
4,13,1973866
4,14,3856160
4,15,58049434
4,16,1738249
4,17,1546963
4,18,57589127
4,19,2609054
4,20,2306949
4,21,34579828
4,22,1651834
4,23,2464023
4,24,2348242
4,25,1454860
4,26,1305938
4,27,24392143
4,28,2426679
4,29,2278347
4,30,28427654
4,31,2338482
4,32,1247777
4,33,29471394
4,34,1397871
4,35,2174256
4,36,1442113
4,37,1823515
4,38,1579889
4,39,2364375
4,40,2188132
4,41,1201022
4,42,1462259
4,43,1592024
4,44,1002808
4,45,1300620
4,46,2312655
4,47,2356958
4,48,27891947
4,49,1534757
4,50,1534742
4,51,1442544
4,52,1372044
4,53,2141128
4,54,1158639
4,55,1355545
4,56,1597997
4,57,1529790
4,58,2368692
4,59,2223086
4,60,1352705
4,61,1565448
4,62,1687939
4,63,1434315
4,64,2286372
4,65,1343744
4,66,1587670
4,67,1605588
4,68,54035666
4,69,1540900
4,70,35244009
4,71,2458453
4,72,889244
4,73,1251441
4,74,1212699
4,75,1467745
4,76,1209265
4,77,1212320
4,78,25441362
4,79,2277380
4,80,2070642
4,81,26797116
4,82,1625483
4,83,2229439
4,84,2611009
4,85,1498517
4,86,25104161
4,87,2378896
4,88,25205076
4,89,27201052
4,90,34452557
4,91,1409838
4,92,1319667
4,93,1279259
4,94,1415023
4,95,54023282
4,96,28986554
4,97,2319391
4,98,33815577
4,99,2557120
4,100,51946293
5,1,1912153
5,2,2684669
5,3,1370379
5,4,2586520
5,5,1649260
5,6,3120087
5,7,2899642
5,8,1686714
5,9,1540095
5,10,1734137
5,11,2200845
5,12,1421310
5,13,2228207
5,14,1308266
5,15,1666745
5,16,1361060
5,17,29026252
5,18,1416202
5,19,25951932
5,20,2514076
5,21,1372415
5,22,1758743
5,23,1485660
5,24,2426452
5,25,1754112
5,26,1802212
5,27,2314400
5,28,2553713
5,29,1376647
5,30,1285125
5,31,2343536
5,32,1272180
5,33,1659586
5,34,2309062
5,35,1360309
5,36,1437950
5,37,30308754
5,38,2237382
5,39,1414458
5,40,25644287
5,41,1710212
5,42,1158055
5,43,1359136
5,44,2441307
5,45,30920673
5,46,22331517
5,47,2991823
5,48,1742932
5,49,1747749
5,50,1648254
5,51,1612429
5,52,1695454
5,53,1707205
5,54,1525509
5,55,1878719
5,56,32038441
5,57,1334236
5,58,1423073
5,59,1908121
5,60,1271459
5,61,27258175
5,62,1933983
5,63,28138309
5,64,1584974
5,65,2392353
5,66,1461360
5,67,1710843
5,68,1996865
5,69,1795986
5,70,1682087
5,71,2137141
5,72,2058346
5,73,1750036
5,74,34214384
5,75,28335990
5,76,1801368
5,77,29627733
5,78,1486990
5,79,1204622
5,80,1376402
5,81,2306997
5,82,2185693
5,83,1406738
5,84,27560292
5,85,2460295
5,86,1375290
5,87,2289463
5,88,1832999
5,89,1807162
5,90,28160684
5,91,1852138
5,92,30307063
5,93,1907811
5,94,1725538
5,95,1752290
5,96,1429052
5,97,1690824
5,98,25126078
5,99,1422121
5,100,1304515
6,1,25245261
6,2,36221607
6,3,1614082
6,4,2360407
6,5,1270422
6,6,29448690
6,7,29097408
6,8,3774396
6,9,1201855
6,10,2133941
6,11,2166650
6,12,1389656
6,13,25253258
6,14,1512911
6,15,2030045
6,16,1125608
6,17,1328920
6,18,1292285
6,19,1392486
6,20,1658124
6,21,2078838
6,22,36696182
6,23,1278260
6,24,2241766
6,25,1673138
6,26,1452551
6,27,1227440
6,28,1265153
6,29,1410793
6,30,1187002
6,31,1394546
6,32,2181634
6,33,1174975
6,34,26437674
6,35,1320242
6,36,1267473
6,37,1142474
6,38,26841058
6,39,2605197
6,40,1370023
6,41,2089923
6,42,1362420
6,43,1206401
6,44,2689146
6,45,1228185
6,46,31121001
6,47,2460531
6,48,1521203
6,49,1190554
6,50,1283539
6,51,1431817
6,52,1405362
6,53,29324972
