iteration,operation,ns
1,1,113334863
1,2,29707349
1,3,153533035
1,4,33278885
1,5,113341325
1,6,115563996
1,7,114970349
1,8,118257470
1,9,121040100
1,10,29365336
1,11,117307795
1,12,115270293
1,13,123495451
1,14,120197041
1,15,123486809
1,16,116575276
1,17,117624919
1,18,116325313
1,19,114857516
1,20,170138529
1,21,31369547
1,22,33097267
1,23,114279319
1,24,123809031
1,25,120518173
1,26,108250945
1,27,118486485
1,28,29937992
1,29,28045415
1,30,119668370
1,31,33479327
1,32,29419116
1,33,120854235
1,34,149596073
1,35,150808085
1,36,112315151
1,37,119244238
1,38,146026812
1,39,112947868
1,40,29695953
1,41,111984972
1,42,124494456
1,43,110106389
1,44,114161433
1,45,179317947
1,46,142504118
1,47,118336286
1,48,90764568
1,49,116265268
1,50,117408081
1,51,60535561
1,52,142332829
1,53,117617550
1,54,115599809
1,55,115807548
1,56,112892850
1,57,89793781
1,58,175342748
1,59,150081416
1,60,115060791
1,61,115307240
1,62,113737121
1,63,116399363
1,64,143213726
1,65,26264822
1,66,114304656
1,67,118482419
1,68,111961505
1,69,116684519
1,70,31162069
1,71,145022935
1,72,36725334
1,73,117871691
1,74,127757524
1,75,62141824
1,76,124790661
1,77,118437374
1,78,118684465
1,79,129943251
1,80,162355985
1,81,180906252
1,82,124337541
1,83,61932465
1,84,121296247
1,85,35386596
1,86,128437445
1,87,124044884
1,88,113487535
1,89,126694144
1,90,122952454
1,91,127878593
1,92,134547307
1,93,157018195
1,94,107587182
1,95,109133862
1,96,170862129
1,97,115216289
1,98,109114739
1,99,53586600
1,100,176495363
2,1,116612681
2,2,123034010
2,3,117559940
2,4,120976264
2,5,108522697
2,6,28821290
2,7,27499627
2,8,55903196
2,9,139036412
2,10,100844342
2,11,113442806
2,12,104294645
2,13,170092025
2,14,57214485
2,15,118800815
2,16,110684551
2,17,109483317
2,18,112427708
2,19,114962264
2,20,107931664
2,21,51431483
2,22,117329160
2,23,114361048
2,24,106925871
2,25,112374645
2,26,105149306
2,27,104517070
2,28,25976209
2,29,115574080
2,30,167868279
2,31,254113946
2,32,108391035
2,33,167612351
2,34,61350569
2,35,115890584
2,36,109603683
2,37,26134216
2,38,114270588
2,39,143318651
2,40,111437278
2,41,139357912
2,42,29114762
2,43,112357395
2,44,106011724
2,45,113016648
2,46,151119693
2,47,31315089
2,48,107916152
2,49,24086015
2,50,164390840
2,51,57287663
2,52,140366043
2,53,156044028
2,54,62116224
2,55,145007065
2,56,120170849
2,57,124522343
2,58,121957275
2,59,115188120
2,60,31518213
2,61,151813032
2,62,121942549
2,63,113219689
2,64,116441512
2,65,177360493
2,66,116986054
2,67,122000293
2,68,58203448
2,69,118175151
2,70,131331859
2,71,122652722
2,72,123240461
2,73,117829624
2,74,115020517
2,75,33107709
2,76,78666649
2,77,204936846
2,78,111637427
2,79,130538222
2,80,138527733
2,81,55972558
2,82,106921400
2,83,165807372
2,84,115726331
2,85,111086119
2,86,109799087
2,87,133748218
2,88,110473392
2,89,110453142
2,90,22181567
2,91,106937080
2,92,31087840
2,93,112183456
2,94,107861019
2,95,107492767
2,96,111274762
2,97,151379804
2,98,87906998
2,99,7161690
2,100,46033936
3,1,118945904
3,2,113381743
3,3,111282193
3,4,122997049
3,5,27578173
3,6,115039940
3,7,111303416
3,8,109604583
3,9,176557012
3,10,148339387
3,11,34637405
3,12,121138089
3,13,116683262
3,14,28191810
3,15,114271811
3,16,114114734
3,17,57002056
3,18,118059594
3,19,112545757
3,20,126700014
3,21,119165303
3,22,122182009
3,23,110553052
3,24,105092695
3,25,147204101
3,26,113837871
3,27,125479968
3,28,112501530
3,29,29192413
3,30,111008937
3,31,32328144
3,32,31345615
3,33,113936098
3,34,115978344
3,35,58888816
3,36,56771910
3,37,31192418
3,38,127636931
3,39,53718974
3,40,146619198
3,41,152244028
3,42,126901825
3,43,69387218
3,44,120886983
3,45,33140182
3,46,131825631
3,47,167840894
3,48,121266973
3,49,39828945
3,50,130823364
3,51,142497745
3,52,120237133
3,53,192487684
3,54,141206303
3,55,143739928
3,56,75903225
3,57,31723720
3,58,134702378
3,59,127424754
3,60,118483428
3,61,114642664
3,62,121593728
