iteration,operation,ns
1,1,1473305
1,2,1942673
1,3,2142242
1,4,1670854
1,5,2520388
1,6,1574537
1,7,2953980
1,8,1945021
1,9,2658491
1,10,7226792
1,11,1875882
1,12,2585479
1,13,1511527
1,14,1827465
1,15,2799862
1,16,1729286
1,17,1187290
1,18,1976534
1,19,1304478
1,20,1891989
1,21,2171141
1,22,1561536
1,23,2970325
1,24,1687126
1,25,1745771
1,26,1614570
1,27,1308363
1,28,3384983
1,29,1490961
1,30,1145226
1,31,1207305
1,32,4847648
1,33,1489846
1,34,1828218
1,35,1453847
1,36,1946604
1,37,1630578
1,38,1617106
1,39,2658567
1,40,1329591
1,41,1222133
1,42,1617222
1,43,2656715
1,44,2465332
1,45,2384236
1,46,3055326
1,47,848536
1,48,1534796
1,49,1501324
1,50,1316075
1,51,2453354
1,52,1895649
1,53,1667114
1,54,1737067
1,55,1527626
1,56,2859898
1,57,1456963
1,58,1766574
1,59,1429928
1,60,829916
1,61,1455356
1,62,1772305
1,63,1993011
1,64,1721137
1,65,1469184
1,66,1382219
1,67,1420759
1,68,1610663
1,69,3050552
1,70,1196769
1,71,1350235
1,72,1438215
1,73,2163364
1,74,1518550
1,75,3028999
1,76,1585386
1,77,1266906
1,78,1645583
1,79,1810805
1,80,1726636
1,81,1026111
1,82,1673808
1,83,1713767
1,84,2995211
1,85,1815958
1,86,3088404
1,87,3327785
1,88,1700471
1,89,1628514
1,90,1754294
1,91,1875210
1,92,1399279
1,93,1828523
1,94,2833797
1,95,1515790
1,96,1752666
1,97,1781521
1,98,1500370
1,99,1905383
1,100,1639740
2,1,1790748
2,2,2319044
2,3,2084612
2,4,2200727
2,5,1471484
2,6,1348465
2,7,2649691
2,8,3131014
2,9,2597373
2,10,1339479
2,11,1413788
2,12,1171841
2,13,1634792
2,14,3561482
2,15,2066145
2,16,1032094
2,17,1536768
2,18,1762271
2,19,1723526
2,20,1907165
2,21,1071398
2,22,3033270
2,23,1541844
2,24,1606075
2,25,1059700
2,26,1005142
2,27,1860074
2,28,1610633
2,29,1041211
2,30,1772584
2,31,1517469
2,32,1297100
2,33,1720492
2,34,1099372
2,35,1152799
2,36,2902864
2,37,1188084
2,38,2733000
2,39,3074147
2,40,1760463
2,41,1664677
2,42,2752247
2,43,1822274
2,44,1704435
2,45,1390845
2,46,1647905
2,47,3249022
2,48,2934326
2,49,1145726
2,50,1682500
2,51,1643560
2,52,2801266
2,53,1470962
2,54,5337609
2,55,1383101
2,56,1246079
2,57,1756582
2,58,1855282
2,59,1657447
