iteration,operation,ns
1,1,4458154
1,2,3596933
1,3,3294213
1,4,3960034
1,5,3674015
1,6,3635775
1,7,4673235
1,8,4341775
1,9,2139084
1,10,3591503
1,11,81072208
1,12,3174931
1,13,104578348
1,14,2551914
1,15,4729514
1,16,5112160
1,17,4542131
1,18,2407686
1,19,2454062
1,20,3111220
1,21,3112240
1,22,3419223
1,23,2839979
1,24,2502860
1,25,3647594
1,26,111858145
1,27,6945691
1,28,3107279
1,29,3909282
1,30,103837586
1,31,3300351
1,32,1938549
1,33,1779832
1,34,2568409
1,35,3532130
1,36,2457985
1,37,4041537
1,38,2507517
1,39,2223712
1,40,2590883
1,41,3395223
1,42,3202320
1,43,2192835
1,44,2395103
1,45,2082464
1,46,94949232
1,47,2159747
1,48,1915064
1,49,2852990
1,50,2976022
1,51,2815063
1,52,3285329
1,53,2726400
1,54,3039694
1,55,3216544
1,56,118770257
1,57,3996644
1,58,2395239
1,59,2402517
1,60,103118382
1,61,1874403
1,62,2270290
1,63,2346043
1,64,4206224
1,65,4062108
1,66,1906611
1,67,4399349
1,68,3353029
1,69,2912211
1,70,2988763
1,71,2620562
1,72,105651866
1,73,3548554
1,74,3466779
1,75,102955984
1,76,3372455
1,77,2846038
1,78,2956252
1,79,2682637
1,80,98678474
1,81,2363101
1,82,85349566
1,83,3993503
1,84,2796816
1,85,2338133
1,86,2873543
1,87,2903299
1,88,61739715
1,89,2776509
1,90,2530398
1,91,1589636
1,92,2378774
1,93,3288007
1,94,100902911
1,95,3031197
1,96,4592161
1,97,2223641
1,98,4690126
1,99,2379553
1,100,1728324
2,1,2443474
2,2,3138422
2,3,72387905
2,4,47662113
2,5,3394798
2,6,4324950
2,7,47726199
2,8,3139590
2,9,3230737
2,10,80941349
2,11,112136278
2,12,2719857
2,13,85829443
2,14,3272371
2,15,3753510
2,16,82854147
2,17,3082846
2,18,3059174
2,19,2290533
2,20,3188542
2,21,3563603
2,22,58320838
2,23,2682794
2,24,2965756
2,25,1802267
2,26,1522107
2,27,88293089
2,28,4014119
2,29,2223068
2,30,2856504
2,31,2269738
2,32,3151608
