iteration,operation,ns
1,1,6696236
1,2,4166310
1,3,3375902
1,4,2556460
1,5,2474608
1,6,4147251
1,7,2512414
1,8,2682042
1,9,3784768
1,10,3109083
1,11,2398606
1,12,2284672
1,13,2654198
1,14,2836644
1,15,2395092
1,16,3004760
1,17,2189029
1,18,2217770
1,19,2867436
1,20,2949711
1,21,2888930
1,22,2290340
1,23,2755962
1,24,2382674
1,25,2868509
1,26,2691352
1,27,3565695
1,28,2251429
1,29,2693252
1,30,3832526
1,31,3205879
1,32,2828414
1,33,2431159
1,34,3031794
1,35,2619560
1,36,2680999
1,37,5205773
1,38,3930126
1,39,3568132
1,40,2682202
1,41,3212518
1,42,2335288
1,43,2544569
1,44,4163750
1,45,2655099
1,46,4508940
1,47,2045394
1,48,2292842
1,49,3232220
1,50,2399662
1,51,2961939
1,52,2280205
1,53,3188786
1,54,2351098
1,55,2241457
1,56,1827324
1,57,1519155
1,58,3555985
1,59,2999836
1,60,2380453
1,61,2769033
1,62,3787287
1,63,3492773
1,64,2866141
1,65,2344174
1,66,3465545
1,67,5217597
1,68,2560875
1,69,3128412
1,70,2180799
1,71,3286257
1,72,5594958
1,73,2288134
1,74,2119214
1,75,2375832
1,76,2379531
1,77,2159323
1,78,2305262
1,79,3023394
1,80,3026106
1,81,2681510
1,82,3251439
1,83,3554952
1,84,1936464
1,85,4122959
1,86,4081006
1,87,2499965
1,88,3668650
1,89,5083343
1,90,2284481
1,91,2631527
1,92,2728296
1,93,2570112
1,94,3304557
1,95,2251133
1,96,3417215
1,97,2351238
1,98,2961111
1,99,2250405
1,100,2896936
2,1,5337408
2,2,2623416
2,3,2385754
2,4,1605725
2,5,2624040
2,6,2288090
2,7,2749540
2,8,2718676
2,9,3948637
2,10,3965784
2,11,2787907
2,12,2728018
2,13,2842071
2,14,2116611
2,15,1947785
2,16,2685620
2,17,3264910
2,18,2884757
2,19,1977042
2,20,3224952
2,21,2936602
2,22,2579924
2,23,1685530
2,24,1971628
2,25,3051607
2,26,3138776
2,27,3412500
2,28,2273008
2,29,3027554
2,30,3153773
2,31,2396251
2,32,2492841
2,33,2670325
2,34,2891581
2,35,3997767
2,36,3970829
2,37,2379636
2,38,2433645
2,39,4335163
2,40,2225189
2,41,2279012
2,42,1589989
2,43,2570668
2,44,2409771
2,45,4966722
2,46,2004511
2,47,2394963
2,48,2739706
2,49,2222709
2,50,3326217
2,51,2542979
2,52,2508304
2,53,2588718
2,54,3027987
2,55,3259022
2,56,1829798
2,57,3405073
2,58,4981705
2,59,1961813
2,60,3178267
2,61,2108667
2,62,4056884
2,63,3963319
2,64,1923612
2,65,4459077
2,66,3208887
2,67,1925042
2,68,2409789
2,69,2053654
2,70,3420564
2,71,2528497
2,72,2636665
2,73,2086811
2,74,2665403
2,75,2673584
2,76,3551313
2,77,4745477
2,78,1974955
2,79,3114431
2,80,2537660
2,81,3007080
2,82,3168500
2,83,2614663
2,84,2811526
2,85,2335927
2,86,3020231
2,87,2744322
2,88,2635187
2,89,2682227
2,90,3514356
2,91,2143261
2,92,2618709
2,93,1811563
2,94,4088218
2,95,2027408
2,96,3172540
2,97,3554796
2,98,2262061
2,99,2091998
2,100,2067955
3,1,2858606
3,2,2158399
3,3,2404397
3,4,1973523
3,5,2537728
3,6,2767458
3,7,2681681
3,8,5812316
3,9,5254706
3,10,3117902
3,11,2207781
3,12,3007246
3,13,3577622
3,14,4010096
3,15,3130634
3,16,1775404
3,17,2668987
3,18,3431829
3,19,2460606
3,20,2116162
3,21,5527552
3,22,3409367
3,23,3866518
3,24,3300322
3,25,2627609
3,26,2377317
3,27,2495101
3,28,4697932
3,29,3394933
3,30,2567016
3,31,3179990
3,32,3150915
3,33,2462645
3,34,2861393
3,35,1750360
3,36,7306388
3,37,2194024
3,38,2305373
3,39,3607679
3,40,2307422
3,41,1986503
3,42,2824562
3,43,2813514
3,44,2278421
3,45,2716941
3,46,2658788
3,47,2545620
3,48,2396028
3,49,2731504
3,50,2470074
3,51,2768194
3,52,2666968
3,53,2860148
3,54,4583557
3,55,2938339
3,56,2665891
3,57,2125210
3,58,2479689
3,59,3882012
3,60,2582466
3,61,3725465
3,62,4229511
3,63,2645092
3,64,4320729
3,65,3728375
3,66,2308248
3,67,2210432
3,68,2170359
3,69,2890747
3,70,2199362
3,71,4958959
3,72,2485348
3,73,2237922
3,74,3660380
3,75,2929362
3,76,2859987
3,77,2614358
3,78,2415185
3,79,2425341
3,80,2255377
3,81,2419523
3,82,2587916
3,83,2988133
3,84,2364857
3,85,3091932
3,86,3678023
3,87,2942457
3,88,3131067
3,89,3455991
3,90,2467544
3,91,2801938
3,92,2260147
3,93,2817924
3,94,2262187
3,95,3582687
3,96,4820809
3,97,3720972
3,98,2421349
3,99,2966016
3,100,2618063
4,1,2873891
4,2,3124511
4,3,2296275
4,4,4507097
4,5,2320482
4,6,3383519
4,7,2867992
4,8,2115545
4,9,2490059
4,10,2945913
4,11,2497027
4,12,4149001
4,13,4865352
4,14,2908132
4,15,2181951
4,16,2550805
4,17,2898440
4,18,2166197
4,19,3878186
4,20,4349932
4,21,2821633
4,22,4922114
4,23,2985098
4,24,3384790
4,25,2387432
4,26,2428080
4,27,3384883
4,28,3553540
4,29,4235459
4,30,2922703
4,31,2936142
4,32,2665434
4,33,4333358
4,34,2689994
4,35,2112277
4,36,5859664
4,37,2763562
4,38,4103700
4,39,4335118
4,40,2227494
4,41,2012871
4,42,1716700
4,43,2773522
4,44,2693323
4,45,2727059
4,46,1563474
4,47,2805368
4,48,3294075
4,49,3542614
4,50,4217985
4,51,2841440
4,52,3088323
4,53,2442894
4,54,2419297
4,55,4345210
4,56,2229742
4,57,2852493
4,58,2385826
4,59,1969316
4,60,2185294
4,61,2635138
4,62,2073383
4,63,5669892
4,64,2162438
4,65,5180425
4,66,3090770
4,67,4717702
4,68,4205973
4,69,3187968
4,70,4564615
4,71,2367755
4,72,2142420
4,73,2376434
4,74,3314972
4,75,2078123
4,76,2460488
4,77,4883700
4,78,2266600
4,79,2818808
4,80,2329231
4,81,2940165
4,82,3533107
4,83,2227668
4,84,2000932
4,85,2995819
4,86,2869942
4,87,2993159
4,88,2938095
4,89,2578590
4,90,2234048
4,91,3951837
4,92,3595476
4,93,3885434
4,94,2311460
4,95,2625311
4,96,2887476
4,97,1603017
4,98,2918307
4,99,2339523
4,100,2241537
5,1,3087762
5,2,3641721
5,3,2461537
5,4,3964206
5,5,2728782
5,6,3008137
5,7,4041803
5,8,5903665
5,9,2491697
5,10,2032241
5,11,2897066
5,12,2738829
5,13,2118233
5,14,2307291
5,15,2710747
5,16,3134155
5,17,5868205
5,18,1797202
5,19,2590910
5,20,3104466
5,21,2671014
5,22,2605842
5,23,4768966
5,24,3524409
5,25,3056336
5,26,3839732
5,27,1802854
5,28,2012450
5,29,2460317
5,30,2337285
5,31,2402851
5,32,2500160
5,33,2137019
5,34,1992256
5,35,2800174
5,36,2823330
5,37,2372440
5,38,3342120
5,39,3205115
5,40,2235447
5,41,2510792
5,42,2251813
5,43,2080811
5,44,2373596
5,45,2225853
5,46,2430820
5,47,2259152
5,48,2074302
5,49,2088363
5,50,2885602
5,51,2038116
5,52,5023598
5,53,2674072
5,54,5835015
5,55,4488412
5,56,2728594
5,57,3602767
5,58,3941296
5,59,2905042
5,60,5653617
5,61,2202421
5,62,2355831
5,63,2461275
5,64,2914665
5,65,2268186
5,66,2790605
5,67,3746471
5,68,2595728
5,69,6593987
5,70,4360836
5,71,2371829
5,72,2774380
5,73,4804932
5,74,3360032
5,75,2355680
5,76,3412854
5,77,2935189
5,78,2010022
5,79,3185496
5,80,2954819
5,81,2408325
5,82,2583490
5,83,2605204
5,84,2508302
5,85,2916485
5,86,2871614
5,87,2254099
5,88,3225243
5,89,2899806
5,90,3058236
5,91,3984529
5,92,2359648
5,93,2543963
5,94,5727665
5,95,2778860
5,96,2755615
5,97,4394404
5,98,2742861
5,99,2589944
5,100,2571538
6,1,4245690
6,2,4228732
6,3,3213787
6,4,2504283
6,5,2722384
6,6,3088104
6,7,4800364
6,8,4877224
6,9,2742377
6,10,4833075
6,11,2854731
6,12,1836861
6,13,3158051
6,14,4048622
6,15,2944958
6,16,3611256
6,17,2723703
6,18,2992709
6,19,2755335
6,20,2235088
6,21,2923049
6,22,2733985
6,23,2291457
6,24,5361762
6,25,2164955
6,26,3330330
6,27,3060418
6,28,1877795
6,29,2842098
6,30,9511026
6,31,2640493
6,32,3606805
6,33,4213759
6,34,2778838
6,35,2719788
6,36,2003953
6,37,4287510
6,38,2554966
6,39,2289696
6,40,2639371
6,41,1659812
6,42,2771834
6,43,2483703
6,44,2979269
6,45,2844318
6,46,2165195
6,47,2245291
6,48,3123071
6,49,2409776
6,50,5329372
6,51,3805302
6,52,2374992
6,53,2092021
6,54,1515674
6,55,2467617
6,56,2844334
6,57,2648951
6,58,2013703
6,59,4369603
6,60,2470990
6,61,2245262
6,62,3336150
6,63,3432395
6,64,3818673
6,65,2254747
6,66,2258962
6,67,3247863
6,68,2923967
6,69,2629874
6,70,2688304
6,71,2776019
6,72,3057111
6,73,2237485
6,74,2944737
6,75,2449705
6,76,1907456
6,77,1633680
6,78,3455997
6,79,4983471
6,80,3212759
6,81,3293121
6,82,2840910
6,83,2649898
6,84,2102014
6,85,3974780
6,86,2797426
6,87,3824320
6,88,3602646
6,89,1735749
6,90,3305353
6,91,3151082
6,92,3189981
6,93,3300341
6,94,4234871
6,95,3487960
6,96,3092854
6,97,3080093
6,98,2338783
6,99,2445999
6,100,3461766
7,1,2432580
7,2,2136995
7,3,3615294
7,4,2868749
7,5,2508365
7,6,2629061
7,7,2205336
7,8,2218029
7,9,1845885
7,10,3027173
7,11,2951471
7,12,2870793
7,13,2487936
7,14,2180578
7,15,2395434
7,16,2104706
7,17,1621869
7,18,4029227
7,19,2602937
7,20,2195084
7,21,2567610
7,22,5392039
7,23,2549450
7,24,5369099
7,25,4117627
7,26,2465765
7,27,2064265
7,28,2737740
7,29,4501115
7,30,2438715
7,31,3725944
7,32,3632510
7,33,2154539
7,34,2769779
7,35,2638227
7,36,3206389
7,37,1870843
7,38,2606788
7,39,2131732
7,40,2612502
7,41,1817669
7,42,3350419
7,43,2152831
7,44,2320416
7,45,3017754
7,46,2741637
7,47,5594499
7,48,2375840
7,49,5147672
7,50,2315321
7,51,2508643
7,52,2401333
7,53,4606104
