iteration,operation,ns
1,1,13839992
1,2,5331622
1,3,6716893
1,4,276446725
1,5,127023834
1,6,120267834
1,7,5280025
1,8,2491278
1,9,4747061
1,10,119461460
1,11,97153857
1,12,1440553
1,13,5948800
1,14,5279176
1,15,4938489
1,16,5377036
1,17,1116423
1,18,4738831
1,19,133595025
1,20,195231421
1,21,225799986
1,22,5711878
1,23,213371778
1,24,5920774
1,25,8204272
1,26,5831141
1,27,156623830
1,28,1187473
1,29,212591086
1,30,1261903
1,31,132190275
1,32,1452246
1,33,254983743
1,34,5557079
1,35,211660765
1,36,7962810
1,37,11756325
1,38,116344816
1,39,310594517
1,40,5344173
1,41,116341592
1,42,200218890
1,43,109545662
1,44,6296072
1,45,150456120
1,46,5777965
1,47,5502005
1,48,81026304
1,49,5534853
1,50,4941844
1,51,1147907
1,52,108087029
1,53,5789931
1,54,5682603
1,55,55713504
1,56,200182482
1,57,5437773
1,58,88523363
1,59,5674922
1,60,5081686
1,61,220615471
1,62,5415462
1,63,1317043
1,64,5870401
1,65,5448529
1,66,5452767
1,67,191981097
1,68,5847481
1,69,4788129
1,70,113479377
1,71,1096265
1,72,82216222
1,73,87008428
1,74,5728425
1,75,251457564
1,76,1314590
1,77,5840235
1,78,5419498
1,79,82628650
1,80,1354778
1,81,158896861
1,82,5529314
1,83,5010909
1,84,7490067
1,85,6269749
1,86,76717767
1,87,5575124
1,88,1411367
1,89,189437040
1,90,1352255
1,91,5503820
1,92,4854978
1,93,1222865
1,94,5119157
1,95,6232062
1,96,5221191
1,97,222929249
1,98,5254353
1,99,6742727
1,100,1129565
2,1,5896560
2,2,1082931
2,3,1385716
2,4,5490776
2,5,1005839
2,6,160303289
2,7,119991442
2,8,5895719
2,9,97157644
2,10,1166616
2,11,5560338
2,12,151320540
2,13,5688059
2,14,170175376
2,15,7054208
2,16,5070686
2,17,5317984
2,18,99604327
2,19,6503627
2,20,6435941
2,21,5449283
2,22,69017448
2,23,137820299
2,24,5607165
2,25,1241413
2,26,158379543
2,27,1306522
2,28,5588500
2,29,5520927
2,30,5359025
2,31,157872875
2,32,89431707
2,33,98378983
2,34,5692656
2,35,134372574
2,36,101250525
2,37,5620889
2,38,5627932
2,39,5458723
2,40,5826108
2,41,1161053
2,42,5720533
2,43,153517494
2,44,1422978
2,45,102291967
2,46,188818938
2,47,6144810
2,48,5861846
2,49,157827496
2,50,62622997
2,51,127840689
2,52,5986502
2,53,54065954
2,54,5414982
2,55,5318314
2,56,5250074
2,57,157863617
