iteration,operation,ns
1,1,228680761
1,2,121111804
1,3,585821181
1,4,628664902
1,5,371192105
1,6,533337045
1,7,595322628
1,8,490175525
1,9,627783013
1,10,472271729
1,11,565243984
1,12,389887633
1,13,545910923
1,14,493752331
1,15,430407215
1,16,512655598
1,17,517310281
1,18,421268663
1,19,431433114
1,20,618739932
1,21,435389281
1,22,414942766
1,23,569855106
1,24,612319357
1,25,465508779
1,26,552018692
1,27,500187918
1,28,436965360
1,29,383397998
1,30,471060418
1,31,598056219
1,32,623166707
1,33,600109364
1,34,460915907
1,35,545261046
1,36,408325383
1,37,522978695
1,38,485036458
1,39,560804010
1,40,545628547
1,41,476930743
1,42,504293897
1,43,497066330
1,44,430304350
1,45,461305677
1,46,571055082
1,47,648176201
1,48,521451480
1,49,439718910
1,50,469072830
1,51,412816005
1,52,460376779
1,53,847040988
1,54,1343168142
1,55,577958518
1,56,783324372
1,57,529658705
1,58,792258807
1,59,752299887
1,60,555219020
1,61,741456006
1,62,781297940
1,63,492958068
1,64,435011953
1,65,628253767
1,66,517743251
1,67,563880354
1,68,524166747
1,69,581701529
1,70,476773978
1,71,417900554
1,72,400798445
1,73,662000427
1,74,493146025
1,75,611449847
1,76,509341788
1,77,486446342
1,78,491559880
1,79,57122118
1,80,106091123
1,81,532925610
1,82,479983994
1,83,491300971
1,84,537119068
1,85,417592249
1,86,463199003
1,87,650047384
1,88,618744624
1,89,141565165
1,90,480284663
1,91,300856672
1,92,31140999
1,93,29580030
1,94,74611926
1,95,117707185
1,96,107561950
1,97,111200923
1,98,100426997
1,99,116457701
1,100,11439957
2,1,222027103
2,2,347352177
2,3,322851122
2,4,375623133
2,5,289991011
2,6,299253084
2,7,278286674
2,8,343850040
2,9,227878390
2,10,312256253
2,11,286349827
2,12,278082649
2,13,294169289
2,14,48086170
2,15,217114562
2,16,268096936
2,17,235124936
2,18,362716116
2,19,279809545
2,20,275146012
2,21,263825090
2,22,266782028
2,23,274963630
2,24,286181858
2,25,249720533
2,26,274075202
2,27,249833962
2,28,243219719
2,29,295370792
2,30,244590632
2,31,293320662
2,32,294304993
2,33,240835811
2,34,282277535
2,35,274365530
2,36,252925299
2,37,335909035
2,38,262252256
2,39,285236853
2,40,48198591
2,41,50741867
2,42,240320129
2,43,283413340
2,44,298777427
2,45,253596073
2,46,266494911
2,47,260656376
2,48,58482906
2,49,264969780
2,50,306688477
2,51,356187654
2,52,51039167
2,53,255204820
2,54,237715093
2,55,249739426
2,56,24805787
2,57,253563847
2,58,251691540
2,59,252010399
2,60,280663574
2,61,228316223
2,62,306599100
2,63,272688282
2,64,275956590
2,65,252047050
2,66,24659579
2,67,261511773
2,68,284092305
2,69,310537634
2,70,18293594
2,71,184497809
2,72,284169373
2,73,329256380
2,74,319664629
2,75,269799455
2,76,305682644
2,77,294527314
2,78,235515993
2,79,330392026
2,80,310968965
2,81,261665722
2,82,258680557
2,83,53324552
2,84,235139847
2,85,265239331
2,86,246661405
2,87,253955536
2,88,221366049
2,89,28296225
2,90,258304279
2,91,22904685
2,92,260012723
2,93,52013739
2,94,142049763
2,95,214143701
2,96,214870592
2,97,204739624
2,98,25858084
2,99,152559254
2,100,195399430
3,1,187338498
3,2,314124706
3,3,326878652
3,4,314345142
3,5,333658315
3,6,293933011
3,7,53109953
3,8,275130976
3,9,278641726
3,10,278231033
3,11,293196562
3,12,280215481
3,13,49307526
3,14,254268172
3,15,281559332
3,16,280128013
3,17,264580016
3,18,258896549
3,19,299142928
3,20,255987469
3,21,242600903
3,22,496548003
3,23,470528302
3,24,256503259
3,25,350360658
3,26,357404772
3,27,306613901
3,28,47860127
3,29,233682830
3,30,309504480
3,31,287415316
3,32,295359752
3,33,295173886
3,34,256261845
3,35,260505112
3,36,251392910
3,37,278657447
3,38,272465932
3,39,269338281
3,40,265873453
3,41,280398955
3,42,48901866
3,43,237219579
