iteration,operation,ns
1,1,6270286
1,2,7754871
1,3,6093925
1,4,6057653
1,5,4694423
1,6,6479902
1,7,9746929
1,8,5066495
1,9,5179867
1,10,5597328
1,11,5940521
1,12,4090428
1,13,5598641
1,14,6384651
1,15,1137739
1,16,4791082
1,17,4974600
1,18,3622760
1,19,6073604
1,20,4459801
1,21,6310680
1,22,5272191
1,23,5824800
1,24,3422838
1,25,4472722
1,26,5955761
1,27,5317054
1,28,6771162
1,29,3955418
1,30,3733145
1,31,3750166
1,32,3713714
1,33,6384252
1,34,6837368
1,35,4290403
1,36,5970709
1,37,6183390
1,38,6067271
1,39,5511423
1,40,4116055
1,41,1431560
1,42,6046102
1,43,5218041
1,44,5424490
1,45,2547361
1,46,6250615
1,47,6283404
1,48,1329701
1,49,1018886
1,50,5335304
1,51,6121679
1,52,3892883
1,53,5733707
1,54,4403093
1,55,6357112
1,56,6175821
1,57,5608082
1,58,5068915
1,59,3858064
1,60,3554641
1,61,4992385
1,62,4984317
1,63,6523794
1,64,5838124
1,65,3644642
1,66,4736234
1,67,4680194
1,68,1213065
1,69,3423057
1,70,5176801
1,71,5752589
1,72,5568044
1,73,5673273
1,74,4232366
1,75,4915367
1,76,1178765
1,77,3606748
1,78,5712818
1,79,5895300
1,80,5783635
1,81,5473869
1,82,4182352
1,83,5495000
1,84,5981886
1,85,3344409
1,86,1272674
1,87,5468961
1,88,5940520
1,89,4345746
1,90,5337175
1,91,5271211
1,92,4154223
1,93,3660967
1,94,5451112
1,95,3754084
1,96,3854041
1,97,4320962
1,98,5712919
1,99,6954929
1,100,4721860
2,1,6766867
2,2,1120323
2,3,3737610
2,4,5996366
2,5,6119236
2,6,5919537
2,7,4314663
2,8,4273751
2,9,4026137
2,10,4693497
2,11,6082974
2,12,6836219
2,13,5194529
2,14,3715346
2,15,5825582
2,16,4241482
2,17,4597502
2,18,3677686
2,19,4288353
2,20,4182698
2,21,5459437
2,22,4432048
2,23,1452620
2,24,3747810
2,25,4388997
2,26,5614606
2,27,5091761
2,28,3892232
2,29,4705682
2,30,1169998
2,31,6191431
2,32,3806333
2,33,4004914
2,34,5450902
2,35,5414285
2,36,5639926
2,37,3599920
2,38,1158451
2,39,1423788
2,40,894638
2,41,3715753
2,42,3876410
2,43,3214909
2,44,6006394
2,45,6082323
2,46,5550089
2,47,1540193
2,48,8002601
2,49,4846353
2,50,5742476
2,51,4980609
2,52,4913306
2,53,9318209
2,54,6324912
2,55,7930444
2,56,5881268
2,57,5760220
2,58,4932433
2,59,1068621
2,60,5655288
2,61,6222561
2,62,3762120
2,63,4882179
2,64,5780183
2,65,6384027
2,66,3415852
2,67,5424769
2,68,5945475
2,69,6341880
2,70,1569760
2,71,3341577
2,72,6057055
2,73,4043625
2,74,4021570
2,75,4500047
2,76,6091829
2,77,5443490
2,78,3769366
2,79,5372342
2,80,7746572
2,81,6016088
2,82,5757114
2,83,4357369
2,84,5434300
2,85,1358486
2,86,5022135
2,87,5619933
2,88,1296512
2,89,5749325
2,90,5272647
2,91,3397283
2,92,5579113
2,93,6388589
2,94,1229615
2,95,3696400
2,96,3933563
2,97,3735543
2,98,5197635
2,99,4920787
2,100,2911688
3,1,1134012
3,2,4433648
3,3,7158951
3,4,4986678
3,5,4060399
3,6,4101325
3,7,5866606
3,8,4372691
3,9,4335939
3,10,5906350
3,11,3571487
3,12,4130156
3,13,3694379
3,14,5263868
3,15,1431288
3,16,7169612
3,17,5744637
3,18,4076656
3,19,4666534
3,20,4111184
3,21,4121779
3,22,1057050
3,23,5631939
3,24,6276342
3,25,1174919
3,26,857545
3,27,5939734
3,28,5675349
3,29,5375518
3,30,6148137
3,31,4380507
3,32,5464793
3,33,5757006
3,34,1321203
3,35,4981976
3,36,6497996
3,37,4192406
3,38,1156555
3,39,5471125
3,40,5943970
3,41,4179390
3,42,1132579
3,43,4251083
3,44,4056988
3,45,5336400
3,46,5757428
3,47,3663321
3,48,5314606
3,49,4016436
3,50,3981053
3,51,6218709
3,52,3886476
3,53,1238678
3,54,1089711
3,55,5662065
3,56,1298071
3,57,7463797
3,58,1149475
3,59,4229795
3,60,6090778
3,61,1300005
3,62,8694858
3,63,4210148
3,64,5212198
3,65,3942605
3,66,6198825
3,67,6463971
3,68,4557274
3,69,5893075
3,70,5195766
3,71,1153811
3,72,5955197
3,73,1108981
3,74,5824188
3,75,4284497
3,76,4690716
3,77,6434291
3,78,4904941
3,79,4307101
3,80,9480653
3,81,4586219
3,82,1219570
3,83,5445989
3,84,3214947
3,85,3993087
3,86,3831550
3,87,6329727
3,88,5602390
3,89,5396277
3,90,5940814
3,91,3769059
3,92,5515874
3,93,6087125
3,94,4417503
3,95,7430582
3,96,4073446
3,97,5999240
3,98,5570293
3,99,5246905
3,100,3707547
4,1,4300766
4,2,3783236
4,3,7588103
4,4,3687950
4,5,5709435
4,6,4104018
4,7,5904715
4,8,5731720
4,9,3517562
4,10,3769026
4,11,3991493
4,12,4308412
4,13,5823568
4,14,4577812
4,15,6339757
4,16,4956846
4,17,4127251
4,18,4232696
4,19,5351788
4,20,5635760
4,21,6306824
4,22,4469491
4,23,6762937
4,24,1500777
4,25,3962004
4,26,5800683
4,27,4796372
4,28,4770824
4,29,5602349
4,30,3767011
4,31,1095506
4,32,3990482
4,33,6175311
4,34,5678163
4,35,1251443
4,36,3959159
4,37,6101169
4,38,8018804
4,39,5808177
4,40,5720394
4,41,8098350
4,42,4602416
4,43,8026843
4,44,3757377
4,45,5557568
4,46,3465984
4,47,4246510
4,48,5641653
4,49,5518561
4,50,5476173
4,51,4586519
4,52,3801385
4,53,1388881
4,54,4112799
4,55,1023568
4,56,6061083
4,57,1167063
4,58,5304460
4,59,6137900
4,60,4169515
4,61,4013711
4,62,5686394
4,63,1237863
4,64,5497790
4,65,5791918
4,66,6941764
4,67,5681245
4,68,3965180
4,69,4439965
4,70,5987639
4,71,3588047
4,72,5396467
4,73,985201
4,74,5970218
4,75,5763487
4,76,3780024
4,77,3963882
4,78,5539993
4,79,5570212
4,80,3188530
4,81,1209656
4,82,5026532
4,83,1085559
4,84,5721028
4,85,1095036
4,86,1316487
4,87,5138960
4,88,7817816
4,89,5875408
4,90,1136010
4,91,6035204
4,92,5659927
4,93,3933527
4,94,1199463
4,95,5832847
4,96,5095639
4,97,5623926
4,98,4052637
4,99,5931158
4,100,5337525
5,1,7180877
5,2,8079729
5,3,6357939
5,4,3837525
5,5,5860709
5,6,6273455
5,7,7174262
5,8,5783177
5,9,5695799
5,10,1207236
5,11,6284703
5,12,8278949
5,13,4700522
5,14,5992922
5,15,6079790
5,16,6141618
5,17,3579448
5,18,5508228
5,19,4155873
5,20,4039199
5,21,3669524
5,22,4392075
5,23,1389127
5,24,4849750
5,25,5967277
5,26,5974188
5,27,5612110
5,28,4196849
5,29,4387541
5,30,4363103
5,31,5076943
5,32,5754819
5,33,970015
5,34,4603539
5,35,6364688
5,36,5816104
5,37,5480822
5,38,6801494
5,39,4697013
5,40,4006998
5,41,3465628
5,42,3994271
5,43,5883031
5,44,3943549
5,45,3902401
5,46,1116064
5,47,6216322
5,48,1131232
5,49,1023278
5,50,3481531
5,51,6297766
5,52,4450566
5,53,5916999
5,54,5847004
5,55,4286911
5,56,5717993
5,57,1328544
5,58,5909139
5,59,1357412
5,60,5933132
5,61,5438071
5,62,4415249
5,63,6597144
5,64,4280204
5,65,3908211
5,66,4579549
5,67,5722179
5,68,6020547
5,69,4647728
5,70,5625349
5,71,5742206
5,72,6388835
5,73,5704672
5,74,3275016
5,75,1130597
5,76,5901286
5,77,1177303
5,78,5275296
5,79,3770186
5,80,5263961
5,81,9718477
5,82,6935466
5,83,6040721
5,84,6428534
5,85,6398846
5,86,4095321
5,87,5690805
5,88,5606422
5,89,9487139
5,90,8600099
5,91,11063989
5,92,5172504
5,93,1687639
5,94,6559345
5,95,6146519
5,96,4093575
5,97,3621233
5,98,3812123
5,99,1285393
5,100,1066749
