iteration,operation,ns
1,1,3420743
1,2,3278969
1,3,3187996
1,4,3280695
1,5,7544301
1,6,6741054
1,7,3426480
1,8,3049190
1,9,6650781
1,10,7670193
1,11,3018610
1,12,2855439
1,13,6909128
1,14,7042668
1,15,7251687
1,16,2906286
1,17,6231883
1,18,3023159
1,19,7221236
1,20,3257280
1,21,8287158
1,22,6960552
1,23,7436152
1,24,10148389
1,25,8483134
1,26,8066709
1,27,8351742
1,28,7545154
1,29,7559747
1,30,3342965
1,31,3814610
1,32,7830197
1,33,7481273
1,34,7248148
1,35,3712784
1,36,8607292
1,37,6997319
1,38,7760977
1,39,8519586
1,40,9103039
1,41,6604235
1,42,6941862
1,43,6463217
1,44,2718326
1,45,7001359
1,46,3272609
1,47,6518237
1,48,7131324
1,49,6536192
1,50,3035523
1,51,7064201
1,52,6286706
1,53,3264721
1,54,6713191
1,55,7684274
1,56,9655851
1,57,6713811
1,58,6394558
1,59,6481834
1,60,3025806
1,61,7387725
1,62,3439546
1,63,9011083
1,64,7422209
1,65,6484474
1,66,6848496
1,67,3266572
1,68,6725269
1,69,3242386
1,70,3020805
1,71,3348176
1,72,6759871
1,73,7321430
1,74,3275763
1,75,6715872
1,76,2974375
1,77,3239009
1,78,6916854
1,79,7680564
1,80,7066292
1,81,3309125
1,82,6356792
1,83,2906198
1,84,7189334
1,85,2928112
1,86,6527112
1,87,5675643
1,88,6627600
1,89,5726201
1,90,6650809
1,91,6429161
1,92,7758755
1,93,8586436
1,94,7176495
1,95,6839632
1,96,6697270
1,97,5710246
1,98,5296724
1,99,4943990
1,100,5149922
2,1,6186275
2,2,7594635
2,3,6332082
2,4,6604917
2,5,6604954
2,6,3593066
2,7,7335360
2,8,6533393
2,9,6322987
2,10,2836200
2,11,6392958
2,12,6855356
2,13,6101323
2,14,3309547
2,15,3317798
2,16,6834603
2,17,6710121
2,18,6570117
2,19,3061453
2,20,6372457
2,21,2645245
2,22,5662919
2,23,2763626
2,24,6443633
2,25,3125125
2,26,5954760
2,27,7106340
2,28,6923031
2,29,6347848
2,30,7205230
2,31,3192384
2,32,6205088
2,33,3103476
2,34,6138517
2,35,3804622
2,36,2674239
2,37,8106611
2,38,6319104
2,39,5729415
2,40,2833688
2,41,6655609
2,42,3054105
2,43,6968510
2,44,6296399
2,45,7061087
2,46,2800960
2,47,6583612
2,48,2994684
2,49,7148682
2,50,14574458
2,51,6704648
2,52,3032895
2,53,6755463
2,54,6963543
2,55,3209793
2,56,3201955
2,57,3193814
2,58,6869941
2,59,6652913
2,60,6263441
2,61,6595949
2,62,7074371
2,63,7801974
2,64,3433916
2,65,2965197
2,66,7391788
2,67,8195110
2,68,6912643
2,69,8775543
2,70,7738471
2,71,3141614
2,72,7154971
2,73,10810689
2,74,7752256
2,75,7247111
2,76,7588623
2,77,7168892
2,78,6863154
2,79,11207012
2,80,5857240
2,81,7689915
2,82,4177293
2,83,3591394
2,84,7792841
2,85,3334113
2,86,3135137
2,87,3932531
2,88,6856787
2,89,7202890
2,90,5892721
2,91,6353442
2,92,3529870
2,93,6830915
2,94,5945499
2,95,6108035
2,96,5563350
2,97,5908980
2,98,2773971
2,99,6139552
2,100,5533805
3,1,7042188
3,2,6548514
3,3,6002989
3,4,5887094
3,5,6441363
3,6,3086698
3,7,6791490
3,8,2935031
3,9,3470250
3,10,2923130
3,11,6221409
3,12,6239417
3,13,7024494
3,14,6172171
3,15,7128922
3,16,6456804
3,17,5822221
3,18,2712749
3,19,3037429
3,20,3480711
3,21,3282132
3,22,7633635
3,23,6598090
3,24,6130744
3,25,6231669
3,26,6961954
3,27,6515012
3,28,6179008
3,29,6001300
3,30,6661004
3,31,6687360
3,32,6301746
3,33,6855219
3,34,3184052
3,35,6405896
3,36,3433206
3,37,6393861
3,38,6243909
3,39,2549031
3,40,3089292
3,41,6153924
3,42,2867451
3,43,6845387
3,44,6582257
3,45,5644120
3,46,2645907
3,47,3089314
3,48,5984492
3,49,6386887
3,50,7514890
3,51,6008219
3,52,6402213
3,53,6315594
3,54,6420011
3,55,3065583
3,56,3753666
3,57,7123437
3,58,5986840
3,59,6615308
3,60,9962475
3,61,6119271
3,62,3659446
3,63,3166486
3,64,6753628
3,65,7009332
3,66,6890072
3,67,6745678
3,68,6836520
3,69,2986010
3,70,6952368
3,71,6029753
3,72,6309001
3,73,6569033
3,74,2837281
3,75,3137665
3,76,6060387
3,77,6315749
3,78,6790322
3,79,6206192
3,80,6743822
3,81,3308804
3,82,6706385
3,83,3357285
3,84,6663527
3,85,6868333
3,86,7002527
3,87,2831443
3,88,6567633
3,89,3046362
3,90,5924095
3,91,6754222
3,92,10140802
3,93,3340320
3,94,5741934
3,95,7162589
3,96,5437596
3,97,5210144
3,98,6068053
3,99,4935966
3,100,5225860
4,1,7168010
4,2,6462277
4,3,3164851
4,4,6504190
4,5,2993505
4,6,6911080
4,7,3623532
4,8,10686832
4,9,5035694
4,10,3288410
4,11,3244748
4,12,4344064
4,13,3239594
4,14,6551566
4,15,3000339
4,16,5610059
4,17,2755152
4,18,6745690
4,19,6822013
4,20,2930116
4,21,2817930
4,22,2744980
4,23,3197282
4,24,6387974
4,25,8446799
4,26,7042565
4,27,7138696
4,28,6627135
4,29,6605237
4,30,6199914
4,31,7417929
4,32,6623533
4,33,6797280
4,34,2719941
4,35,3062876
4,36,11330340
4,37,7181920
4,38,3012154
4,39,6694599
4,40,3833270
4,41,3165322
4,42,6834010
4,43,6619766
4,44,7647309
4,45,3837319
4,46,4330282
4,47,8394058
4,48,7955696
4,49,3830888
4,50,8617099
4,51,7049530
4,52,3618391
4,53,8569177
4,54,9112242
4,55,3417567
4,56,8191570
4,57,8294418
4,58,7211664
4,59,7671024
4,60,7243793
4,61,7436583
4,62,7473132
4,63,7884912
4,64,7164671
4,65,7665164
4,66,8612196
4,67,5271395
4,68,8038269
4,69,8056596
4,70,8837520
4,71,4605491
4,72,8405640
4,73,7879162
4,74,7841663
4,75,3838537
4,76,4484887
4,77,4135703
4,78,9205739
4,79,8195062
4,80,7953281
4,81,7960139
4,82,7969063
4,83,7332220
4,84,7360278
4,85,6488603
4,86,3097524
4,87,6683172
4,88,6762122
4,89,11078984
4,90,7819999
4,91,7017953
4,92,6392097
4,93,5967597
4,94,2763894
4,95,6661586
4,96,5674070
4,97,2945196
4,98,2408801
4,99,2013032
4,100,5213299
5,1,3610486
5,2,6775633
5,3,5918027
5,4,6914710
5,5,8715928
5,6,7240339
5,7,7261385
5,8,6128416
5,9,6770304
5,10,3757705
5,11,9165131
5,12,6701321
5,13,3031844
5,14,3177927
5,15,7979024
5,16,7348286
5,17,7308612
5,18,7461484
5,19,3346168
5,20,3848305
5,21,3580879
5,22,4983442
5,23,4083561
5,24,13289847
5,25,3859096
5,26,7150986
5,27,10975006
5,28,7579222
5,29,7804790
5,30,7068827
5,31,7945594
5,32,3923419
5,33,3946726
5,34,9104745
5,35,4623331
5,36,10758701
5,37,8528442
5,38,9391073
5,39,13548517
5,40,9997645
5,41,9620001
5,42,9327214
5,43,5343808
5,44,8935272
5,45,5616134
5,46,6816476
5,47,5189787
5,48,5109529
5,49,8608621
5,50,4093394
5,51,7903226
5,52,7099159
5,53,4531695
5,54,10024322
5,55,6640580
5,56,3472261
5,57,2903169
5,58,3516050
5,59,3549630
5,60,6333527
5,61,7415350
5,62,7935721
5,63,7032085
5,64,2996335
5,65,3998473
5,66,7374752
5,67,3953667
5,68,3095160
5,69,3139223
5,70,6596602
5,71,7092115
5,72,2405041
5,73,6767653
5,74,3169715
5,75,6206429
5,76,6669347
5,77,6706454
5,78,3054384
5,79,6693228
5,80,6784338
5,81,6147387
5,82,5805276
5,83,5879385
5,84,7252679
5,85,6382362
5,86,3979375
5,87,6331958
5,88,6133249
5,89,6211489
5,90,6483682
5,91,2782470
5,92,2608862
5,93,2560883
5,94,5873999
5,95,5422999
5,96,6199925
5,97,5376230
5,98,5544730
5,99,5701641
5,100,5688118
6,1,6418105
6,2,3061970
6,3,7119379
6,4,3327819
6,5,6443100
6,6,6817592
6,7,6539475
6,8,3100861
6,9,6306681
6,10,2896396
6,11,5799203
6,12,6807836
6,13,7139269
6,14,7987733
6,15,5758599
6,16,2853076
6,17,5585758
6,18,5966940
6,19,6017803
6,20,5572066
6,21,6450788
6,22,2563802
6,23,6376852
6,24,5749905
6,25,3010111
6,26,6284412
6,27,5589744
6,28,2401445
6,29,6324246
6,30,2194797
6,31,2377412
6,32,2311551
6,33,6621167
6,34,5902175
6,35,6013993
6,36,5841378
6,37,5913371
6,38,2724369
6,39,2501871
6,40,2698033
6,41,2291244
6,42,2622888
6,43,2472438
6,44,6401794
6,45,6544326
6,46,2511694
6,47,6208624
6,48,3092935
6,49,3013887
6,50,6251658
6,51,5973825
6,52,3188669
6,53,6177227
6,54,6571801
6,55,2956561
6,56,6586870
6,57,5979823
6,58,6517706
6,59,5884241
6,60,7253338
6,61,6439864
6,62,3162735
6,63,7616662
6,64,7479328
6,65,7631241
6,66,6795985
6,67,7240526
6,68,6887199
6,69,6813184
6,70,2909482
6,71,5960257
6,72,6263627
6,73,2910309
6,74,2945858
6,75,7815609
6,76,6540178
6,77,3013885
6,78,6401805
6,79,6521808
6,80,5973079
6,81,6065556
6,82,3581685
6,83,6907047
6,84,5760602
6,85,5873515
6,86,2891481
6,87,2732694
6,88,5973978
6,89,2414435
6,90,2574148
6,91,6017025
6,92,2476758
6,93,6110375
6,94,5461082
6,95,2804026
6,96,6950020
6,97,3332039
6,98,2388541
6,99,5796006
6,100,8032463
7,1,5771485
7,2,6331512
7,3,6083928
7,4,3553435
7,5,6611140
7,6,2917839
7,7,2653177
7,8,6296874
7,9,5346059
7,10,6573500
7,11,5906543
7,12,2683182
7,13,3139257
7,14,4046966
7,15,7199437
7,16,6101895
7,17,6332833
7,18,6518714
7,19,3131086
7,20,2668793
7,21,6174635
7,22,2956603
7,23,2767960
7,24,6024144
7,25,2516269
7,26,6032927
7,27,5758969
7,28,6623883
7,29,2410074
7,30,6354445
7,31,6023754
7,32,6141016
7,33,2799014
7,34,6883403
7,35,6679962
7,36,4349211
7,37,3197532
7,38,3057845
7,39,6569059
7,40,5618782
7,41,6004800
7,42,2903073
7,43,8612620
7,44,6057739
7,45,3090546
7,46,2988455
7,47,3101578
7,48,6088251
7,49,5693419
7,50,2796608
7,51,7291877
7,52,6084124
7,53,2963441
7,54,7223599
7,55,3177083
7,56,3065322
7,57,8738924
7,58,8035723
7,59,7041895
7,60,6702244
7,61,3184714
7,62,3256864
7,63,6420838
7,64,2791299
7,65,6140588
7,66,5968253
7,67,6205142
7,68,6560534
7,69,3038792
7,70,6371889
7,71,6975888
7,72,6241094
7,73,5957883
7,74,6793042
7,75,6785786
7,76,2699204
7,77,6046186
7,78,5834863
7,79,7291082
7,80,6091777
7,81,6983869
7,82,3216035
7,83,6106751
7,84,5881957
7,85,7351049
7,86,9382901
7,87,6518334
7,88,5682649
7,89,5953416
7,90,6252373
7,91,6485077
7,92,5770742
7,93,6010268
7,94,8682310
7,95,5066625
7,96,5369549
7,97,2447672
7,98,5265692
7,99,2096688
7,100,5420816
8,1,3065587
8,2,2835165
8,3,6201794
8,4,2906851
8,5,2564607
8,6,6177042
8,7,2728090
8,8,2479281
8,9,2542870
8,10,8929854
8,11,5794923
8,12,5462618
8,13,5522305
8,14,3530097
8,15,8315736
8,16,3342378
8,17,9746660
8,18,2363507
8,19,9249354
8,20,8569775
8,21,6182504
8,22,6152445
8,23,6666734
8,24,6310222
8,25,6396718
8,26,6699657
8,27,6609035
8,28,5938185
8,29,6067327
8,30,3010517
8,31,2930443
8,32,6390771
8,33,6949965
8,34,3169840
8,35,6117529
8,36,2991799
8,37,6270211
8,38,2644199
8,39,3186965
8,40,2791077
