iteration,operation,ns
1,1,7616233
1,2,7289535
1,3,7266167
1,4,4998855
1,5,10413806
1,6,4974171
1,7,8711380
1,8,4370745
1,9,7425399
1,10,8365182
1,11,3697767
1,12,8420848
1,13,7592632
1,14,7904184
1,15,7261027
1,16,7389254
1,17,3597331
1,18,7331080
1,19,4365720
1,20,7999154
1,21,7055156
1,22,6709963
1,23,3862561
1,24,5216561
1,25,7742601
1,26,8559953
1,27,6862615
1,28,8192946
1,29,6865894
1,30,7367076
1,31,4111684
1,32,6552517
1,33,7008069
1,34,3338624
1,35,4071013
1,36,7364642
1,37,7704632
1,38,4766808
1,39,8797378
1,40,4828140
1,41,8198761
1,42,6386524
1,43,4575225
1,44,7586601
1,45,4198426
1,46,7566453
1,47,3861597
1,48,4682819
1,49,4378528
1,50,7879320
1,51,3421207
1,52,7613415
1,53,12387276
1,54,9355336
1,55,4724188
1,56,8173151
1,57,4907995
1,58,4356672
1,59,4375910
1,60,6813118
1,61,6792962
1,62,6640150
1,63,3395684
1,64,6712724
1,65,6852708
1,66,4170546
1,67,7656944
1,68,3697234
1,69,10309791
1,70,4171181
1,71,4799634
1,72,6939174
1,73,4352888
1,74,4157037
1,75,6867821
1,76,3576378
1,77,3291389
1,78,7035907
1,79,6787917
1,80,3692985
1,81,7774705
1,82,7888368
1,83,4101664
1,84,3345093
1,85,3980874
1,86,7433974
1,87,6316850
1,88,6198711
1,89,6944326
1,90,6639221
1,91,6873854
1,92,3344575
1,93,2919485
1,94,7197782
1,95,6285680
1,96,7055466
1,97,4095107
1,98,6630875
1,99,6931045
1,100,6701265
2,1,6551909
2,2,3703846
2,3,7520673
2,4,6372864
2,5,6647967
2,6,3773020
2,7,6139532
2,8,3523722
2,9,6294152
2,10,6460920
2,11,8261639
2,12,6223539
2,13,3690435
2,14,4971143
2,15,6699575
2,16,7052500
2,17,3618926
2,18,6831203
2,19,6726439
2,20,6743211
2,21,3686182
2,22,6606951
2,23,6601255
2,24,7909955
2,25,7043030
2,26,7184091
2,27,4471721
2,28,3202767
2,29,3428033
2,30,6651089
2,31,6639664
2,32,5800172
2,33,6260525
2,34,6759906
2,35,7115860
2,36,6008516
2,37,6063256
2,38,6772024
2,39,6220847
2,40,6616119
2,41,4537243
2,42,6949363
2,43,6964858
2,44,7256146
2,45,6644989
2,46,6447090
2,47,6886678
2,48,6582970
2,49,4374540
2,50,8205906
2,51,4299222
2,52,6949451
2,53,6309252
2,54,3875644
2,55,6802747
2,56,6482825
2,57,3988807
2,58,4243844
2,59,6343364
2,60,6042218
2,61,3892222
2,62,6080488
2,63,6917416
2,64,6774554
2,65,4315021
2,66,6177128
2,67,4316818
2,68,6052570
2,69,8732316
2,70,4267165
2,71,7024575
2,72,3344909
2,73,7135716
2,74,6685320
2,75,3621686
2,76,7681070
2,77,6833672
2,78,3759286
2,79,3849687
2,80,10045894
2,81,6613300
2,82,6752905
2,83,6915202
2,84,4272342
2,85,6581826
2,86,6639318
2,87,8284274
2,88,6872320
2,89,7159117
2,90,7057702
2,91,6580805
2,92,4358164
2,93,7280367
2,94,4549478
2,95,7259410
2,96,5233296
2,97,7424514
2,98,6865341
2,99,3963916
2,100,6908038
3,1,6405405
3,2,6758969
3,3,4414421
3,4,6704505
3,5,3265086
3,6,2983602
3,7,3378805
3,8,6406666
3,9,6193414
3,10,3326698
3,11,3820323
3,12,6887339
3,13,7687670
3,14,3768810
3,15,6580063
3,16,6752043
3,17,7039816
3,18,5725892
3,19,6253182
3,20,6731840
3,21,6784926
3,22,4401009
3,23,6999972
3,24,4420745
3,25,4103008
3,26,7166034
3,27,4421643
3,28,4477471
3,29,4309005
3,30,6882303
3,31,6800208
3,32,6628624
3,33,3864438
3,34,6921136
3,35,6211102
3,36,3921028
3,37,6950195
3,38,6674447
3,39,7474314
3,40,3905788
3,41,4131180
3,42,3824602
3,43,6734884
3,44,8755776
3,45,7436195
3,46,4426784
3,47,7072425
3,48,4900802
3,49,6071423
3,50,6340290
3,51,3279746
3,52,6839908
3,53,6656497
3,54,6442471
3,55,6020798
3,56,4105488
3,57,4747819
3,58,6201801
3,59,5493059
3,60,5370487
3,61,5787086
3,62,4395065
3,63,3429406
3,64,6452298
3,65,6534167
3,66,3206720
3,67,3127840
3,68,6467582
3,69,3501775
3,70,5873592
3,71,6914972
3,72,6012033
3,73,5611657
3,74,3717060
3,75,7090937
3,76,5971102
3,77,5365701
3,78,3628619
3,79,4059630
3,80,6762185
3,81,6477614
3,82,6557165
3,83,3530090
3,84,10658457
3,85,6070524
3,86,6506270
3,87,7757547
3,88,3583859
3,89,3650335
3,90,6224869
3,91,4457249
3,92,5923429
3,93,5842915
3,94,4372815
3,95,4594593
3,96,3179949
3,97,5962309
3,98,6706756
3,99,6699841
3,100,3641105
4,1,6632425
4,2,4094256
4,3,3408986
4,4,6061518
4,5,3654090
4,6,6122640
4,7,6179742
4,8,3701263
4,9,6192609
4,10,6107369
4,11,3655533
4,12,6539542
4,13,5087204
4,14,6604896
4,15,6872802
4,16,6281516
4,17,4210603
4,18,6185852
4,19,3709243
4,20,7329861
4,21,3698569
4,22,6290028
4,23,5274772
4,24,3490627
4,25,6067518
4,26,3455495
4,27,6868056
4,28,7325983
4,29,9718807
4,30,3646855
4,31,6381535
4,32,7171967
4,33,3847094
4,34,6458308
4,35,4015994
4,36,3629307
4,37,6875555
4,38,6272596
4,39,3567078
4,40,7379383
4,41,6438000
4,42,7238903
4,43,4307436
4,44,7948798
4,45,6750782
4,46,6773261
4,47,6698256
4,48,7280552
4,49,6537494
4,50,6853741
4,51,6401766
4,52,3996891
4,53,3790627
4,54,11376888
4,55,4258360
4,56,3806849
4,57,6546187
4,58,7193494
4,59,4203607
4,60,6668554
4,61,6782490
4,62,3731152
4,63,6506628
4,64,7374712
4,65,6489164
4,66,7510035
4,67,7590081
4,68,6492218
4,69,3969197
4,70,7891389
4,71,9218346
4,72,3655690
4,73,5265203
4,74,5482021
4,75,5205447
4,76,6956794
4,77,6785385
4,78,3952392
4,79,4557141
4,80,7514095
4,81,8293780
4,82,6932826
4,83,4138528
4,84,7238705
4,85,4369521
4,86,4044790
4,87,7232145
4,88,7295646
4,89,9472883
4,90,8466402
4,91,7845740
4,92,4793938
4,93,7088632
4,94,6510371
4,95,7323307
4,96,8360084
4,97,6240738
4,98,4426223
4,99,7270895
4,100,4348166
5,1,6525947
5,2,7532776
5,3,4116584
5,4,3703702
5,5,6614930
5,6,4570836
5,7,8872368
5,8,6903744
5,9,3734230
5,10,6969968
5,11,5231826
5,12,3449105
5,13,4491244
5,14,6631501
5,15,7274364
5,16,6559394
5,17,7087188
5,18,4207149
5,19,8350072
5,20,6739447
5,21,3598182
5,22,7437871
