iteration,operation,ns
1,1,1445481
1,2,1465567
1,3,3011300
1,4,1280605
1,5,2571953
1,6,2786999
1,7,1671802
1,8,1206808
1,9,1493335
1,10,1190175
1,11,1407420
1,12,2624351
1,13,1027622
1,14,1109421
1,15,878047
1,16,1108116
1,17,1247888
1,18,2647754
1,19,1578992
1,20,901228
1,21,2224449
1,22,868936
1,23,1168652
1,24,3281822
1,25,1475847
1,26,1293609
1,27,1515806
1,28,2757063
1,29,1049587
1,30,1169889
1,31,1197487
1,32,1358272
1,33,1086740
1,34,1450462
1,35,1229743
1,36,1326742
1,37,1187041
1,38,2530429
1,39,1313603
1,40,1335329
1,41,1484551
1,42,1254031
1,43,1259670
1,44,3057626
1,45,1315836
1,46,1239520
1,47,1290327
1,48,1037355
1,49,1147880
1,50,1813846
1,51,3036690
1,52,2941900
1,53,1092670
1,54,1356769
1,55,1323962
1,56,1404145
1,57,1219692
1,58,1359194
1,59,1007952
1,60,2511558
1,61,1038990
1,62,1463922
1,63,2804455
1,64,3201086
1,65,1439600
1,66,1485052
1,67,1247842
1,68,1473473
1,69,1428622
1,70,1217780
1,71,4543405
1,72,1436512
1,73,2799596
1,74,3106846
1,75,2951520
1,76,1506631
1,77,1005164
1,78,1487446
1,79,1199610
1,80,4099786
1,81,2871125
1,82,1168857
1,83,1243331
1,84,2744116
1,85,2658938
1,86,1645607
1,87,3076328
1,88,1152854
1,89,2646760
1,90,2427642
1,91,2549348
1,92,990401
1,93,1139267
1,94,1336992
1,95,1158608
1,96,1438972
1,97,2567826
1,98,2672776
1,99,1124423
1,100,1380122
2,1,1567808
2,2,1958911
2,3,2800647
2,4,2353525
2,5,1021566
2,6,1031784
2,7,1502043
2,8,3189310
2,9,2676306
2,10,2760575
2,11,981288
2,12,2980402
2,13,3140124
2,14,1458045
2,15,1635185
2,16,3056599
2,17,3448058
2,18,3029901
2,19,1135439
2,20,1517224
2,21,1383486
2,22,1074422
2,23,2811833
2,24,1270213
2,25,1103402
2,26,3621761
2,27,2840177
2,28,1497282
2,29,3245855
2,30,3368772
2,31,4091315
2,32,1758455
2,33,1273112
2,34,1518312
2,35,1168169
2,36,1529076
2,37,1182081
2,38,1566253
2,39,1171790
2,40,1182602
2,41,1214136
2,42,1225420
2,43,2399994
2,44,3051758
2,45,1416100
2,46,1511261
2,47,2287859
2,48,1315367
2,49,1164330
2,50,1155291
2,51,1246150
2,52,2967637
2,53,1080080
2,54,1231939
2,55,1390612
2,56,1348286
2,57,3038776
2,58,3212968
2,59,1337653
2,60,2675769
2,61,1313672
2,62,1425679
2,63,1386212
2,64,1306279
2,65,3194148
2,66,1250488
2,67,1414266
2,68,2769181
2,69,1444405
2,70,3403315
2,71,2815352
2,72,2640948
2,73,2427567
2,74,2872816
2,75,1689645
2,76,1382267
2,77,3045520
2,78,1418141
2,79,1395535
2,80,2676056
2,81,1232483
2,82,1115158
2,83,2900224
2,84,1145620
2,85,2998456
2,86,1518667
2,87,2655541
2,88,1061261
2,89,2649193
2,90,1187959
2,91,3032635
2,92,1242537
2,93,1537643
2,94,2781574
2,95,1197750
2,96,1190813
2,97,1372677
2,98,1217098
2,99,1198784
2,100,1528712
3,1,3019876
3,2,1173678
3,3,1421083
3,4,1655544
3,5,1339269
3,6,1374915
3,7,1467159
3,8,1497275
3,9,1540533
3,10,2588274
3,11,1293977
3,12,1104281
3,13,1325556
3,14,956861
3,15,1415303
3,16,1079510
3,17,1132144
3,18,2150229
3,19,1230755
3,20,1031862
3,21,1112883
3,22,2662385
3,23,2596339
3,24,2156532
3,25,1153959
3,26,2259302
3,27,2422734
3,28,1841324
3,29,1393381
3,30,1334655
3,31,1027295
3,32,2618493
3,33,2712065
3,34,1989556
3,35,2412853
3,36,2913778
3,37,4552805
3,38,2031227
3,39,1205368
3,40,1263288
3,41,1189060
3,42,808765
3,43,1015446
3,44,1126100
3,45,2862306
3,46,1419548
3,47,1243297
3,48,1566794
3,49,1591061
3,50,2968226
3,51,1273896
3,52,1248736
3,53,2781381
3,54,1419667
3,55,1322966
3,56,1367378
3,57,1111745
3,58,2905672
3,59,2936824
3,60,1223869
3,61,1271914
3,62,1463939
3,63,1123932
3,64,1424054
3,65,2711856
3,66,1221301
3,67,2548202
3,68,842437
3,69,2640757
3,70,1100528
3,71,2393971
3,72,955981
3,73,2906811
3,74,1450120
3,75,908612
3,76,2727486
3,77,1407806
3,78,1502842
3,79,1316752
3,80,2497766
3,81,1467147
3,82,1107431
3,83,1219073
3,84,2853740
3,85,2693493
3,86,1378804
3,87,2348795
3,88,1297932
3,89,3106978
3,90,4380159
3,91,1329925
3,92,2752838
3,93,2861172
3,94,3236452
3,95,3621683
3,96,1234014
3,97,1496546
3,98,3005641
3,99,1572855
3,100,1846882
4,1,2778763
4,2,2941868
4,3,3082811
4,4,1344176
4,5,1450203
4,6,1312870
4,7,1720640
4,8,3286039
4,9,1145630
4,10,3471722
4,11,1545814
4,12,3458947
4,13,1753307
4,14,3623719
4,15,1533991
4,16,1334065
4,17,1317278
4,18,1636183
4,19,3000838
4,20,1491007
4,21,2982668
4,22,1255996
4,23,2883391
4,24,1169116
4,25,3307005
4,26,3428205
4,27,2696389
4,28,1232634
4,29,1298083
4,30,1613996
4,31,1600743
4,32,2676029
4,33,1326845
4,34,2641680
4,35,2618704
4,36,1237616
4,37,2841066
4,38,1480138
4,39,2501891
4,40,1069997
4,41,1633106
4,42,1069165
4,43,1355736
4,44,1196110
4,45,1445887
4,46,1294947
4,47,2694870
4,48,2240558
4,49,2132417
4,50,2861216
4,51,1138931
4,52,876373
4,53,2853439
4,54,1246483
4,55,1053175
4,56,2373325
4,57,1233335
4,58,2227142
4,59,2234466
4,60,2198379
4,61,1013350
4,62,2265118
4,63,1354604
4,64,2179305
4,65,1197151
4,66,2296539
4,67,973437
