iteration,operation,ns
1,1,2368527
1,2,3691570
1,3,2135271
1,4,4399730
1,5,1406478
1,6,2956667
1,7,1359893
1,8,1673424
1,9,1490793
1,10,1785360
1,11,1954608
1,12,1816688
1,13,1612478
1,14,3389464
1,15,1550875
1,16,1917292
1,17,3400785
1,18,3688886
1,19,2432878
1,20,3439111
1,21,1474110
1,22,1544343
1,23,1720483
1,24,1860744
1,25,3514742
1,26,1433936
1,27,3182581
1,28,1846543
1,29,1766971
1,30,2056430
1,31,3146554
1,32,1720091
1,33,3917699
1,34,2050396
1,35,1690984
1,36,5010003
1,37,1551254
1,38,1473561
1,39,1865588
1,40,1528005
1,41,1576485
1,42,3433569
1,43,3138933
1,44,5784277
1,45,3499821
1,46,3902530
1,47,1946027
1,48,3817949
1,49,2080007
1,50,1745262
1,51,1592795
1,52,2018021
1,53,1843933
1,54,2138908
1,55,1595572
1,56,2343865
1,57,2223556
1,58,3804286
1,59,2176144
1,60,1799430
1,61,1741298
1,62,3255561
1,63,4401139
1,64,1522324
1,65,2149994
1,66,3407649
1,67,3439509
1,68,3359747
1,69,1917344
1,70,3066438
1,71,3442429
1,72,2034756
1,73,2057513
1,74,3984921
1,75,1924196
1,76,3452885
1,77,3492926
1,78,1442664
1,79,3497546
1,80,1751941
1,81,3771098
1,82,1760664
1,83,3459159
1,84,3164357
1,85,1852055
1,86,3700762
1,87,1821334
1,88,3304149
1,89,1655851
1,90,1548778
1,91,3679374
1,92,1708804
1,93,3869963
1,94,1924490
1,95,3657455
1,96,1553306
1,97,4376758
1,98,2197700
1,99,1819009
1,100,3310000
2,1,1788417
2,2,1621957
2,3,1611453
2,4,1634404
2,5,3591316
2,6,1562008
2,7,4986836
2,8,3604834
2,9,1982255
2,10,3236328
2,11,2873040
2,12,1674066
2,13,1647785
2,14,3627358
2,15,2812378
2,16,1693172
2,17,1465136
2,18,2933292
2,19,1590660
2,20,1626656
2,21,1850291
2,22,1863065
2,23,3774417
2,24,1810376
2,25,1834358
2,26,1854447
2,27,4136763
2,28,1673175
2,29,3381641
2,30,1568670
2,31,3307362
2,32,1653113
2,33,1432892
2,34,1547579
2,35,3141309
2,36,1755052
2,37,1826229
2,38,3663535
2,39,2888398
2,40,3567992
2,41,2159624
2,42,3839687
2,43,1911715
2,44,1645136
2,45,1866341
2,46,3083763
2,47,1703266
2,48,1328489
2,49,3439531
2,50,1319276
2,51,1672445
2,52,1782816
2,53,1657649
2,54,3451625
2,55,1480478
2,56,1659508
2,57,3098063
2,58,1789465
2,59,2989268
2,60,1374557
2,61,2832430
2,62,2827722
2,63,2742914
2,64,3176781
2,65,1347791
2,66,1483731
2,67,3054329
2,68,2863790
2,69,2777299
2,70,1684852
2,71,1422812
2,72,1479519
2,73,1630961
2,74,1533572
2,75,1857317
2,76,1848957
2,77,1794864
2,78,1651690
2,79,1563144
2,80,2921244
2,81,1493721
2,82,3575066
2,83,1714582
2,84,2076812
2,85,1883871
2,86,2005613
2,87,1973570
2,88,3669245
2,89,3347538
2,90,2914393
2,91,1523453
2,92,2980132
2,93,1743061
2,94,1952859
2,95,2515449
2,96,1355458
2,97,1798614
2,98,2767296
2,99,1543801
2,100,3046482
3,1,2378706
3,2,4946908
3,3,4052104
3,4,2115752
3,5,3611945
3,6,3307779
3,7,3664778
3,8,3362853
3,9,3028819
3,10,2122502
3,11,2039019
3,12,2116637
3,13,1766527
3,14,1617351
3,15,1972196
3,16,1833838
3,17,3117987
3,18,1731773
3,19,2831296
3,20,1230500
3,21,3093941
3,22,3364564
3,23,4114255
3,24,1695626
3,25,1868730
3,26,1530292
3,27,1622500
3,28,1588890
3,29,3431007
3,30,2657506
3,31,2463564
3,32,1723097
3,33,2568700
3,34,1340748
3,35,2587706
3,36,1405735
3,37,1682123
3,38,1527502
3,39,3454861
3,40,1364661
3,41,3006587
3,42,1638437
3,43,1630794
3,44,1732717
3,45,1285103
3,46,1591815
3,47,3351179
3,48,3236462
3,49,1492021
3,50,1363385
3,51,2762027
3,52,3829611
3,53,3319744
3,54,1770339
3,55,1403693
3,56,1607324
3,57,1984033
3,58,1703856
3,59,2919604
3,60,1990976
3,61,2019589
3,62,1619497
3,63,1355776
3,64,1629669
3,65,1388009
3,66,1411186
3,67,1683256
3,68,1544842
3,69,3698247
3,70,1654137
3,71,1845837
3,72,1508030
3,73,1623039
3,74,1850054
3,75,3287268
3,76,1564524
3,77,1671884
3,78,1532619
3,79,3284151
3,80,1548745
3,81,1304168
3,82,1918421
3,83,1546638
3,84,2067171
3,85,3313650
3,86,1584212
3,87,1839016
3,88,1842752
3,89,3924841
3,90,1474718
3,91,1306251
3,92,1801942
3,93,1549254
3,94,3464157
3,95,3192195
3,96,3174608
3,97,1841499
3,98,1762955
3,99,1838378
3,100,3205975
4,1,1962700
4,2,2446169
4,3,3693637
4,4,2096500
4,5,1545956
4,6,1318271
4,7,1426402
4,8,1811872
4,9,1672095
4,10,3585393
4,11,1616616
4,12,1764228
4,13,3412157
4,14,1684551
4,15,3545085
4,16,1676972
4,17,1907931
4,18,1895551
4,19,2068945
4,20,1809030
4,21,3087308
4,22,1581031
4,23,3918062
4,24,2888443
4,25,2638931
4,26,1332407
4,27,3220461
4,28,1326868
4,29,1909446
4,30,1549694
4,31,1723507
4,32,2971219
4,33,3508185
4,34,1590642
4,35,1956740
4,36,1674231
4,37,1622920
4,38,1438723
4,39,3127091
4,40,1482004
4,41,1891881
4,42,1697832
4,43,3396972
4,44,2037576
4,45,3085123
4,46,1957920
4,47,1738166
4,48,1668989
4,49,3188585
4,50,2075262
4,51,1397565
4,52,1572795
4,53,1656540
4,54,1741630
4,55,1581999
4,56,1444257
4,57,1738195
4,58,1602794
4,59,1457088
4,60,4179742
4,61,3188578
4,62,1410736
4,63,1920997
4,64,3127792
4,65,1526509
4,66,1392149
4,67,1447485
4,68,1904802
4,69,1734773
4,70,3248325
4,71,4929590
4,72,1424399
4,73,2537253
4,74,1420423
4,75,1429560
4,76,3436168
4,77,1707862
4,78,1833962
4,79,1819489
4,80,1419780
4,81,3120060
4,82,1551000
4,83,1884253
4,84,2496391
4,85,1809394
4,86,1391526
4,87,1730401
4,88,1917555
4,89,1917917
4,90,1527589
4,91,2149085
4,92,1820612
4,93,1694546
4,94,1746751
4,95,1711700
4,96,2069838
4,97,4067423
4,98,1822594
4,99,1820246
4,100,2234734
5,1,2113402
5,2,3060332
5,3,2582737
5,4,1535541
5,5,2991875
5,6,2772789
5,7,2501882
5,8,1574411
5,9,3153017
5,10,1330631
5,11,1500290
5,12,1819951
5,13,1657242
5,14,1689935
5,15,3336778
5,16,1776608
5,17,3001130
5,18,3482268
5,19,2037373
5,20,3464470
5,21,1942345
5,22,1545382
5,23,3655716
5,24,3717522
5,25,3132317
5,26,3459188
5,27,4189165
5,28,1649484
5,29,1432237
5,30,2957995
5,31,1429102
5,32,1588771
5,33,3233516
5,34,1736427
5,35,3214149
5,36,1523386
5,37,1656478
5,38,2807982
5,39,1440962
5,40,1855793
5,41,3239701
5,42,3051531
5,43,2991539
5,44,3273941
5,45,1642480
5,46,3551772
5,47,3660046
5,48,1672156
5,49,3455545
5,50,2018412
5,51,5751393
5,52,2169402
5,53,2034702
5,54,2121212
5,55,2193855
5,56,5410639
5,57,2228822
5,58,3471585
5,59,1612548
5,60,1756525
5,61,3632832
5,62,3085214
5,63,2984607
5,64,1648245
5,65,1361733
5,66,1887689
5,67,1877912
5,68,1706144
5,69,3227821
5,70,3126847
5,71,1432533
5,72,1428350
5,73,2807346
5,74,1207262
5,75,1252050
5,76,2961750
5,77,1562107
5,78,1444609
5,79,3140167
5,80,1258789
5,81,1489729
5,82,2916617
5,83,1273540
5,84,1662694
5,85,2947104
5,86,1502743
5,87,1655120
5,88,1601940
5,89,3465149
5,90,1558449
5,91,3781504
5,92,2983114
5,93,1417255
5,94,1280283
5,95,3164225
5,96,1620466
5,97,3186558
5,98,2332511
5,99,1408554
5,100,1559777
6,1,2373343
6,2,1668507
6,3,3220088
6,4,1653222
6,5,2943161
6,6,1238608
6,7,3181286
6,8,1440211
6,9,1537634
6,10,1457190
6,11,1725506
6,12,1613457
6,13,1520892
6,14,2765020
6,15,1433151
6,16,3359197
6,17,2534885
6,18,1419465
6,19,1541180
6,20,3337624
6,21,1527685
6,22,1157020
6,23,2927876
6,24,1529116
6,25,1472679
6,26,2885681
6,27,2433628
6,28,3303540
6,29,1644187
6,30,1778285
6,31,1727109
6,32,1508821
6,33,1762353
6,34,3133885
6,35,1762238
6,36,3635899
6,37,1607961
6,38,2796029
6,39,2769718
6,40,1389282
6,41,2828458
6,42,3005762
6,43,1478733
6,44,1140479
6,45,1711636
6,46,1526400
6,47,2484392
6,48,1655405
6,49,1816140
6,50,1478398
6,51,1891169
6,52,2969522
6,53,1325235
6,54,1528554
6,55,1522566
6,56,1390596
6,57,3305834
6,58,3161155
6,59,2383533
6,60,2502763
6,61,2546024
6,62,1724852
6,63,1091381
6,64,1856201
6,65,1459180
6,66,1599235
6,67,1328051
6,68,2961715
6,69,1831032
6,70,1873812
6,71,1546108
6,72,1538791
