iteration,operation,ns
1,1,4640758
1,2,201804
1,3,18506666
1,4,14637842
1,5,610831
1,6,5151807
1,7,592850
1,8,19519256
1,9,857813
1,10,253123
1,11,723670
1,12,18815247
1,13,643358
1,14,20952790
1,15,4638023
1,16,449847
1,17,479220
1,18,555947
1,19,18685220
1,20,642138
1,21,218320
1,22,17590843
1,23,6178211
1,24,685374
1,25,165023
1,26,13485044
1,27,466718
1,28,16369826
1,29,19246282
1,30,15454801
1,31,688874
1,32,521774
1,33,22372586
1,34,6637445
1,35,301458
1,36,4869928
1,37,19284974
1,38,276774
1,39,4916643
1,40,611146
1,41,20261958
1,42,607284
1,43,4668890
1,44,22158922
1,45,776738
1,46,20316777
1,47,546813
1,48,593465
1,49,18472651
1,50,806095
1,51,628936
1,52,628954
1,53,509881
1,54,4501267
1,55,17191057
1,56,522788
1,57,18374571
1,58,498163
1,59,718505
1,60,520693
1,61,3960977
1,62,432070
1,63,180850
1,64,763086
1,65,162925
1,66,17909911
1,67,14832614
1,68,2992008
1,69,2683958
1,70,13529351
1,71,15661802
1,72,14617336
1,73,563977
1,74,385797
1,75,15478699
1,76,547773
1,77,555140
1,78,16402454
1,79,575110
1,80,4097459
1,81,17306458
1,82,503320
1,83,749186
1,84,550882
1,85,558947
1,86,448690
1,87,647115
1,88,4010946
1,89,516741
1,90,203239
1,91,209667
1,92,616257
1,93,16379028
1,94,884444
1,95,615787
1,96,3220210
1,97,3643442
1,98,463002
1,99,15464706
1,100,191997
2,1,464331
2,2,3215994
2,3,15136632
2,4,210104
2,5,511494
2,6,191807
2,7,17387479
2,8,4659676
2,9,19999336
2,10,20158400
2,11,722014
2,12,531438
2,13,220848
2,14,17887921
2,15,232487
2,16,466671
2,17,15966516
2,18,138420
2,19,405309
2,20,543549
2,21,16273132
2,22,17182878
2,23,545883
2,24,3843751
2,25,493010
2,26,174851
2,27,3678544
2,28,166383
2,29,749900
2,30,3796875
2,31,3391012
2,32,14741762
2,33,14509630
2,34,187580
2,35,480256
2,36,15520427
2,37,14821055
2,38,2946012
2,39,13910134
2,40,542176
2,41,164236
2,42,476191
2,43,490461
2,44,619236
2,45,14899770
2,46,509921
2,47,1034495
2,48,3408377
2,49,657764
2,50,3709894
2,51,15319261
2,52,463511
2,53,480824
2,54,3591756
2,55,3574397
2,56,643030
2,57,630094
2,58,551478
2,59,11788919
2,60,14611714
2,61,3517800
2,62,14614660
2,63,9257108
2,64,14292258
2,65,496893
2,66,505851
2,67,174647
2,68,443879
2,69,134145
2,70,449350
2,71,300384
2,72,444772
2,73,13529639
2,74,10021758
2,75,11953493
2,76,452767
2,77,402164
2,78,323033
2,79,329390
2,80,2351961
2,81,2021694
2,82,11792613
2,83,554042
2,84,2374572
2,85,85994
2,86,361516
2,87,208670
2,88,491235
2,89,85744
2,90,8879689
2,91,10621487
2,92,3089943
2,93,542787
2,94,13518407
2,95,467495
2,96,12850422
2,97,11445939
2,98,530003
2,99,109349
2,100,333156
3,1,593922
3,2,13664701
3,3,13088674
3,4,2895115
3,5,485651
3,6,2266283
3,7,536706
3,8,459911
3,9,158105
3,10,13797115
3,11,16117253
3,12,646332
3,13,556927
3,14,497929
3,15,3444169
3,16,21019230
3,17,14156177
3,18,493331
3,19,446403
3,20,14896446
3,21,494398
3,22,364763
3,23,523784
3,24,16286745
3,25,436989
3,26,13701221
3,27,209609
3,28,390280
3,29,14332159
3,30,591538
3,31,488207
3,32,3424174
3,33,3770486
3,34,674634
3,35,189690
3,36,14684492
3,37,525649
3,38,2909422
3,39,463162
3,40,528463
3,41,473979
3,42,3552175
3,43,15171208
3,44,15102537
3,45,752466
3,46,2427978
3,47,430215
3,48,3076755
3,49,566549
3,50,2980731
3,51,422941
3,52,692258
3,53,13767308
3,54,3280057
3,55,13966203
3,56,2943905
3,57,515132
3,58,3959558
3,59,14024267
3,60,576715
3,61,628016
3,62,177051
3,63,696898
3,64,488114
3,65,490882
3,66,13977812
3,67,484779
3,68,447574
3,69,13954006
3,70,614556
3,71,15071463
3,72,691914
3,73,707632
3,74,604174
3,75,384791
3,76,16093898
3,77,15853400
3,78,3529023
3,79,431895
3,80,808664
3,81,442945
3,82,207484
3,83,139942
3,84,433094
3,85,310355
3,86,401861
3,87,456455
3,88,14085632
3,89,12742204
3,90,205579
3,91,474905
3,92,2853453
3,93,192996
3,94,434907
3,95,2680993
3,96,134366
3,97,385361
3,98,13689387
3,99,12110290
3,100,8707048
4,1,481487
4,2,14072287
4,3,492432
4,4,393617
4,5,12100746
4,6,606763
4,7,10989290
4,8,2678329
4,9,402604
4,10,3357950
4,11,541346
4,12,147948
4,13,3049492
4,14,2625452
4,15,2857530
4,16,592039
4,17,207197
4,18,143931
4,19,2629653
4,20,2774976
4,21,135384
4,22,351825
4,23,14350949
4,24,402974
4,25,12941278
4,26,364352
4,27,411654
4,28,147093
4,29,12634622
4,30,428967
4,31,12879065
4,32,392012
4,33,230392
4,34,400725
4,35,13218469
4,36,654480
4,37,413025
4,38,311784
4,39,437667
4,40,432228
4,41,118456
4,42,331253
4,43,333440
4,44,3228039
4,45,12605764
4,46,414207
4,47,13486693
4,48,15264785
4,49,561210
4,50,2761284
4,51,450048
4,52,424288
4,53,497958
4,54,2967361
4,55,15124661
4,56,13530813
4,57,197081
4,58,10999929
4,59,460043
4,60,201838
4,61,582018
4,62,3190278
4,63,13068087
4,64,431230
4,65,3228170
4,66,155093
4,67,390090
4,68,413758
4,69,443698
4,70,482148
4,71,2633375
4,72,498811
4,73,501940
4,74,3147313
4,75,13469266
4,76,448906
4,77,13696972
4,78,12776192
4,79,156549
4,80,529612
4,81,477794
4,82,422990
4,83,13521368
4,84,581603
4,85,448677
4,86,357362
4,87,158074
4,88,13391640
4,89,469779
4,90,598707
4,91,154858
4,92,10756203
4,93,619624
4,94,2987997
4,95,2961419
4,96,208980
4,97,2970903
4,98,2819316
4,99,766313
4,100,2780842
5,1,2674382
5,2,12479476
5,3,2743148
5,4,409100
5,5,218667
5,6,2508041
5,7,175367
5,8,444088
5,9,126758
5,10,465075
5,11,13072884
5,12,413815
5,13,2919534
5,14,2819528
5,15,378023
5,16,146675
5,17,154081
5,18,568707
5,19,481074
5,20,13110178
5,21,379797
5,22,409088
5,23,546338
5,24,445261
5,25,493467
5,26,336506
5,27,390866
5,28,664621
5,29,13074987
5,30,119849
5,31,2576130
5,32,13177026
5,33,486745
5,34,529942
5,35,299664
5,36,13707826
5,37,13288274
5,38,445993
5,39,14285135
5,40,142555
5,41,478440
5,42,13043088
5,43,14064300
5,44,11252056
5,45,2692153
5,46,2766064
5,47,606872
5,48,415286
5,49,400973
5,50,12259443
5,51,538155
5,52,659651
5,53,11352187
5,54,383062
5,55,651447
5,56,514854
5,57,639018
5,58,180123
5,59,13159048
5,60,514415
5,61,13633717
5,62,493811
5,63,502646
5,64,500086
5,65,414408
5,66,12921908
5,67,2961201
5,68,420221
5,69,547059
5,70,134908
5,71,125522
5,72,107398
5,73,13110766
5,74,13090517
5,75,411992
5,76,156673
5,77,13099291
5,78,370506
5,79,140226
5,80,13063894
5,81,3078169
5,82,443827
5,83,13910468
5,84,428876
5,85,11951203
5,86,10958749
5,87,11228513
5,88,2493807
5,89,474317
5,90,3371413
5,91,569097
5,92,11755329
5,93,153021
5,94,7056348
5,95,344752
5,96,11857546
5,97,203164
5,98,505953
5,99,380066
5,100,179792
6,1,481224
6,2,3005896
6,3,181238
6,4,2551384
6,5,2062811
6,6,12757900
6,7,499372
6,8,437869
6,9,367644
6,10,12793923
6,11,2484478
6,12,401902
6,13,10463932
6,14,125348
6,15,514875
6,16,14248914
6,17,439495
6,18,408752
6,19,511030
6,20,527941
6,21,11827570
6,22,13066118
6,23,13314369
6,24,525430
6,25,372938
6,26,459798
6,27,333659
6,28,11630561
6,29,10353666
6,30,12948376
6,31,12969527
6,32,503824
6,33,2721528
6,34,2880299
6,35,417657
6,36,397713
6,37,331349
6,38,451197
6,39,406869
6,40,126447
6,41,4177745
6,42,438471
6,43,217736
6,44,2881398
6,45,5259551
6,46,171146
6,47,435302
6,48,2958033
6,49,305563
6,50,395045
6,51,411186
6,52,299028
6,53,375668
6,54,330695
6,55,506249
6,56,391738
6,57,302961
6,58,493595
6,59,152953
6,60,400535
6,61,363226
6,62,394460
6,63,12756508
6,64,2799131
6,65,2983966
6,66,371582
6,67,547995
6,68,512032
6,69,13165233
6,70,505551
6,71,520044
6,72,12953304
6,73,9525183
6,74,535058
6,75,149751
6,76,583569
6,77,376282
6,78,149880
6,79,14199721
6,80,542188
6,81,476495
6,82,412509
6,83,2545694
6,84,145806
6,85,12644301
6,86,15801683
6,87,10635716
6,88,330268
6,89,460825
6,90,418823
6,91,177629
6,92,374400
6,93,13170698
6,94,12659688
6,95,338005
6,96,2693700
6,97,401271
6,98,13454308
6,99,362302
6,100,159006
7,1,13675092
7,2,455867
7,3,3312643
7,4,3609146
7,5,415171
7,6,652525
7,7,402864
7,8,3255030
7,9,565485
7,10,3673189
7,11,690803
7,12,14229619
7,13,683929
7,14,519891
7,15,3172126
7,16,13963480
7,17,625283
7,18,15334429
7,19,431794
7,20,501912
7,21,3804829
7,22,786287
7,23,190763
7,24,433328
7,25,428343
7,26,590210
7,27,13195654
7,28,752285
7,29,675613
7,30,600791
7,31,598544
7,32,211792
7,33,545116
7,34,3707401
7,35,16697331
7,36,695696
7,37,597278
7,38,187804
7,39,15490657
7,40,588747
7,41,677058
7,42,897528
7,43,3303158
7,44,17949325
7,45,16737598
7,46,659849
7,47,16075150
7,48,238497
7,49,3527760
7,50,535154
7,51,700701
7,52,13199952
7,53,23015726
7,54,871820
7,55,219965
7,56,652915
7,57,171897
7,58,12195735
7,59,634948
7,60,224476
7,61,166075
7,62,698555
7,63,433522
7,64,14186661
7,65,12270196
7,66,492146
7,67,384135
7,68,14990364
7,69,422225
7,70,353367
7,71,419280
7,72,2952115
7,73,15139919
7,74,12049253
7,75,3257139
7,76,584205
7,77,13728315
7,78,169153
7,79,13078869
7,80,409077
7,81,193159
7,82,2499553
7,83,459235
7,84,2669009
7,85,341141
7,86,124200
7,87,9715273
7,88,514673
7,89,116966
7,90,123860
7,91,513977
7,92,402724
7,93,11230859
7,94,2186673
7,95,451650
7,96,8800362
7,97,422750
7,98,482875
7,99,10475927
7,100,368332
8,1,495246
8,2,3328780
8,3,127268
8,4,413408
8,5,473024
8,6,448304
8,7,389529
8,8,458180
8,9,355639
8,10,322895
8,11,12583033
8,12,482283
8,13,128093
8,14,595340
8,15,417580
8,16,16473025
8,17,11988720
8,18,464715
8,19,13695930
8,20,492027
8,21,503660
8,22,2961282
8,23,508852
8,24,13530264
8,25,458880
8,26,432809
8,27,498082
8,28,146892
8,29,2399500
8,30,2776899
8,31,343196
8,32,409800
8,33,487772
8,34,15612996
8,35,13924697
8,36,2864065
8,37,14228743
8,38,10036826
8,39,2925107
8,40,149760
8,41,3075508
8,42,13915028
8,43,164514
8,44,541859
8,45,14222864
8,46,473320
8,47,12867772
8,48,450120
8,49,2676606
8,50,2773636
8,51,475440
8,52,12384612
8,53,196568
8,54,14561407
8,55,582241
8,56,3031785
8,57,3230407
8,58,531860
8,59,424643
8,60,381629
8,61,409581
8,62,12941204
8,63,4011589
8,64,14618183
8,65,4013534
8,66,190080
8,67,507138
8,68,194963
8,69,153860
8,70,448102
8,71,421052
8,72,12067110
8,73,15634706
8,74,464088
8,75,3272060
8,76,561151
8,77,14564379
8,78,543906
8,79,180058
8,80,3411067
8,81,596377
8,82,523900
8,83,2960471
8,84,151160
8,85,546292
8,86,134657
8,87,550516
8,88,165459
8,89,480700
8,90,437423
8,91,12154292
8,92,13099902
8,93,13946654
8,94,3185048
8,95,15333596
8,96,643100
8,97,15644216
8,98,12388945
8,99,452970
8,100,360201
9,1,235091
9,2,640543
9,3,481375
9,4,7451779
9,5,2553137
9,6,138869
9,7,474912
9,8,390546
9,9,2661041
9,10,585249
9,11,556542
9,12,445249
9,13,12663094
9,14,623931
9,15,521032
9,16,175837
9,17,12813256
9,18,12341509
9,19,468648
9,20,10837719
9,21,494073
9,22,2686728
9,23,438818
9,24,135625
9,25,2731787
9,26,11945766
9,27,396984
9,28,398095
9,29,13265190
9,30,464371
9,31,479486
9,32,129678
9,33,452644
9,34,13294260
9,35,2356294
9,36,341947
9,37,12776847
9,38,519649
9,39,2476044
9,40,137745
9,41,2262253
9,42,443996
9,43,449591
9,44,446119
9,45,2769740
9,46,381755
9,47,317467
9,48,194900
9,49,479659
9,50,398560
9,51,437250
9,52,405376
