iteration,operation,ns
1,1,835691
1,2,868502
1,3,21546292
1,4,6047487
1,5,19283396
1,6,1539149
1,7,1349350
1,8,6040913
1,9,22064264
1,10,209566
1,11,20918061
1,12,5629296
1,13,1225709
1,14,1479137
1,15,1580472
1,16,1454502
1,17,20869265
1,18,24291590
1,19,1388056
1,20,5862149
1,21,25057554
1,22,18162944
1,23,693968
1,24,4381089
1,25,1041136
1,26,942300
1,27,5444931
1,28,1396593
1,29,17283395
1,30,1905789
1,31,22637083
1,32,5270615
1,33,1196622
1,34,1265207
1,35,19153982
1,36,1238594
1,37,154321
1,38,1171047
1,39,20299405
1,40,1122761
1,41,1190979
1,42,18596034
1,43,20717809
1,44,1528123
1,45,295772
1,46,19165404
1,47,1341345
1,48,248828
1,49,18038299
1,50,1198033
1,51,1937294
1,52,222666
1,53,14317402
1,54,1238833
1,55,894313
1,56,1021913
1,57,1192885
1,58,4953908
1,59,5385636
1,60,195401
1,61,1280774
1,62,913018
1,63,18003959
1,64,1050494
1,65,178898
1,66,159542
1,67,16488108
1,68,174155
1,69,1001829
1,70,16848882
1,71,1099102
1,72,4663860
1,73,964206
1,74,191954
1,75,1071675
1,76,191440
1,77,958047
1,78,2197858
1,79,17713777
1,80,949456
1,81,1107903
1,82,831040
1,83,942359
1,84,195351
1,85,5125440
1,86,20472696
1,87,18226656
1,88,14702915
1,89,13855747
1,90,13533140
1,91,1050066
1,92,186796
1,93,1001068
1,94,14881625
1,95,1126680
1,96,893027
1,97,3655966
1,98,718450
1,99,3454533
1,100,894583
2,1,182729
2,2,1057598
2,3,1011815
2,4,925591
2,5,712570
2,6,933593
2,7,3842117
2,8,16964638
2,9,169522
2,10,1262148
2,11,964303
2,12,1136579
2,13,1007292
2,14,1064702
2,15,16472477
2,16,4239461
2,17,15501176
2,18,187569
2,19,240849
2,20,229299
2,21,172667
2,22,1143524
2,23,4824098
2,24,4976764
2,25,182834
2,26,13829503
2,27,1293779
2,28,1089458
2,29,1185433
2,30,989632
2,31,844568
2,32,823531
2,33,727899
2,34,20143375
2,35,222042
2,36,1120763
2,37,1392723
2,38,254695
2,39,1193881
2,40,1529101
2,41,1099969
2,42,706746
2,43,15559763
2,44,181328
2,45,1053919
2,46,1271810
2,47,166606
2,48,1140481
2,49,196166
2,50,1269114
2,51,1172677
2,52,5198223
2,53,920182
2,54,4850803
2,55,22150602
2,56,1188110
2,57,1068631
2,58,20243182
2,59,5277115
2,60,1159165
2,61,1087003
2,62,17740065
2,63,1488865
2,64,1348461
2,65,1568946
2,66,1149727
2,67,18464758
2,68,198707
2,69,17983298
2,70,2713132
2,71,4742163
2,72,158337
2,73,5001758
2,74,1301938
2,75,5229414
2,76,950720
2,77,998589
2,78,18683276
2,79,168814
2,80,935287
2,81,1059706
2,82,209554
2,83,1304508
2,84,1109504
2,85,1121172
2,86,26517526
2,87,15507250
2,88,4810038
2,89,18211888
2,90,971763
2,91,1183932
2,92,16249784
2,93,942459
2,94,16885610
2,95,4613318
2,96,183294
2,97,1372496
2,98,1088469
2,99,16099012
2,100,14401837
3,1,830042
3,2,4525652
3,3,170368
3,4,725160
3,5,160760
3,6,1153790
3,7,1319341
3,8,13665111
3,9,4931363
3,10,18925804
3,11,18622261
3,12,17249287
3,13,16690589
3,14,18897684
3,15,17967277
3,16,1252018
3,17,13239483
3,18,1317009
3,19,4339708
3,20,1402163
3,21,1298673
3,22,170789
3,23,208886
3,24,1734222
3,25,14084953
3,26,1307301
3,27,5721317
3,28,17197372
3,29,1143521
3,30,1102267
3,31,16592783
3,32,1251460
3,33,3988411
3,34,781740
3,35,168254
3,36,3665126
3,37,156440
3,38,832030
3,39,13084324
3,40,4303232
3,41,1125844
3,42,4536479
3,43,13381787
3,44,859787
3,45,207327
3,46,1034954
3,47,1124938
3,48,990100
3,49,923781
3,50,4428402
3,51,1116135
3,52,14517662
3,53,14474256
3,54,1115374
3,55,4599786
3,56,4331634
3,57,13959373
3,58,14399745
3,59,835895
3,60,817508
3,61,140576
3,62,974366
3,63,3852580
3,64,4051162
3,65,133387
3,66,958506
3,67,15625225
3,68,14530009
3,69,983850
3,70,1067886
3,71,1386304
3,72,17285534
3,73,811133
3,74,1255687
3,75,987515
3,76,4970013
3,77,822421
3,78,14432310
3,79,860988
3,80,3410288
3,81,15244094
3,82,902569
3,83,184485
3,84,681860
3,85,3339085
3,86,16541966
3,87,13539729
3,88,3506686
3,89,942591
3,90,1096489
3,91,154354
3,92,1095759
3,93,884192
3,94,3482438
3,95,882924
3,96,13196070
3,97,654948
3,98,4095238
3,99,3614484
3,100,743055
4,1,4536590
4,2,13531200
4,3,877695
4,4,13132565
4,5,4051975
4,6,787610
4,7,771875
4,8,1043462
4,9,109363
4,10,886238
4,11,762124
4,12,11279593
4,13,128654
4,14,976270
4,15,152922
4,16,753835
4,17,14770298
4,18,965600
4,19,13748281
4,20,155817
4,21,1008837
4,22,14367198
4,23,723750
4,24,14328476
4,25,3584146
4,26,999427
4,27,773609
4,28,3562536
4,29,797563
4,30,191147
4,31,781462
4,32,782480
4,33,779295
4,34,1012818
4,35,3789206
4,36,14133405
4,37,13194960
4,38,931824
4,39,813178
4,40,973617
4,41,842080
4,42,134443
4,43,13429186
4,44,12686019
4,45,1006060
4,46,12836110
4,47,707169
4,48,10201696
4,49,962836
4,50,13889849
4,51,951893
4,52,6248686
4,53,4183204
4,54,11142008
4,55,1001979
4,56,1006509
4,57,754197
4,58,3589825
4,59,13392639
4,60,12534894
4,61,3916915
4,62,788703
4,63,14176796
4,64,13886389
4,65,13423029
4,66,3610582
4,67,11677350
4,68,178725
4,69,814592
4,70,136128
4,71,997621
4,72,710563
4,73,887092
4,74,1364022
4,75,953515
4,76,948986
4,77,1048477
4,78,145794
4,79,13650762
4,80,644166
4,81,769922
4,82,3078975
4,83,15494939
4,84,14566192
4,85,13158334
4,86,16099100
4,87,949573
4,88,940150
4,89,3595997
4,90,14844642
4,91,159646
4,92,889131
4,93,3388337
4,94,2953865
4,95,148328
4,96,3189356
4,97,2948352
4,98,821979
4,99,10985017
4,100,10217239
5,1,1065104
5,2,14694343
5,3,13672898
5,4,3987461
5,5,1137934
5,6,918278
