iteration,operation,ns
1,1,508385
1,2,375947
1,3,352283
1,4,2551648
1,5,488007
1,6,459830
1,7,478364
1,8,319520
1,9,2670444
1,10,190018
1,11,135405
1,12,3216733
1,13,2715291
1,14,2387631
1,15,2927517
1,16,403101
1,17,3162127
1,18,152132
1,19,3023324
1,20,2725059
1,21,427481
1,22,626611
1,23,494567
1,24,544012
1,25,3133456
1,26,331213
1,27,372603
1,28,2814963
1,29,2333234
1,30,2218081
1,31,425259
1,32,2548897
1,33,2356434
1,34,384673
1,35,2927374
1,36,2728832
1,37,586779
1,38,400416
1,39,2982125
1,40,498650
1,41,441990
1,42,485880
1,43,513186
1,44,332988
1,45,360073
1,46,550639
1,47,3101618
1,48,182680
1,49,3110674
1,50,533588
1,51,2888052
1,52,540148
1,53,502760
1,54,422887
1,55,343984
1,56,2692429
1,57,456705
1,58,2703122
1,59,163844
1,60,562969
1,61,464670
1,62,147492
1,63,2948588
1,64,133375
1,65,128550
1,66,2659600
1,67,531705
1,68,538879
1,69,151692
1,70,437975
1,71,433836
1,72,2720744
1,73,2596660
1,74,122269
1,75,2840037
1,76,2745657
1,77,2918254
1,78,168220
1,79,4001722
1,80,750826
1,81,494497
1,82,2570214
1,83,351080
1,84,2463157
1,85,137995
1,86,3009790
1,87,2785590
1,88,128362
1,89,2883084
1,90,2951212
1,91,694833
1,92,397964
1,93,2964308
1,94,553867
1,95,488065
1,96,371481
1,97,488879
1,98,399752
1,99,218443
1,100,470193
2,1,2850907
2,2,628648
2,3,524857
2,4,320662
2,5,2289078
2,6,1923362
2,7,2023471
2,8,2345094
2,9,2196185
2,10,2353099
2,11,2254485
2,12,2373775
2,13,106597
2,14,96717
2,15,2543704
2,16,2543015
2,17,579746
2,18,393265
2,19,2268768
2,20,2639540
2,21,312263
2,22,2671241
2,23,2541812
2,24,473633
2,25,2357232
2,26,352608
2,27,424474
2,28,2455457
2,29,2640448
2,30,623956
2,31,446929
2,32,2643740
2,33,2667785
2,34,393192
2,35,462735
2,36,563841
2,37,2785939
2,38,438532
2,39,3003882
2,40,600901
2,41,452215
2,42,631286
2,43,587926
2,44,432218
2,45,2859029
2,46,2781174
2,47,577112
2,48,409354
2,49,2730113
2,50,2611353
2,51,113679
2,52,2113100
2,53,2812314
2,54,393699
2,55,422401
2,56,3146483
2,57,2392018
2,58,158161
2,59,153077
2,60,2929165
2,61,476483
2,62,417311
2,63,2803134
2,64,390621
2,65,520845
2,66,180123
2,67,2747941
2,68,401552
2,69,2297994
2,70,353696
2,71,2292496
2,72,478832
2,73,427218
2,74,2362034
2,75,514311
2,76,156430
2,77,2409007
2,78,2226417
2,79,490368
2,80,374325
2,81,2205430
2,82,2146053
2,83,1962148
2,84,104215
2,85,306479
2,86,93881
2,87,284332
2,88,120774
2,89,281169
2,90,280210
2,91,363625
2,92,451926
2,93,352783
2,94,1972795
2,95,418962
2,96,83778
2,97,380576
2,98,1843463
2,99,2008479
2,100,341723
3,1,2623868
3,2,2507178
3,3,453911
3,4,351110
3,5,422456
3,6,484787
3,7,2818023
3,8,376126
3,9,2660080
3,10,425199
3,11,320119
3,12,2697457
3,13,2737544
3,14,154367
3,15,426496
3,16,370118
3,17,425958
3,18,2495637
3,19,2736477
3,20,2595392
3,21,3029958
3,22,2351172
3,23,2288415
3,24,346170
3,25,387294
3,26,357671
3,27,373042
3,28,316809
3,29,390311
3,30,402606
3,31,373894
3,32,448115
3,33,337764
3,34,2788970
3,35,132598
3,36,453085
3,37,263099
3,38,263338
3,39,123731
3,40,2702282
3,41,2378689
3,42,329897
3,43,353702
3,44,2619573
3,45,2596439
3,46,424602
3,47,328326
3,48,3067927
3,49,456601
3,50,455769
3,51,378676
3,52,456908
3,53,733269
3,54,472400
3,55,2772627
3,56,2618082
3,57,437302
3,58,303673
3,59,3612572
3,60,1942291
3,61,430296
3,62,301094
3,63,614616
3,64,134820
3,65,2515399
3,66,2436848
3,67,304827
3,68,345534
3,69,383633
3,70,2407147
3,71,577557
3,72,454857
3,73,397198
3,74,328074
3,75,370721
3,76,2246859
3,77,2843004
3,78,2332727
3,79,432753
3,80,2219434
3,81,354216
3,82,474893
3,83,334515
3,84,395663
3,85,2292161
3,86,304739
3,87,2102372
3,88,431475
3,89,603220
3,90,2629519
3,91,301372
3,92,424186
3,93,2580285
3,94,533417
3,95,442730
3,96,388824
3,97,344277
3,98,2684145
3,99,2356880
3,100,3089790
4,1,2413886
4,2,382005
4,3,1996204
4,4,408990
4,5,2318909
4,6,2550832
4,7,340874
4,8,304703
4,9,2519113
4,10,2584094
4,11,463314
4,12,2165112
4,13,149317
4,14,2610641
4,15,2541808
4,16,2285412
4,17,2407896
4,18,468049
4,19,2192258
4,20,549550
4,21,460109
4,22,443191
4,23,479445
4,24,2858353
4,25,353210
4,26,365805
4,27,2654558
4,28,532417
4,29,2573601
4,30,2389237
4,31,348291
4,32,315053
4,33,300260
4,34,329460
4,35,345141
4,36,324853
4,37,358635
4,38,2470560
4,39,406728
4,40,391048
4,41,2654567
4,42,319498
4,43,2836288
4,44,471327
4,45,411011
4,46,555931
4,47,449291
4,48,2942813
4,49,137101
4,50,2614666
4,51,424739
4,52,532627
4,53,2270351
4,54,2636856
4,55,396499
4,56,348171
4,57,321117
4,58,393998
4,59,367521
4,60,577580
4,61,140021
4,62,2622624
4,63,2660306
4,64,2295657
4,65,2107866
4,66,2810910
4,67,2582536
4,68,356651
4,69,2921999
4,70,2449676
4,71,113184
4,72,504205
4,73,175911
4,74,435056
4,75,463441
4,76,193452
4,77,535278
4,78,409522
4,79,3039228
4,80,190701
4,81,2783229
4,82,537297
4,83,424718
4,84,380900
4,85,192096
4,86,139970
4,87,2304136
4,88,407070
4,89,3026049
4,90,477873
4,91,446674
4,92,489824
4,93,435509
4,94,2097381
