iteration,operation,ns
1,1,3880938
1,2,3381406
1,3,883888
1,4,849690
1,5,3676472
1,6,3280994
1,7,790356
1,8,583566
1,9,3195162
1,10,817306
1,11,847383
1,12,889243
1,13,3792230
1,14,746905
1,15,171904
1,16,3665450
1,17,3987892
1,18,3861809
1,19,4385598
1,20,3637529
1,21,3533080
1,22,956854
1,23,3701144
1,24,823623
1,25,733225
1,26,719725
1,27,579386
1,28,753325
1,29,3253132
1,30,933717
1,31,3284596
1,32,798457
1,33,141875
1,34,3356028
1,35,164498
1,36,2958842
1,37,3047422
1,38,739737
1,39,1034512
1,40,3651333
1,41,677119
1,42,782268
1,43,2817779
1,44,3315358
1,45,3040955
1,46,676804
1,47,736199
1,48,1147210
1,49,775966
1,50,140264
1,51,3947290
1,52,1070047
1,53,3494288
1,54,3645092
1,55,741692
1,56,139997
1,57,3664952
1,58,900797
1,59,972933
1,60,3722016
1,61,3540580
1,62,3918357
1,63,767849
1,64,3000230
1,65,3280582
1,66,3230890
1,67,3635555
1,68,749994
1,69,3886844
1,70,3267441
1,71,3046727
1,72,2895635
1,73,792899
1,74,916662
1,75,704345
1,76,3652061
1,77,729355
1,78,727725
1,79,3002937
1,80,491479
1,81,3257840
1,82,3353319
1,83,3784594
1,84,3607313
1,85,907657
1,86,3423305
1,87,3138697
1,88,711592
1,89,3222073
1,90,710323
1,91,994652
1,92,3113429
1,93,729668
1,94,694771
1,95,3362005
1,96,819641
1,97,2812428
1,98,2242933
1,99,3332229
1,100,749679
2,1,158046
2,2,3987936
2,3,867502
2,4,3328062
2,5,3158373
2,6,708159
2,7,872300
2,8,175888
2,9,863988
2,10,3582455
2,11,3691398
2,12,855249
2,13,883488
2,14,756627
2,15,879036
2,16,188477
2,17,886797
2,18,160578
2,19,3353543
2,20,3076592
2,21,3334573
2,22,3035887
2,23,695682
2,24,109157
2,25,2290657
2,26,3723018
2,27,3623422
2,28,824882
2,29,1079311
2,30,3017457
2,31,143585
2,32,951173
2,33,3576521
2,34,3670124
2,35,161286
2,36,989449
2,37,3656581
2,38,3905531
2,39,3444962
2,40,741670
2,41,888943
2,42,3738362
2,43,3312795
2,44,3284021
2,45,4108469
2,46,838743
2,47,3282430
2,48,3096479
2,49,763001
2,50,3747206
2,51,4054902
2,52,1011714
2,53,869021
2,54,817221
2,55,3364817
2,56,3367847
2,57,892297
2,58,3276918
2,59,3156032
2,60,185735
2,61,932498
2,62,909777
2,63,1238668
2,64,624960
2,65,147870
2,66,643258
2,67,130986
