iteration,operation,ns
1,1,1094888
1,2,2184029
1,3,4741586
1,4,2254374
1,5,2006217
1,6,66216440
1,7,1968097
1,8,2113085
1,9,55756722
1,10,1944060
1,11,1725618
1,12,571422
1,13,1791338
1,14,1868586
1,15,2000227
1,16,58720283
1,17,1043242
1,18,57888226
1,19,2368776
1,20,2033169
1,21,2333476
1,22,2734158
1,23,1044926
1,24,822465
1,25,2114482
1,26,2291365
1,27,2450865
1,28,2330590
1,29,2349535
1,30,2353433
1,31,2261956
1,32,2492053
1,33,2163727
1,34,2019924
1,35,2111076
1,36,2675883
1,37,977497
1,38,2259296
1,39,2196626
1,40,53431287
1,41,54783393
1,42,57714875
1,43,2095947
1,44,58259203
1,45,2133542
1,46,1922482
1,47,1730157
1,48,1766653
1,49,1636451
1,50,1907923
1,51,2124602
1,52,1752305
1,53,1828957
1,54,1954955
1,55,1805993
1,56,1941576
1,57,715186
1,58,2023629
1,59,700214
1,60,1784866
1,61,1819306
1,62,56362607
1,63,2078528
1,64,1769828
1,65,54204766
1,66,997095
1,67,2196951
1,68,1944127
1,69,2027695
1,70,1856934
1,71,621233
1,72,1881094
1,73,804549
1,74,52778141
1,75,2164648
1,76,58486882
1,77,2290372
1,78,984737
1,79,1898805
1,80,693016
1,81,64151569
1,82,53419657
1,83,872995
1,84,905268
1,85,795303
1,86,2049657
1,87,2120828
1,88,2035664
1,89,711729
1,90,1980703
1,91,2153754
1,92,50408725
1,93,2064366
1,94,2090951
1,95,798693
1,96,532297
1,97,1764084
1,98,1818960
1,99,64465967
1,100,2149610
2,1,2395304
2,2,1822497
2,3,59839809
2,4,2024045
2,5,743626
2,6,1813794
2,7,734636
2,8,2554763
2,9,54966475
2,10,55280008
2,11,2194959
2,12,997148
2,13,2223099
2,14,1996310
2,15,2083204
2,16,2310654
2,17,1627233
2,18,2590085
2,19,2210988
2,20,53250401
2,21,2148331
2,22,50167166
2,23,900617
2,24,1987507
2,25,51146635
2,26,1802822
2,27,1819774
2,28,2148227
2,29,1961972
2,30,1919970
2,31,3563815
2,32,1897984
2,33,2018580
2,34,1818996
2,35,1955876
2,36,2158449
2,37,2099593
2,38,54153583
2,39,798566
2,40,1956604
2,41,2118751
2,42,55350364
2,43,57644733
2,44,2505049
2,45,2234699
2,46,2256943
2,47,60581197
2,48,1979685
2,49,1812710
2,50,54174896
2,51,1810851
2,52,730610
2,53,2000380
2,54,2066736
2,55,1926309
2,56,1584071
2,57,59340255
2,58,1957534
2,59,1661198
2,60,1807510
2,61,1696957
2,62,2061082
2,63,50794569
2,64,865244
2,65,1670965
2,66,720397
2,67,49306145
2,68,49177275
2,69,50732128
2,70,2046675
2,71,2088982
2,72,1704911
2,73,1743360
2,74,1751832
2,75,1688147
2,76,1769915
2,77,1658807
2,78,1909913
2,79,1651053
2,80,1891767
2,81,2281546
2,82,1965650
2,83,1923500
2,84,53561744
2,85,720303
2,86,56153602
2,87,2401526
2,88,60037966
2,89,2114042
2,90,733163
2,91,645775
2,92,1853904
2,93,1788300
2,94,60572917
2,95,791646
2,96,2253615
2,97,57832519
2,98,59654990
2,99,51804242
2,100,2003231
3,1,4005778
3,2,3594343
3,3,53971212
3,4,1946432
3,5,1883384
3,6,1879118
3,7,49713826
3,8,1805454
3,9,53843339
3,10,47234192
3,11,2058447
3,12,1693621
3,13,53115467
3,14,56785279
3,15,1935435
3,16,2061472
3,17,1823725
3,18,1789301
3,19,2611142
3,20,1880135
3,21,1825286
3,22,54311750
3,23,881846
3,24,1750517
3,25,57895101
3,26,57734741
3,27,730459
3,28,1831278
3,29,810050
3,30,1846471
3,31,1702174
3,32,52921419
3,33,56655608
3,34,52422521
3,35,51284919
3,36,2187779
3,37,56833448
3,38,1917182
3,39,1779726
3,40,48161367
3,41,2002898
3,42,1956260
3,43,2001779
3,44,61538997
3,45,801674
3,46,29454789
3,47,55459622
3,48,1999687
3,49,1955553
3,50,1084546
3,51,760556
3,52,1545363
3,53,51154197
3,54,51051671
3,55,1968689
3,56,1721091
3,57,1944415
3,58,2047828
3,59,914161
3,60,2227483
3,61,1894211
3,62,52978450
3,63,51975331
3,64,727692
3,65,47887788
3,66,2181653
3,67,1961111
3,68,1557575
3,69,1829569
3,70,1709856
3,71,2079070
3,72,2148443
3,73,725897
3,74,704329
3,75,821994
3,76,58270949
3,77,42686454
3,78,1941934
3,79,46117380
3,80,2197599
3,81,847300
3,82,40753363
3,83,2053706
3,84,18557435
3,85,647102
3,86,1630468
3,87,1841004
3,88,18668596
3,89,1664652
3,90,2000324
3,91,708353
3,92,17403682
3,93,847072
3,94,2080239
3,95,1865813
3,96,1974737
3,97,15948221
3,98,2098177
3,99,17673462
3,100,1979789
4,1,5032228
4,2,53702168
4,3,1918482
4,4,59749983
4,5,1003421
4,6,2014790
4,7,2650142
4,8,2075502
4,9,46824237
4,10,701401
4,11,2068514
4,12,2039592
4,13,651111
4,14,53370553
4,15,1935910
4,16,710645
4,17,562893
4,18,1580272
4,19,1858909
4,20,1777233
4,21,1943538
4,22,54746209
4,23,55674600
4,24,2080833
4,25,881567
4,26,884647
4,27,1856625
4,28,1855821
4,29,52269441
4,30,2022234
4,31,1767913
4,32,1877000
4,33,1743561
4,34,1665209
4,35,855005
4,36,59208929
4,37,2115283
4,38,1726546
4,39,2120698
4,40,1745461
4,41,1991997
4,42,53620029
4,43,54535851
4,44,800246
4,45,2036076
4,46,2000013
4,47,791049
4,48,1916643
4,49,1454739
4,50,2055491
4,51,1943748
4,52,1825828
4,53,1781068
4,54,1771967
4,55,1802750
4,56,52671130
4,57,1947091
4,58,2018692
4,59,1802239
4,60,58478297
4,61,57335685
4,62,923157
4,63,837603
4,64,55337126
4,65,1703196
4,66,703492
4,67,60960569
4,68,1747502
4,69,1601163
4,70,1924759
4,71,2005377
4,72,741792
4,73,1643808
4,74,2014383
4,75,849015
4,76,1640729
4,77,749603
4,78,48693506
4,79,1756362
4,80,800068
4,81,720218
4,82,1977882
4,83,1876236
4,84,624924
4,85,1831801
4,86,59324223
4,87,2158161
4,88,39542034
4,89,2002273
4,90,1728806
4,91,726177
4,92,47274831
4,93,48805299
4,94,1892874
4,95,2005009
4,96,1757905
4,97,1927385
4,98,1979155
4,99,689436
4,100,2029425
5,1,46630223
5,2,51197937
5,3,2237991
5,4,2182078
5,5,1646824
5,6,55064994
5,7,1919062
5,8,1791927
5,9,1506372
5,10,1881622
5,11,782352
5,12,1586369
5,13,58091635
5,14,858056
5,15,1823067
5,16,1935087
5,17,1772647
5,18,58330721
5,19,55393030
5,20,2229664
5,21,650182
5,22,682292
5,23,1997594
5,24,1686272
5,25,731300
5,26,1779235
5,27,50312214
5,28,43720841
5,29,2136839
5,30,1859228
5,31,2091400
5,32,575848
5,33,1689795
5,34,1586972
5,35,1646289
5,36,1818478
5,37,1782222
5,38,1729383
5,39,58649363
5,40,1926596
5,41,4168986
5,42,24751308
5,43,1945490
5,44,2000967
5,45,2127034
5,46,53467736
5,47,877303
5,48,1784869
5,49,1718096
5,50,54421699
5,51,915097
5,52,2089560
5,53,617659
5,54,56792559
5,55,2102198
5,56,1702131
5,57,515612
5,58,55198373
5,59,56685337
5,60,2201591
5,61,2119737
5,62,902461
5,63,1717255
5,64,804337
5,65,576681
5,66,1650194
5,67,1854804
5,68,52745701
5,69,1999641
5,70,1891914
5,71,1932156
5,72,44452977
5,73,852533
5,74,1938336
5,75,1647647
5,76,1596132
5,77,1904265
5,78,53097292
5,79,1900797
5,80,56717474
5,81,53414067
5,82,1931702
5,83,657158
5,84,58438315
5,85,45014439
5,86,2317014
5,87,1952993
5,88,1810302
5,89,1901670
5,90,1951239
5,91,771475
5,92,1979836
5,93,56831581
5,94,2136909
5,95,1795599
5,96,723176
5,97,2015555
5,98,742481
5,99,1789063
5,100,1781123
6,1,3185496
6,2,2315286
6,3,4063230
6,4,3503060
6,5,2943209
6,6,1716388
6,7,1710959
6,8,1644251
6,9,1726984
6,10,1859496
6,11,544071
6,12,47148876
6,13,2101352
6,14,1724159
6,15,1823953
6,16,1859487
6,17,58322327
6,18,58655299
6,19,54589359
6,20,51989330
6,21,1948510
6,22,60086721
6,23,2035252
6,24,2045422
6,25,1720365
6,26,56016009
6,27,52302198
6,28,1894157
6,29,707570
6,30,1933039
6,31,1556671
6,32,685345
6,33,1857788
6,34,64513855
6,35,2120281
6,36,1663225
6,37,1807708
6,38,1646265
6,39,715656
6,40,1602246
6,41,1928039
6,42,1793221
6,43,66301432
6,44,2175241
6,45,1826396
6,46,1634491
6,47,1805519
6,48,1613549
6,49,1818933
6,50,1945300
6,51,1904788
6,52,53029307
6,53,864527
6,54,1573432
6,55,55678766
6,56,2163610
6,57,1809993
6,58,54355020
6,59,52603742
6,60,2038390
6,61,787977
6,62,1973262
6,63,60588347
6,64,52226571
6,65,2110160
6,66,56520774
6,67,2020520
6,68,52173532
6,69,2157981
6,70,2039128
6,71,1916531
6,72,56354308
6,73,1141087
6,74,47832324
6,75,61526251
6,76,2044834
6,77,51298733
6,78,2272471
6,79,1937182
6,80,951887
6,81,1546034
6,82,1665990
6,83,1683859
6,84,1787363
6,85,1941721
6,86,868803
6,87,1629404
6,88,1977765
6,89,1595744
6,90,52912568
6,91,1964303
6,92,2069332
6,93,737318
6,94,45878066
6,95,881011
6,96,1721109
6,97,1837352
6,98,1833592
6,99,850516
6,100,47579781
7,1,2167233
7,2,1719783
7,3,1764477
7,4,744168
7,5,51055158
7,6,2076361
7,7,935717
7,8,52034779
7,9,835184
7,10,1934166
7,11,776775
7,12,1929518
7,13,60086185
7,14,2083700
7,15,1922118
7,16,1833376
7,17,1947682
7,18,2047770
7,19,744874
7,20,809110
7,21,54645914
7,22,855296
7,23,58696088
7,24,55578908
7,25,60456232
7,26,1979749
7,27,2201413
7,28,788301
7,29,1801167
7,30,55181088
7,31,836296
7,32,870699
7,33,1629611
7,34,689074
7,35,1676685
7,36,52594567
7,37,2100579
7,38,1856844
7,39,1656256
7,40,1620608
7,41,1601030
7,42,1671942
7,43,1523729
7,44,692298
7,45,1481060
7,46,1787020
7,47,57078111
7,48,746153
7,49,2157776
7,50,2116937
7,51,2085276
7,52,1667825
7,53,2152819
7,54,56325801
7,55,773443
7,56,1886319
7,57,1806774
7,58,1705727
7,59,58017217
7,60,1993753
7,61,1756157
7,62,704428
7,63,725109
7,64,43658694
7,65,1981875
7,66,1587890
7,67,51660514
7,68,1991546
7,69,2045199
7,70,47368511
7,71,1972356
7,72,849327
7,73,651735
7,74,1574623
7,75,685078
7,76,734199
7,77,847857
7,78,1850155
7,79,56585100
7,80,1856319
7,81,2015829
7,82,1709746
7,83,1714610
7,84,1963811
7,85,56508701
7,86,1872480
7,87,674744
7,88,706842
7,89,1652255
7,90,784552
7,91,1768777
7,92,59222748
7,93,2117734
7,94,51282909
7,95,719790
7,96,1961703
7,97,1947717
7,98,54258135
7,99,2021313
7,100,53876075
8,1,2092862
8,2,3091182
8,3,3140902
8,4,3341346
8,5,2426413
8,6,926468
8,7,2517343
8,8,1001206
8,9,870128
8,10,2221675
8,11,2005013
8,12,53718332
8,13,1847504
8,14,61763943
8,15,810269
8,16,1793999
8,17,1812109
