iteration,operation,ns
1,1,170296293
1,2,92979603
1,3,111650320
1,4,57335169
1,5,114325578
1,6,116567157
1,7,86176174
1,8,86454615
1,9,119716410
1,10,87074263
1,11,118249176
1,12,115671046
1,13,55293836
1,14,90041298
1,15,61979607
1,16,145563224
1,17,95231554
1,18,85774845
1,19,84296220
1,20,109618365
1,21,26593404
1,22,152668966
1,23,88270270
1,24,168202369
1,25,59990593
1,26,59840890
1,27,122734480
1,28,56409862
1,29,118529376
1,30,115931447
1,31,115074936
1,32,112518567
1,33,58574132
1,34,55616738
1,35,50461290
1,36,30409965
1,37,56101888
1,38,93566296
1,39,170520803
1,40,58964739
1,41,60796196
1,42,115964315
1,43,92246199
1,44,58620823
1,45,110759842
1,46,122548714
1,47,54754237
1,48,115528655
1,49,56291481
1,50,120774197
1,51,92903665
1,52,170679363
1,53,120380337
1,54,90320636
1,55,91508927
1,56,82374992
1,57,82506771
1,58,26891342
1,59,113649230
1,60,57865455
1,61,175830535
1,62,108221676
1,63,85016783
1,64,82143764
1,65,113923512
1,66,57819428
1,67,148903643
1,68,112359811
1,69,57508345
1,70,88019034
1,71,92726998
1,72,129878694
1,73,179963023
1,74,82042636
1,75,164680964
1,76,123995598
1,77,58731393
1,78,53322278
1,79,204479493
1,80,82834901
1,81,119416296
1,82,175757847
1,83,66632717
1,84,60413098
1,85,126113880
1,86,175772316
1,87,116501488
1,88,88200112
1,89,174638341
1,90,84364402
1,91,55074094
1,92,170995505
1,93,56172525
1,94,50017772
1,95,89861783
1,96,168879366
1,97,61721977
1,98,85883463
1,99,116384867
1,100,117688584
2,1,166698935
2,2,110910446
2,3,112545825
2,4,143889099
2,5,166184267
2,6,50581079
2,7,160973323
2,8,103136385
2,9,114591197
2,10,158754102
2,11,51720480
2,12,111183898
2,13,55160960
2,14,124026692
2,15,160838349
2,16,112116104
2,17,105112574
2,18,29255858
2,19,53097689
2,20,156344160
2,21,123350330
2,22,57289300
2,23,64649152
2,24,27235260
2,25,115050222
2,26,146104945
2,27,171014888
2,28,118689681
2,29,59165976
2,30,68279477
2,31,124830765
2,32,67083368
2,33,204233012
2,34,187895985
2,35,82893419
2,36,165522413
2,37,164382249
2,38,52440004
2,39,106592095
2,40,113746977
2,41,114458838
2,42,172001053
2,43,99782495
2,44,54256452
2,45,110016053
2,46,77187800
2,47,25598460
2,48,107506828
2,49,99115263
2,50,113781010
2,51,108573533
2,52,51463674
2,53,167325884
2,54,117608215
2,55,55697960
2,56,46971138
2,57,109403032
2,58,105193338
2,59,49218292
2,60,108129427
2,61,25428608
2,62,154911303
2,63,155388477
2,64,27402616
2,65,50347215
2,66,101741152
