iteration,operation,ns
1,1,2987579
1,2,4771122
1,3,4155220
1,4,2300083
1,5,2036193
1,6,795992
1,7,2171035
1,8,755908
1,9,2512345
1,10,2137118
1,11,3187823
1,12,669197
1,13,963723
1,14,1925379
1,15,2631161
1,16,1002093
1,17,2132930
1,18,2237851
1,19,2648561
1,20,2060076
1,21,2050962
1,22,4819344
1,23,830659
1,24,718570
1,25,667250
1,26,2442137
1,27,2682666
1,28,2444186
1,29,2581109
1,30,3152327
1,31,928658
1,32,2389297
1,33,832970
1,34,3170347
1,35,2693359
1,36,2874117
1,37,1992426
1,38,1067701
1,39,2387680
1,40,2651131
1,41,1856331
1,42,2315034
1,43,2106314
1,44,2323032
1,45,2188143
1,46,2959224
1,47,2246136
1,48,2872546
1,49,2813408
1,50,2357450
1,51,2498940
1,52,2764715
1,53,1644500
1,54,2337125
1,55,2232863
1,56,2076698
1,57,2059344
1,58,1610249
1,59,654552
1,60,2913093
1,61,2946691
1,62,1976903
1,63,2068955
1,64,2017506
1,65,1907977
1,66,656311
1,67,2696349
1,68,1132740
1,69,2103412
1,70,2142995
1,71,2197262
1,72,908684
1,73,2437071
1,74,2197287
1,75,2397936
1,76,1937646
1,77,2554794
1,78,1829738
1,79,3073370
1,80,2021854
1,81,1071856
1,82,2097049
1,83,1937160
1,84,1944086
1,85,2128397
1,86,896186
1,87,1964541
1,88,1987081
1,89,1962341
1,90,1979508
1,91,937086
1,92,2457925
1,93,2092322
1,94,2165185
1,95,1997697
1,96,713053
1,97,1984946
1,98,2796864
1,99,1822912
1,100,1904699
2,1,3797946
2,2,4056330
2,3,3685387
2,4,3322189
2,5,2550857
2,6,2148157
2,7,859103
2,8,1967120
2,9,2834301
2,10,2659700
2,11,1892394
2,12,1997366
2,13,2172104
2,14,561379
2,15,2723969
2,16,903353
2,17,865377
2,18,2258147
2,19,2794000
2,20,2068522
2,21,694933
2,22,809938
2,23,2369517
2,24,2366697
2,25,2187105
2,26,2233563
2,27,965442
2,28,2539436
2,29,865784
2,30,2077279
2,31,1755801
2,32,2414569
2,33,2215192
2,34,2975532
2,35,820217
2,36,1868632
2,37,2354001
2,38,2103833
2,39,826589
2,40,2730714
2,41,2014243
2,42,1914084
2,43,2292540
2,44,2032155
2,45,1733109
2,46,1894751
2,47,1739048
2,48,1957673
2,49,1155995
2,50,839266
2,51,2199588
2,52,958043
2,53,2598923
2,54,2044946
2,55,2536752
2,56,2789587
2,57,2148292
2,58,1965435
2,59,2236535
2,60,2359373
2,61,2015939
2,62,2723665
2,63,2294284
2,64,2279210
2,65,2512751
2,66,2100596
2,67,2712459
2,68,2238832
2,69,2123512
2,70,2166585
2,71,1944564
2,72,2282415
2,73,2509657
2,74,972475
2,75,2047936
2,76,2797468
2,77,2083731
2,78,2175677
2,79,1990415
2,80,2185336
2,81,2399868
2,82,2451163
2,83,2261587
2,84,1947251
2,85,1849296
2,86,2438545
2,87,2736439
2,88,671931
2,89,824572
2,90,2009670
2,91,3242066
2,92,2100592
2,93,2002126
2,94,4354223
2,95,2084365
2,96,2641979
2,97,1720337
2,98,1681682
2,99,2766972
2,100,2303783
3,1,3360209
3,2,2280474
3,3,821635
3,4,2197987
3,5,744825
3,6,2173773
3,7,1042482
3,8,1890573
3,9,2798892
3,10,3155493
3,11,2186234
3,12,989318
3,13,824603
3,14,2041123
3,15,2159534
3,16,2253833
3,17,1896516
3,18,2431491
3,19,860538
3,20,2688424
3,21,3081782
3,22,2517878
3,23,2409792
3,24,2047866
3,25,2089368
3,26,2134733
3,27,2034461
3,28,1998794
3,29,2031750
3,30,1953709
3,31,2628570
3,32,967972
3,33,2317377
3,34,664205
3,35,1899015
3,36,2506983
3,37,4664014
3,38,941800
3,39,728516
3,40,2119476
3,41,2410489
3,42,2738627
3,43,1837323
3,44,2030043
3,45,2883620
3,46,847716
3,47,833654
3,48,807972
3,49,2508699
3,50,1876013
3,51,2589496
3,52,1735726
3,53,2591211
3,54,1954368
3,55,2574892
3,56,2154339
3,57,2064140
3,58,2261449
3,59,2193457
3,60,1871360
3,61,638569
3,62,2403685
3,63,2628119
3,64,2150398
3,65,2270613
3,66,2081472
3,67,2170654
3,68,2151370
3,69,2844875
3,70,2599204
3,71,2054088
3,72,1878226
3,73,804830
3,74,2217648
3,75,2430755
3,76,1140386
3,77,2099052
3,78,2160866
3,79,2496647
3,80,1998801
3,81,2460866
3,82,2264261
3,83,1806115
3,84,777785
3,85,1560280
3,86,1798063
3,87,2057919
