iteration,operation,ns
1,1,6630091
1,2,13989072
1,3,8395923
1,4,2748735
1,5,2632481
1,6,8449459
1,7,5921621
1,8,6151362
1,9,15464157
1,10,6796273
1,11,4712066
1,12,7184968
1,13,6413298
1,14,10643515
1,15,14431184
1,16,5852518
1,17,2449743
1,18,6224767
1,19,5334387
1,20,6287244
1,21,7411631
1,22,6590083
1,23,2582605
1,24,5438139
1,25,13915919
1,26,6082260
1,27,6577126
1,28,2495251
1,29,6654569
1,30,14105589
1,31,6733144
1,32,19453064
1,33,6438800
1,34,2787477
1,35,8796130
1,36,6802606
1,37,8681876
1,38,2649159
1,39,2897214
1,40,3046439
1,41,5553072
1,42,3114506
1,43,3157015
1,44,2845119
1,45,6337433
1,46,15253882
1,47,8818350
1,48,13691431
1,49,6025964
1,50,14513636
1,51,13183633
1,52,5928804
1,53,6589746
1,54,8618776
1,55,7258808
1,56,6666201
1,57,9008345
1,58,15800272
1,59,6973341
1,60,6108004
1,61,14595176
1,62,6463969
1,63,2576775
1,64,6220899
1,65,2551758
1,66,6973316
1,67,6540399
1,68,2569549
1,69,6490553
1,70,16294932
1,71,2695118
1,72,5682861
1,73,6642831
1,74,15909917
1,75,8367630
1,76,18275899
1,77,6976790
1,78,11637763
1,79,17034752
1,80,16216314
1,81,6016790
1,82,8552197
1,83,6610416
1,84,3056225
1,85,6014790
1,86,6496434
1,87,7631079
1,88,13591386
1,89,6656408
1,90,2773454
1,91,8742239
1,92,14043143
1,93,6238038
1,94,17354625
1,95,2512308
1,96,11455471
1,97,2989156
1,98,2833574
1,99,16658923
1,100,2598388
2,1,19310897
2,2,6675977
2,3,6244297
2,4,6262353
2,5,8404628
2,6,13647858
2,7,6542817
2,8,6795824
2,9,19254705
2,10,7349097
2,11,15524766
2,12,2785606
2,13,6814235
2,14,15473886
2,15,6812606
2,16,6434463
2,17,9524282
2,18,14559681
2,19,2611860
2,20,17973660
2,21,4672369
2,22,21054245
2,23,6905645
2,24,5953252
2,25,15231017
2,26,6488279
2,27,10388515
2,28,6490036
2,29,14935649
2,30,16143682
2,31,17074810
2,32,7183137
2,33,6351714
2,34,2814490
2,35,17149398
2,36,19992514
2,37,6034177
2,38,2954883
2,39,17419643
2,40,6708751
2,41,6367698
2,42,14598243
2,43,18085516
2,44,6284967
2,45,3034668
2,46,3098813
2,47,6185605
2,48,14827996
2,49,6456975
2,50,5942100
2,51,3055369
2,52,6318915
2,53,15706820
2,54,17302252
2,55,9048403
2,56,2408664
2,57,6483302
2,58,13812764
2,59,6147733
2,60,6403258
2,61,6029903
2,62,2509722
2,63,14184627
2,64,6644444
2,65,13780979
2,66,3207248
2,67,5838150
2,68,2737998
2,69,5910608
2,70,6688495
2,71,5860579
2,72,5733522
2,73,6787112
2,74,6173682
2,75,16774454
2,76,2811227
2,77,17960104
2,78,3737460
2,79,5059497
2,80,6147165
2,81,19781031
2,82,6517406
2,83,8566015
2,84,8577691
2,85,14494323
2,86,2537295
2,87,16065232
2,88,6660603
2,89,13623405
2,90,6079029
2,91,2797109
2,92,2775822
2,93,11518274
2,94,12189366
2,95,7062920
2,96,5823493
2,97,6348652
2,98,2405634
2,99,5504642
2,100,2811850
3,1,3097308
3,2,2798265
3,3,6693476
3,4,15499958
3,5,2764698
3,6,7272954
3,7,3222090
3,8,15352880
