iteration,operation,ns
1,1,11360309
1,2,9436626
1,3,7363066
1,4,10906797
1,5,10935529
1,6,10866853
1,7,5938584
1,8,12358933
1,9,8572275
1,10,4346548
1,11,12200183
1,12,8648957
1,13,11790052
1,14,10283641
1,15,10323401
1,16,6111744
1,17,9455044
1,18,7136016
1,19,9760861
1,20,9983024
1,21,3596292
1,22,3794248
1,23,9728992
1,24,8573130
1,25,9419767
1,26,10883798
1,27,7063384
1,28,7464422
1,29,3806353
1,30,7650446
1,31,8779275
1,32,9588180
1,33,9232844
1,34,6991703
1,35,7047573
1,36,9768775
1,37,4019562
1,38,3726937
1,39,3716588
1,40,10077927
1,41,9748869
1,42,9784944
1,43,8017881
1,44,3438935
1,45,3904775
1,46,9793213
1,47,8940992
1,48,6744484
1,49,8251059
1,50,9337018
1,51,10783684
1,52,8401752
1,53,3967923
1,54,4003354
1,55,7029083
1,56,9014544
1,57,10778681
1,58,7484915
1,59,8922095
1,60,3400063
1,61,3543042
1,62,7215484
1,63,14646051
1,64,10184497
1,65,10702342
1,66,9563571
1,67,7469578
1,68,10132129
1,69,3568404
1,70,3878961
1,71,7293210
1,72,7260979
1,73,7848824
1,74,10026697
1,75,9501093
1,76,11280868
1,77,6801064
1,78,7736030
1,79,9670379
1,80,10537663
1,81,10440136
1,82,7855691
1,83,9696209
1,84,7813504
1,85,7591323
1,86,10026398
1,87,10700217
1,88,10221501
1,89,11694606
1,90,10134194
1,91,9194512
1,92,3890317
1,93,9724871
1,94,3466453
1,95,8600234
1,96,9579548
1,97,3364491
1,98,10167249
1,99,3410971
1,100,8736996
2,1,6361374
2,2,8704569
2,3,8296308
2,4,10023346
2,5,10941910
2,6,7008022
2,7,10045057
2,8,7632416
2,9,9168448
2,10,3250329
2,11,10298122
2,12,4318730
2,13,10011115
2,14,9763322
2,15,9178578
2,16,9479240
2,17,11341195
2,18,10013920
2,19,4950975
2,20,10619171
2,21,4447502
2,22,10983452
2,23,7766986
2,24,9961855
2,25,3825397
2,26,10177309
2,27,8321957
2,28,9949789
2,29,9654680
2,30,8147849
2,31,11861519
2,32,10398035
2,33,7793370
2,34,10901876
2,35,11981467
2,36,10899861
2,37,10189161
2,38,11347364
2,39,10801959
2,40,11417996
2,41,7918106
2,42,4878981
2,43,10316665
2,44,11205888
2,45,11625058
2,46,8142005
2,47,8115313
2,48,10235212
2,49,11436317
2,50,10853511
2,51,9764698
2,52,7373003
2,53,9181153
2,54,9163972
2,55,3916514
2,56,10041043
2,57,8019148
2,58,10244120
2,59,8228671
2,60,10366052
2,61,9825100
2,62,4277071
2,63,10530847
2,64,8425617
2,65,10489891
2,66,10243629
2,67,7261407
2,68,9681627
2,69,7802447
2,70,3983658
2,71,10134926
2,72,11825465
2,73,7614103
2,74,10033660
2,75,10102071
2,76,8425374
2,77,10230299
2,78,7893852
2,79,10200910
2,80,9539920
2,81,7671465
2,82,9922384
2,83,8387728
2,84,3697143
2,85,7203211
2,86,9854661
2,87,9340249
2,88,7244095
2,89,3810899
2,90,3778926
2,91,9978000
2,92,7455790
2,93,10193663
2,94,7400135
2,95,10575125
2,96,6811463
2,97,7692108
2,98,3630542
2,99,6034630
2,100,7911177
3,1,9477534
3,2,9148227
3,3,6656347
3,4,10569997
3,5,10913675
3,6,4655592
3,7,8711836
3,8,8993324
3,9,6772765
3,10,6960145
3,11,3758217
3,12,7290678
3,13,12292419
3,14,7432838
3,15,10063485
3,16,2947685
3,17,9649677
3,18,9688137
3,19,6890958
3,20,4065411
3,21,3959647
3,22,7895674
3,23,9589051
3,24,3675460
3,25,9906247
3,26,7013149
3,27,7908168
3,28,11091492
3,29,9033588
3,30,9769229
3,31,8262921
3,32,9815654
3,33,9386150
3,34,9814032
3,35,3363705
3,36,10547971
3,37,3618822
3,38,11452409
3,39,4170533
3,40,14630212
3,41,8241945
3,42,13118070
3,43,10249822
3,44,7959626
3,45,8220476
3,46,8366452
3,47,7509809
3,48,4019234
3,49,7182439
3,50,8818427
3,51,9775511
3,52,10126359
3,53,3623672
3,54,7494036
3,55,9938808
3,56,11049186
3,57,6762282
3,58,9042965
3,59,7250161
3,60,6941327
3,61,10345556
3,62,7640528
3,63,10161464
3,64,9791740
3,65,11190645
3,66,4174515
3,67,3849553
3,68,10066499
3,69,10213387
3,70,4607039
3,71,7500517
3,72,7220188
3,73,7565327
3,74,3211027
3,75,10192847
3,76,3700942
3,77,10271971
3,78,7756104
3,79,10234630
3,80,10850711
3,81,7847963
3,82,10462180
3,83,11376176
3,84,9290180
