iteration,operation,ns
1,1,1813624
1,2,591780
1,3,4449264
1,4,1420243
1,5,2896563
1,6,1388638
1,7,1342181
1,8,2611058
1,9,1284503
1,10,559022
1,11,1294476
1,12,3348512
1,13,1183010
1,14,1230588
1,15,1458378
1,16,1205983
1,17,2979604
1,18,2442137
1,19,1413575
1,20,1374733
1,21,2845213
1,22,1300708
1,23,2669001
1,24,631932
1,25,1805229
1,26,557702
1,27,1384101
1,28,1147973
1,29,1211693
1,30,2889742
1,31,2536896
1,32,1235974
1,33,2676319
1,34,1425491
1,35,3077504
1,36,2839962
1,37,1299878
1,38,1177201
1,39,2921783
1,40,1218184
1,41,1334507
1,42,536289
1,43,1630711
1,44,1407057
1,45,1410734
1,46,2009106
1,47,2659235
1,48,1810954
1,49,1424998
1,50,2841482
1,51,1479490
1,52,1402158
1,53,1464913
1,54,2906392
1,55,1378095
1,56,1367462
1,57,1584207
1,58,1817204
1,59,415030
1,60,1475907
1,61,1271807
1,62,1265730
1,63,1390361
1,64,2744810
1,65,1731044
1,66,1886752
1,67,3102329
1,68,2857239
1,69,1745577
1,70,1338042
1,71,2874706
1,72,1302125
1,73,2919320
1,74,653125
1,75,1598799
1,76,657085
1,77,3169935
1,78,2884420
1,79,1882064
1,80,588960
1,81,1800165
1,82,3011997
1,83,2689875
1,84,1276850
1,85,1636686
1,86,1944455
1,87,618774
1,88,1272404
1,89,1870948
1,90,1812662
1,91,548274
1,92,1927788
1,93,2178926
1,94,1205932
1,95,1008449
1,96,2535634
1,97,2396140
1,98,2114073
1,99,2297874
1,100,2701422
2,1,1583536
2,2,2190871
2,3,3501267
2,4,1390290
2,5,696939
2,6,1938695
2,7,1562350
2,8,1913376
2,9,1347229
2,10,1529419
2,11,2276392
2,12,1346640
2,13,1407652
2,14,569861
2,15,1351537
2,16,3001144
2,17,539047
2,18,1655730
2,19,2423918
2,20,503618
2,21,696986
2,22,503172
2,23,1349849
2,24,685317
2,25,441670
2,26,674104
2,27,2931326
2,28,1487062
2,29,637695
2,30,1666264
2,31,2112677
2,32,2968769
2,33,1779283
2,34,1482422
2,35,1238090
2,36,3064019
2,37,538016
2,38,1499044
2,39,3151536
2,40,1671077
2,41,2716785
2,42,517592
2,43,1415071
2,44,1795474
2,45,1226759
2,46,1662798
2,47,3009871
2,48,2847514
2,49,2843501
2,50,2785169
2,51,1406594
2,52,2716758
2,53,2959310
2,54,502518
2,55,1236268
2,56,2697462
2,57,2805750
2,58,1302242
2,59,1941747
2,60,1635175
2,61,1201982
2,62,1198030
2,63,1005129
2,64,1342700
2,65,1947420
2,66,1840198
2,67,1472259
2,68,1337012
2,69,490639
2,70,545316
2,71,408134
2,72,1302111
2,73,1711746
2,74,1288833
2,75,3004955
2,76,1399030
2,77,1356896
2,78,2969495
2,79,1120610
2,80,1386916
2,81,1447993
2,82,706438
2,83,2068543
2,84,2649103
2,85,2618019
2,86,2663407
2,87,1333256
2,88,1324627
2,89,1313156
2,90,1992367
2,91,2429079
2,92,1496200
2,93,665611
2,94,3519470
2,95,1099138
2,96,1307804
2,97,2720077
2,98,501595
2,99,1342236
2,100,1519541
3,1,1670174
3,2,1548912
3,3,2809712
3,4,3394285
3,5,503196
3,6,551616
3,7,2735952
3,8,505110
3,9,1365869
3,10,1432277
3,11,2954073
3,12,1867915
3,13,615631
3,14,1485664
3,15,1324041
3,16,2780693
3,17,1618295
3,18,1364227
3,19,604605
3,20,3123361
3,21,3108407
3,22,1438393
3,23,1606436
3,24,3133280
3,25,3080867
3,26,1414401
3,27,550535
3,28,2564897
3,29,3223420
3,30,1448359
3,31,1516114
3,32,1315535
3,33,2986342
3,34,1260004
3,35,1246183
3,36,2400034
3,37,1256647
3,38,1371936
3,39,2986255
3,40,1407843
3,41,2962816
3,42,1299236
3,43,2861375
3,44,498263
3,45,2805266
3,46,1285773
3,47,1771790
3,48,3108242
3,49,648401
3,50,1503748
3,51,566613
3,52,1201307
3,53,1801781
3,54,597135
3,55,1857101
3,56,2775167
3,57,1342605
3,58,3022103
3,59,1173121
3,60,1465054
3,61,1453003
3,62,3287809
3,63,620206
3,64,1214697
3,65,1129096
3,66,1674308
3,67,590155
3,68,1255653
3,69,1336493
3,70,2558227
3,71,430636
3,72,1598338
3,73,2664098
3,74,505112
3,75,1237867
3,76,1491606
3,77,3096528
3,78,2808495
3,79,468813
3,80,1255149
3,81,2123968
3,82,1447599
3,83,1517527
3,84,1217287
3,85,531613
3,86,2580842
3,87,2812708
3,88,1249283
3,89,2811383
3,90,2313343
3,91,602268
3,92,819263
3,93,2883480
3,94,1441189
3,95,1010328
3,96,1007888
3,97,1069114
3,98,2572038
3,99,1304538
3,100,1798681
4,1,2352118
4,2,1586827
4,3,706335
4,4,1752087
4,5,2112345
4,6,1397347
4,7,1407465
4,8,3057343
4,9,1373729
4,10,546567
4,11,1432191
4,12,2194537
4,13,1631113
4,14,2666566
4,15,1520186
4,16,1396573
4,17,2919989
4,18,1322988
4,19,2745948
4,20,657734
4,21,1724523
4,22,556844
4,23,2830254
