iteration,operation,ns
1,1,2470793
1,2,1803109
1,3,1477399
1,4,2577588
1,5,3780057
1,6,3699278
1,7,2123479
1,8,4003029
1,9,2712917
1,10,1731480
1,11,1895367
1,12,2849306
1,13,3218694
1,14,2012704
1,15,1881364
1,16,2367511
1,17,1679280
1,18,4218749
1,19,2248126
1,20,1520651
1,21,2209021
1,22,4733824
1,23,4849263
1,24,2865519
1,25,2653060
1,26,1628412
1,27,4794372
1,28,4308139
1,29,3533720
1,30,1553629
1,31,1878135
1,32,1424245
1,33,1386906
1,34,4323638
1,35,3148495
1,36,2223945
1,37,3980616
1,38,2436851
1,39,3687331
1,40,4901421
1,41,3073995
1,42,1257280
1,43,2215296
1,44,1711071
1,45,3154509
1,46,4773185
1,47,4378144
1,48,3992766
1,49,1787206
1,50,4198897
1,51,2567860
1,52,3793758
1,53,2731073
1,54,1742089
1,55,4588757
1,56,3782517
1,57,2343831
1,58,3994162
1,59,4350258
1,60,4113195
1,61,3004127
1,62,4499278
1,63,3445064
1,64,5692139
1,65,2804342
1,66,3689930
1,67,2823726
1,68,3023594
1,69,3991472
1,70,2754243
1,71,1755566
1,72,2339576
1,73,2603808
1,74,5154212
1,75,2581668
1,76,5792129
1,77,2610724
1,78,4555901
1,79,2032461
1,80,1998959
1,81,2382158
1,82,3101643
1,83,3002071
1,84,2903579
1,85,1569542
1,86,4300662
1,87,2188624
1,88,1514378
1,89,2987828
1,90,2858737
1,91,2295119
1,92,4505010
1,93,2696669
1,94,1456520
1,95,3035722
1,96,2800882
1,97,1712131
1,98,1416947
1,99,4096146
1,100,4165964
2,1,4389771
2,2,2176608
2,3,2431500
2,4,3006567
2,5,2063974
2,6,1471741
2,7,3603628
2,8,3066267
2,9,3192955
2,10,3089151
2,11,2270253
2,12,4073029
2,13,1940071
2,14,3717178
2,15,1721349
2,16,2987409
2,17,1398933
2,18,3677480
2,19,1848834
2,20,1423532
2,21,2350111
2,22,2348368
2,23,3851787
2,24,2325951
2,25,1830130
2,26,1044528
2,27,3346254
2,28,3532172
2,29,1770221
2,30,1940052
2,31,2078990
2,32,1765803
2,33,3748275
2,34,1483284
2,35,1139778
2,36,3666272
2,37,1473748
2,38,2052098
2,39,2482780
2,40,1784900
2,41,3252142
2,42,2504475
2,43,2037369
2,44,1997934
2,45,2363173
2,46,3170330
2,47,3554241
2,48,3727960
2,49,1912589
2,50,3466178
2,51,1346394
2,52,1344948
2,53,3125517
2,54,2249662
2,55,3940790
2,56,2983617
2,57,2236413
2,58,2471195
2,59,3331568
2,60,3536642
2,61,1693940
2,62,1731078
2,63,1914096
2,64,3643237
2,65,3432715
2,66,2193306
2,67,2170432
2,68,2255991
2,69,4050732
2,70,3976101
2,71,1314698
2,72,3447227
2,73,4097751
2,74,2094075
2,75,1995711
2,76,3862881
2,77,3067328
2,78,4384982
2,79,2229144
2,80,2309700
2,81,2182791
2,82,2086820
2,83,2119850
2,84,2127806
2,85,3819177
2,86,2246235
2,87,2694060
2,88,1338814
2,89,3131508
2,90,3101541
2,91,1994804
2,92,1807036
2,93,1309653
2,94,3523683
2,95,4714977
2,96,2182524
2,97,1892727
2,98,3198602
2,99,4243562
2,100,2939881
3,1,4792670
3,2,3543421
3,3,1669829
3,4,3233819
3,5,3080429
3,6,3729888
3,7,3858299
3,8,3511831
3,9,3250737
3,10,2035717
3,11,1959194
3,12,3781471
3,13,1634118
3,14,3285342
3,15,2987592
3,16,1092600
3,17,3387547
3,18,2321034
3,19,1771340
3,20,1759563
3,21,3492311
3,22,3009514
3,23,3552571
3,24,3227447
3,25,1546789
3,26,3624013
3,27,1504521
3,28,3029609
3,29,1433119
3,30,2896245
3,31,1220857
3,32,2016916
3,33,1790137
3,34,2742431
3,35,1575289
3,36,2456078
3,37,1141427
3,38,2132946
3,39,1273666
3,40,3789946
3,41,1935499
3,42,1928901
3,43,1123583
3,44,2232220
3,45,1909883
3,46,3556788
3,47,1938329
3,48,1218670
3,49,2263013
3,50,1616128
3,51,2204364
3,52,1980197
3,53,1412136
3,54,1825911
3,55,2135784
3,56,3232077
3,57,1613826
3,58,2021824
3,59,3150869
3,60,3448347
3,61,2747587
3,62,1992470
3,63,2025657
3,64,3820698
3,65,1726310
3,66,3733462
3,67,1075841
3,68,1003085
3,69,2097647
3,70,2664107
3,71,1446786
3,72,1618579
3,73,1485977
3,74,2703155
3,75,1435493
3,76,3275622
3,77,2278071
3,78,2952595
3,79,2607444
3,80,3395107
3,81,4669575
3,82,3233374
3,83,1389630
