iteration,operation,ns
1,1,9279596
1,2,20430187
1,3,25531127
1,4,42603319
1,5,2924522
1,6,9459896
1,7,2910492
1,8,29492301
1,9,33608351
1,10,35045604
1,11,8351511
1,12,29496368
1,13,3624409
1,14,56674946
1,15,2112020
1,16,105596159
1,17,182481537
1,18,5622777
1,19,68301313
1,20,38385780
1,21,27791629
1,22,2002077
1,23,15661718
1,24,28293820
1,25,34622339
1,26,31267974
1,27,29761862
1,28,2657604
1,29,1862376
1,30,2062033
1,31,2450890
1,32,2098382
1,33,22248089
1,34,55240060
1,35,28593042
1,36,25028364
1,37,26915899
1,38,50815863
1,39,2691493
1,40,2207565
1,41,1618474
1,42,22107781
1,43,33102050
1,44,31502088
1,45,34594012
1,46,33426875
1,47,2846894
1,48,4533125
1,49,31499456
1,50,31751577
1,51,34348277
1,52,21147152
1,53,17642578
1,54,32570558
1,55,2128008
1,56,28417812
1,57,25897866
1,58,39827124
1,59,2338013
1,60,33478174
1,61,24480785
1,62,2867042
1,63,3121983
1,64,3063470
1,65,30435172
1,66,29981745
1,67,2153080
1,68,3233870
1,69,29860867
1,70,36517632
1,71,1817412
1,72,2425543
1,73,4099202
1,74,2630693
1,75,2319417
1,76,25852275
1,77,28300264
1,78,35708707
1,79,2368468
1,80,27758984
1,81,3406317
1,82,30509098
1,83,33511360
1,84,35089805
1,85,3094715
1,86,23007105
1,87,33275294
1,88,2777020
1,89,13579875
1,90,1743350
1,91,17956963
1,92,1667711
1,93,1752864
1,94,13149489
1,95,16463048
1,96,16703827
1,97,11775695
1,98,2090981
1,99,2149872
1,100,16126671
2,1,6470094
2,2,6010780
2,3,8286196
2,4,43481860
2,5,31213382
2,6,2967581
2,7,37088713
2,8,2241512
2,9,35461188
2,10,2681966
2,11,29633716
2,12,2259070
2,13,30620378
2,14,28010216
2,15,30445742
2,16,2190945
2,17,1739189
2,18,24293042
2,19,2546506
2,20,2268541
2,21,2763579
2,22,26838384
2,23,1907890
2,24,1997099
2,25,1879530
2,26,17887744
2,27,2485154
2,28,27211453
2,29,1914842
2,30,1855090
2,31,1998413
2,32,1549486
2,33,1755504
2,34,18740925
2,35,1951512
2,36,2518654
2,37,1941735
2,38,24289226
2,39,35205428
2,40,2187275
2,41,2012450
2,42,1916795
2,43,3749830
2,44,4182566
2,45,34694898
2,46,26204396
2,47,25566547
2,48,2396829
2,49,26883470
