iteration,operation,ns
1,1,37924961
1,2,2949540
1,3,33850002
1,4,3012107
1,5,2656812
1,6,3200960
1,7,28065737
1,8,22660721
1,9,30396829
1,10,3585050
1,11,4391797
1,12,26274671
1,13,28196823
1,14,2826822
1,15,6801965
1,16,36607869
1,17,108880326
1,18,8219545
1,19,156423321
1,20,110523145
1,21,43596550
1,22,30292675
1,23,2184159
1,24,2360036
1,25,37530281
1,26,1999794
1,27,3519340
1,28,32558961
1,29,29723442
1,30,33931742
1,31,2433824
1,32,22087333
1,33,2195698
1,34,2012796
1,35,29631673
1,36,52657886
1,37,2989393
1,38,47382781
1,39,2325164
1,40,48427563
1,41,32828536
1,42,2514338
1,43,29475415
1,44,1827081
1,45,26710428
1,46,34476603
1,47,2039817
1,48,33179860
1,49,3790601
1,50,33846947
1,51,34321812
1,52,34027177
1,53,25356944
1,54,2949207
1,55,2125098
1,56,1523759
1,57,2668426
1,58,2283231
1,59,24427716
1,60,33156841
1,61,2305565
1,62,2499432
1,63,29434519
1,64,37969661
1,65,2124691
1,66,31754319
1,67,29771237
1,68,2438564
1,69,2103998
1,70,2327880
1,71,1612414
1,72,2713408
1,73,2243178
1,74,18444960
1,75,37927184
1,76,5865004
1,77,25758715
1,78,2173302
1,79,34130264
1,80,34664464
1,81,4753689
1,82,2238465
1,83,21053507
1,84,28738676
1,85,30269041
1,86,2169142
1,87,28623205
1,88,37573471
1,89,37519179
1,90,31286675
1,91,2692892
1,92,2457000
1,93,19163974
1,94,2446586
1,95,2419220
1,96,2031164
1,97,1875254
1,98,2338292
1,99,23074194
1,100,2240957
2,1,41291140
2,2,41750771
2,3,45755707
2,4,39458026
2,5,36280665
2,6,32923332
2,7,2120822
2,8,1836508
2,9,1889971
2,10,20226388
2,11,30485719
2,12,28341985
2,13,2438587
2,14,22663036
2,15,26968154
2,16,30668695
2,17,2597048
2,18,24599041
2,19,25316981
2,20,36855971
2,21,2307205
2,22,31499576
2,23,24542529
2,24,28760120
2,25,23207113
2,26,31192719
2,27,2141937
2,28,24424591
2,29,36656930
2,30,28603154
2,31,25136546
2,32,1844490
2,33,8934051
2,34,29960042
2,35,31883142
2,36,2362279
2,37,31049215
2,38,2270872
2,39,2194214
2,40,2364813
2,41,20582450
2,42,2044599
2,43,30305383
2,44,36794410
2,45,30779853
2,46,41077214
2,47,1758845
2,48,6315749
2,49,23080662
2,50,30395711
2,51,2194668
2,52,2008291
2,53,22231860
2,54,2595466
2,55,32243969
2,56,30751664
2,57,33579674
2,58,21669458
2,59,33597056
2,60,2290799
2,61,24572570
2,62,3770306
2,63,3215055
2,64,20762269
2,65,2425528
2,66,1978022
2,67,33134593
2,68,4737758
2,69,26809191
2,70,34577552
2,71,2482529
2,72,5182668
2,73,2406679
2,74,27191300
2,75,2236388
2,76,27065509
2,77,1910781
2,78,2255609
2,79,19107450
2,80,1889155
2,81,2445399
2,82,1709729
2,83,1533040
2,84,2746138
2,85,18343160
2,86,1462619
2,87,27078686
2,88,4568300
2,89,4570659
2,90,19129251
2,91,3837540
2,92,2221409
2,93,2442384
2,94,13588302
2,95,14182946
2,96,1758305
2,97,15035421
2,98,1650532
2,99,1799858
2,100,9541414
3,1,36069845
3,2,6883639
3,3,7832742
3,4,32495698
3,5,29114846
3,6,40551816
3,7,29987717
3,8,2334116
3,9,4098194
3,10,27119475
3,11,1960160
3,12,2792723
3,13,1801904
3,14,26395146
3,15,31600415
3,16,30130838
3,17,32596966
3,18,2391749
3,19,20867651
3,20,34136100
3,21,2050984
3,22,24262748
3,23,2401989
3,24,26490810
3,25,29021114
3,26,1739527
3,27,25190059
3,28,10165824
3,29,2255762
3,30,7717240
3,31,5068087
3,32,39762508
3,33,12329769
3,34,44792635
3,35,27651986
3,36,28275829
3,37,27820708
3,38,1709643
3,39,27481539
3,40,29727164
3,41,36291357
3,42,2597232
3,43,6086266
3,44,33533848
3,45,25876635
3,46,25381898
3,47,40369053
3,48,30700342
3,49,3007717
3,50,4939329
3,51,34110772
3,52,36021113
3,53,29397083
3,54,26747301
3,55,2281368
3,56,23349806
3,57,21376696
3,58,35375609
3,59,35325043
3,60,33712681
3,61,31673785
3,62,31296458
3,63,25063353
3,64,2300323
3,65,26689085
3,66,35204091
3,67,5492273
3,68,3052741
3,69,21608923
3,70,29603197
3,71,26382629
3,72,34888676
3,73,25033941
3,74,1874170
3,75,24398022
3,76,5176129
3,77,1758578
3,78,2240283
3,79,5656425
3,80,2441751
3,81,16587472
3,82,9724353
3,83,15389652
3,84,1909930
3,85,12825805
3,86,10926087
3,87,11243402
3,88,12140081
3,89,1477075
3,90,9427273
3,91,10931029
3,92,1431750
3,93,1860489
3,94,9513443
3,95,15829275
3,96,1625474
3,97,1692824
3,98,18222018
3,99,6140444
3,100,11422690
4,1,37941097
4,2,2463735
4,3,2546581
4,4,27874777
4,5,2223262
4,6,27102813
4,7,35139426
4,8,32008479
4,9,28583922
4,10,35507294
4,11,151696273
4,12,77209511
4,13,4599783
4,14,1874053
4,15,111531218
4,16,3147570
4,17,2806900
4,18,49569601
4,19,2413553
4,20,2669478
4,21,3523739
4,22,22026503
4,23,25763023
4,24,3066578
4,25,33928482
4,26,2428368
4,27,24824500
4,28,2986780
4,29,32365940
4,30,3662101
4,31,26458485
4,32,2134167
4,33,2757428
4,34,2823567
4,35,4834380
4,36,10626130
4,37,3421798
4,38,25757329
4,39,33016315
4,40,3246413
4,41,2523623
4,42,38178800
4,43,4895782
4,44,27796277
4,45,45021989
4,46,36272813
4,47,27231559
4,48,30546811
4,49,3132190
4,50,23819490
4,51,2490764
4,52,2293858
4,53,25316535
4,54,31279731
4,55,30387546
4,56,2861537
4,57,27288999
4,58,5165727
4,59,5955899
4,60,25364876
4,61,25954593
4,62,26611070
4,63,3094982
4,64,25269613
4,65,2082309
4,66,28511233
4,67,4176908
4,68,4146739
4,69,32605965
4,70,10893058
4,71,3784209
4,72,29098010
4,73,4347350
4,74,31737580
4,75,2986276
4,76,2706518
4,77,2715761
4,78,24596037
4,79,8826419
4,80,37900331
4,81,2965832
4,82,7879198
4,83,3532070
4,84,33633084
4,85,36461782
4,86,18669465
4,87,4653214
4,88,2772177
4,89,1870703
4,90,2272408
4,91,24074506
4,92,4797575
4,93,3420724
4,94,5116114
4,95,23961606
4,96,2999207
4,97,30134171
4,98,3025888
4,99,33211599
4,100,26019269
5,1,55277085
5,2,58049043
5,3,3282430
5,4,8790481
5,5,22426933
5,6,27012437
5,7,2792775
5,8,17207702
5,9,27314598
5,10,38292285
5,11,2000691
5,12,35922229
5,13,2229698
5,14,1856932
5,15,30379536
5,16,2209268
5,17,41639684
5,18,2364969
5,19,43398101
5,20,1768395
5,21,1920346
5,22,40168718
5,23,31152587
5,24,47983101
5,25,28603308
5,26,29794004
5,27,2022939
5,28,1812791
5,29,21291085
