iteration,operation,ns
1,1,5354309
1,2,6871046
1,3,6846447
1,4,5069918
1,5,6033191
1,6,17076304
1,7,14726364
1,8,14587691
1,9,16929050
1,10,10176077
1,11,24785276
1,12,7509352
1,13,7512129
1,14,6092318
1,15,3820390
1,16,8975869
1,17,6568701
1,18,6077614
1,19,8044265
1,20,12366792
1,21,6684829
1,22,4530650
1,23,6238510
1,24,6057917
1,25,14428433
1,26,5676340
1,27,8259430
1,28,4474176
1,29,6510739
1,30,4323771
1,31,3476257
1,32,5157711
1,33,3907727
1,34,7586959
1,35,5899116
1,36,7477773
1,37,4782651
1,38,12281472
1,39,7223007
1,40,6259606
1,41,6519162
1,42,5635527
1,43,6210363
1,44,6254832
1,45,7782669
1,46,3548847
1,47,4334344
1,48,4320143
1,49,4476042
1,50,10728472
1,51,6242922
1,52,7393062
1,53,6735465
1,54,4909131
1,55,5145480
1,56,5372687
1,57,14691882
1,58,7040611
1,59,5365712
1,60,5393871
1,61,11357273
1,62,12359049
1,63,7572701
1,64,11061645
1,65,10692570
1,66,15664589
1,67,7632243
1,68,7248039
1,69,11799078
1,70,7279580
1,71,11453497
1,72,6970398
1,73,4202529
1,74,6048777
1,75,8012403
1,76,5459007
1,77,8230413
1,78,5882002
1,79,7014959
1,80,8763118
1,81,12122528
1,82,18961022
1,83,7087200
1,84,20174623
1,85,9420547
1,86,7252114
1,87,9390584
1,88,10204680
1,89,9566308
1,90,12047657
1,91,15809074
1,92,11109027
1,93,7365928
1,94,8799129
1,95,17329781
1,96,9551607
1,97,12893017
1,98,8428756
1,99,20722290
1,100,9263985
2,1,7477710
2,2,6112978
2,3,6487290
2,4,7240006
2,5,6239268
2,6,9504354
2,7,5535537
2,8,5362857
2,9,8958791
2,10,7236149
2,11,6850477
2,12,4449419
2,13,7218963
2,14,5188715
2,15,5189387
2,16,3915842
2,17,5925769
2,18,8911514
2,19,9348941
2,20,5371400
2,21,5005006
2,22,9522303
2,23,14238970
2,24,7171865
2,25,6558533
2,26,7957427
2,27,4664581
2,28,4129967
2,29,8321857
2,30,6580538
2,31,5252493
2,32,6379248
2,33,4775975
2,34,5863884
2,35,5990164
2,36,10331861
2,37,5497603
2,38,6179735
2,39,10482835
2,40,4969597
2,41,6569313
2,42,5041813
2,43,4553346
2,44,6400952
2,45,5022984
2,46,7913236
2,47,8288910
2,48,5149270
2,49,18251648
2,50,4985632
2,51,7970139
2,52,10537186
2,53,11951265
2,54,12815704
2,55,17546891
2,56,8457530
2,57,14808561
2,58,9371429
2,59,11659029
2,60,9779808
2,61,11303823
2,62,3647485
2,63,6430711
2,64,6740497
2,65,7659176
2,66,5342291
2,67,3867575
2,68,5599466
2,69,6825397
2,70,10503477
2,71,3873545
2,72,9141200
2,73,13219832
2,74,4540953
2,75,8800103
2,76,20305119
2,77,6076918
2,78,12003592
2,79,18523033
2,80,12472885
2,81,12519091
2,82,7445379
2,83,5341091
2,84,9551463
2,85,4885040
2,86,6844511
2,87,9275402
2,88,5214943
2,89,11160143
2,90,10554351
2,91,5598475
2,92,6086191
2,93,12269888
2,94,4676887
2,95,7838174
2,96,5290020
2,97,5637338
2,98,4616738
2,99,7515879
2,100,6033410
3,1,13336631
3,2,6762192
3,3,5104809
3,4,7537172
3,5,8352033
3,6,4327056
3,7,7758425
3,8,3412488
