iteration,operation,ns
1,1,2348352
1,2,34725091
1,3,39131617
1,4,2280869
1,5,2971476
1,6,2314134
1,7,42762573
1,8,2153960
1,9,2946557
1,10,29192007
1,11,2546619
1,12,2115686
1,13,1983397
1,14,1824922
1,15,2375267
1,16,2390060
1,17,2616128
1,18,3019533
1,19,2472866
1,20,1640693
1,21,38596094
1,22,2166826
1,23,39897075
1,24,41210201
1,25,39046885
1,26,2683069
1,27,36364535
1,28,4575048
1,29,27371355
1,30,1713622
1,31,2237117
1,32,38394389
1,33,2400633
1,34,1885562
1,35,2213453
1,36,2479702
1,37,1523021
1,38,2602528
1,39,38062134
1,40,1953892
1,41,2117043
1,42,3099266
1,43,2373954
1,44,2281857
1,45,2890832
1,46,29463488
1,47,2408482
1,48,2586369
1,49,37286078
1,50,1853808
1,51,2314209
1,52,41078572
1,53,2537080
1,54,1615373
1,55,2741194
1,56,2693787
1,57,3494201
1,58,2849809
1,59,2556320
1,60,1966264
1,61,3684668
1,62,1607748
1,63,35139777
1,64,2449717
1,65,2016968
1,66,36801145
1,67,5606508
1,68,2415728
1,69,2423678
1,70,1590366
1,71,2428403
1,72,1848814
1,73,3169906
1,74,2121702
1,75,1781258
1,76,2635978
1,77,2791751
1,78,38699851
1,79,35051921
1,80,2254382
1,81,2342499
1,82,2057596
1,83,1602076
1,84,2791148
1,85,3523725
1,86,2445554
1,87,2117691
1,88,23823898
1,89,2282657
1,90,1676363
1,91,38487487
1,92,2690619
1,93,2139257
1,94,3081897
1,95,34400186
1,96,3664676
1,97,1893708
1,98,2276119
1,99,2658844
1,100,1680097
2,1,33796978
2,2,1950005
2,3,2308895
2,4,1962682
2,5,2116020
2,6,1918644
2,7,2292399
2,8,2267170
2,9,44646299
2,10,2552290
2,11,3393317
2,12,2366970
2,13,3308824
2,14,2855866
2,15,2942595
2,16,43255039
2,17,3441011
2,18,2491896
2,19,3938497
2,20,2188242
2,21,2440833
2,22,1982752
2,23,1688722
2,24,1643196
2,25,3557295
2,26,2012938
2,27,2121288
2,28,2325749
2,29,2434708
2,30,3067615
2,31,3017765
2,32,1890510
2,33,2094915
2,34,35641250
2,35,1480439
2,36,1517830
2,37,3436937
2,38,2411582
2,39,2310141
2,40,2111528
2,41,1887576
2,42,3891276
2,43,38346156
2,44,38598274
2,45,3402365
2,46,3065399
2,47,2311206
2,48,4749139
2,49,1877872
2,50,41799800
2,51,2025917
2,52,2431521
2,53,37265292
2,54,3852046
2,55,39792707
2,56,2855925
2,57,3353601
2,58,2350343
2,59,3580506
2,60,4034877
2,61,3435136
2,62,1610575
2,63,2151502
2,64,36697359
2,65,2186132
2,66,45424168
2,67,2647927
2,68,1967830
2,69,3242609
2,70,41553945
2,71,4384741
2,72,1902918
2,73,2747645
2,74,40216732
2,75,63749447
2,76,3141614
2,77,2113464
2,78,2271434
2,79,2977950
2,80,3532394
2,81,2414195
2,82,2425420
2,83,44521573
2,84,2668448
2,85,3621343
2,86,1907682
2,87,38464670
2,88,3287548
2,89,3348154
2,90,2601935
2,91,41564648
2,92,2798387
2,93,58855490
2,94,2394136
2,95,3211532
2,96,2063396
2,97,4085956
2,98,3608671
2,99,54369472
2,100,1877246
3,1,2276718
3,2,3481685
3,3,3621997
3,4,2824174
3,5,2569568
3,6,2881025
3,7,39298329
3,8,3102553
3,9,1782339
3,10,2203471
3,11,2598046
3,12,1993544
3,13,35027542
3,14,2556127
3,15,2658105
3,16,3362756
3,17,2134865
3,18,1431853
3,19,2085921
3,20,2175502
3,21,37423249
3,22,2702224
3,23,2182943
3,24,36889793
3,25,2223491
3,26,2264161
3,27,2092998
3,28,1788060
3,29,2688047
3,30,3220440
3,31,1901987
3,32,2423479
3,33,2495121
3,34,2396953
3,35,2268600
3,36,2981366
3,37,2230130
3,38,30318584
3,39,2463860
3,40,27147134
3,41,3093093
3,42,24317296
3,43,2882747
3,44,1688392
3,45,36800875
3,46,3078009
3,47,2441992
3,48,31226068
3,49,1983022
3,50,42075219
3,51,22042127
3,52,2310235
3,53,39495825
3,54,40322748
3,55,35447734
3,56,2473943
3,57,2173642
3,58,2483869
3,59,2370016
3,60,3121553
3,61,3149397
3,62,2158710
3,63,3006822
3,64,2575637
3,65,2752390
3,66,33244999
3,67,2470943
3,68,39653878
3,69,2004853
3,70,1935266
3,71,37407882
3,72,2555263
3,73,1999677
3,74,1546494
3,75,3351744
3,76,3227980
3,77,34097883
3,78,2278978
3,79,2365868
