iteration,operation,ns
1,1,1431295
1,2,1754317
1,3,1751167
1,4,1564169
1,5,1664959
1,6,62061339
1,7,114166737
1,8,58804972
1,9,1845084
1,10,1519698
1,11,105618195
1,12,1081040
1,13,5003358
1,14,79834815
1,15,56871861
1,16,123744905
1,17,1738235
1,18,1706691
1,19,1630583
1,20,1555186
1,21,1491103
1,22,1569988
1,23,815836
1,24,932024
1,25,95071571
1,26,1172002
1,27,1513623
1,28,95837223
1,29,113219096
1,30,58575659
1,31,1671921
1,32,1695381
1,33,1525745
1,34,81738176
1,35,80164235
1,36,52932537
1,37,65631914
1,38,100646125
1,39,1553869
1,40,874900
1,41,4447092
1,42,937553
1,43,1496761
1,44,101057292
1,45,57773277
1,46,1722754
1,47,4687000
1,48,80126977
1,49,77143340
1,50,1532143
1,51,101444716
1,52,64215494
1,53,101550060
1,54,1627955
1,55,1733190
1,56,84059496
1,57,1593966
1,58,1811726
1,59,825937
1,60,59131076
1,61,1019204
1,62,1616072
1,63,1633418
1,64,1344479
1,65,2970420
1,66,1805385
1,67,1639625
1,68,5043422
1,69,53366571
1,70,1515458
1,71,1730096
1,72,98560387
1,73,59046112
1,74,1683712
1,75,145072177
1,76,1031961
1,77,1608904
1,78,1762011
1,79,61211252
1,80,56696207
1,81,96934004
1,82,67064657
1,83,1606959
1,84,5140525
1,85,1701837
1,86,1749154
1,87,64251035
1,88,1549046
1,89,994942
1,90,1751086
1,91,766556
1,92,1540368
1,93,1625279
1,94,962452
1,95,102562913
1,96,77107086
1,97,931525
1,98,1473079
1,99,823293
1,100,1638264
2,1,75728611
2,2,1687119
2,3,5066090
2,4,1713101
2,5,57286960
2,6,75562698
2,7,1538560
2,8,1612405
2,9,68257305
2,10,915027
2,11,1632484
2,12,111373812
2,13,1629609
2,14,1466798
2,15,931930
2,16,861582
2,17,104324771
2,18,1503672
2,19,57060770
2,20,114748737
2,21,54446477
2,22,1687232
2,23,1579740
2,24,4462128
2,25,1666108
2,26,85737247
2,27,922800
