iteration,operation,ns
1,1,6798932
1,2,6070361
1,3,4851620
1,4,6692264
1,5,3490276
1,6,25102476
1,7,5738332
1,8,6202868
1,9,29878700
1,10,8799464
1,11,3015320
1,12,5595008
1,13,7477442
1,14,17276750
1,15,4042376
1,16,2717421
1,17,5584680
1,18,22076133
1,19,14257021
1,20,23769776
1,21,7882044
1,22,34473287
1,23,8851881
1,24,4365529
1,25,16717698
1,26,22231390
1,27,22039737
1,28,2101171
1,29,7087515
1,30,33695208
1,31,7352487
1,32,21854226
1,33,5592671
1,34,43670543
1,35,22572249
1,36,18269805
1,37,2186045
1,38,6722789
1,39,15716877
1,40,12199737
1,41,5392515
1,42,3511416
1,43,5121088
1,44,29086934
1,45,14533784
1,46,27213110
1,47,9661097
1,48,26652990
1,49,14760307
1,50,6822589
1,51,23576626
1,52,2342114
1,53,6666119
1,54,5733000
1,55,20895162
1,56,5685077
1,57,3700876
1,58,7632589
1,59,3759555
1,60,8422576
1,61,9510287
1,62,13939820
1,63,6427779
1,64,7805976
1,65,3156689
1,66,4695810
1,67,8656487
1,68,8748258
1,69,6603601
1,70,6662634
1,71,4782600
1,72,20667165
1,73,4381326
1,74,17829267
1,75,7288585
1,76,19221616
1,77,4888603
1,78,3268091
1,79,15321849
1,80,4616993
1,81,11552546
1,82,14854093
1,83,7296697
1,84,7390145
1,85,36132680
1,86,7927735
1,87,10631449
1,88,17562735
1,89,14146886
1,90,7759358
1,91,6586419
1,92,9065246
1,93,11549178
1,94,8546504
1,95,5362042
1,96,6554065
1,97,12630785
1,98,5267765
1,99,4875215
1,100,14658245
2,1,19722681
2,2,2740697
2,3,3690814
2,4,22354479
2,5,5071640
2,6,29081771
2,7,2232877
2,8,8001283
2,9,6579888
2,10,6020535
2,11,14795470
2,12,9801152
2,13,6302323
2,14,4527345
2,15,4808840
2,16,6005535
2,17,2283735
2,18,2715039
2,19,32233879
2,20,5407453
2,21,6284869
2,22,5778774
2,23,11444019
2,24,28494242
2,25,16306557
2,26,39771386
2,27,4092413
2,28,7340421
2,29,6813904
2,30,7118855
2,31,16977341
2,32,26923488
2,33,2863618
2,34,6758096
2,35,10785730
2,36,3643578
2,37,19969843
2,38,12619297
2,39,6611484
2,40,4522388
2,41,1889980
2,42,5042492
2,43,6199931
2,44,8110818
2,45,7700633
2,46,3196900
2,47,8457808
2,48,5803191
2,49,4048122
2,50,1930237
2,51,13530238
2,52,2495851
2,53,27148544
2,54,6704654
2,55,47152907
2,56,5230656
2,57,14910527
2,58,18625020
2,59,5665239
2,60,16280222
2,61,3250475
2,62,6937916
2,63,8429722
2,64,14761858
2,65,20272564
2,66,7076278
2,67,7403835
2,68,6683379
2,69,4615588
2,70,7923903
2,71,8026136
2,72,9828821
2,73,15482958
2,74,6463331
2,75,14564081
2,76,6250482
2,77,2543182
2,78,2914452
2,79,7460667
2,80,8602166
2,81,7639012
2,82,8133934
2,83,2168363
2,84,6261971
2,85,3694436
2,86,6823112
2,87,10336778
2,88,13416882
2,89,3001201
2,90,2886000
2,91,6523635
2,92,5923420
2,93,7585357
2,94,6797996
2,95,7350074
2,96,8901070
2,97,4815744
2,98,8531303
2,99,14822049
2,100,6909542
3,1,17537040
3,2,6520467
3,3,8091770
3,4,11179255
3,5,11237013
3,6,24307419
3,7,6911470
3,8,3723608
3,9,7310437
3,10,6456342
3,11,9406098
3,12,14246599
3,13,14497197
3,14,69276208
3,15,25279884
3,16,30824113
