iteration,operation,ns
1,1,56641992
1,2,46233812
1,3,94986950
1,4,78567370
1,5,35422691
1,6,32302202
1,7,24589979
1,8,30921435
1,9,24459449
1,10,34282576
1,11,34165687
1,12,29093175
1,13,31116118
1,14,30243037
1,15,31514160
1,16,28081462
1,17,27394150
1,18,30044419
1,19,35706990
1,20,28993874
1,21,25771542
1,22,29886810
1,23,26482857
1,24,28432715
1,25,26381148
1,26,30575904
1,27,29303573
1,28,33270142
1,29,27089608
1,30,29652353
1,31,31345762
1,32,34030748
1,33,31043272
1,34,33219102
1,35,31780655
1,36,37262270
1,37,34834693
1,38,38953300
1,39,33414596
1,40,24909588
1,41,28894435
1,42,32553103
1,43,33028390
1,44,30844438
1,45,32188991
1,46,33931313
1,47,30974825
1,48,32763796
1,49,40925680
1,50,31203508
1,51,34548741
1,52,28067962
1,53,36019984
1,54,29439415
1,55,31477620
1,56,34966060
1,57,36558840
1,58,37281640
1,59,32092337
1,60,33920525
1,61,36503616
1,62,30725496
1,63,32734910
1,64,31274376
1,65,27520560
1,66,34994970
1,67,33017023
1,68,31288377
1,69,37141984
1,70,31371804
1,71,34199196
1,72,26725325
1,73,40642456
1,74,31187394
1,75,32718070
1,76,30545299
1,77,31907835
1,78,33010186
1,79,35038221
1,80,33676574
1,81,28636664
1,82,31338331
1,83,29771101
1,84,45666037
1,85,36195017
1,86,38175612
1,87,29733621
1,88,32591195
1,89,30716453
1,90,29783693
1,91,29187142
1,92,32565506
1,93,34077162
1,94,32579938
1,95,29737755
1,96,27623621
1,97,30353106
1,98,32213856
1,99,31205973
1,100,32440550
2,1,34670399
2,2,155161457
2,3,90733464
2,4,155548271
2,5,142218859
2,6,53994750
2,7,49390870
2,8,34549849
2,9,32542029
2,10,29699112
2,11,34807002
2,12,34995737
2,13,28918701
2,14,32484185
2,15,33990111
2,16,36137691
2,17,35580349
2,18,35598001
2,19,33830478
2,20,32639729
2,21,36018232
2,22,32741229
2,23,29893523
2,24,37905084
2,25,41513586
2,26,35776237
2,27,31470678
2,28,34631713
2,29,33766225
2,30,29946653
2,31,39155037
2,32,33502114
2,33,32271667
2,34,42561115
2,35,37142993
2,36,34126933
2,37,30495105
2,38,26247776
2,39,33492306
2,40,30821850
2,41,37241974
2,42,36153965
2,43,34157454
2,44,27029394
2,45,28547696
2,46,27813416
2,47,33596405
2,48,31237941
2,49,30575325
2,50,28243366
2,51,34679288
2,52,36305931
2,53,29457496
2,54,36905724
2,55,41106088
2,56,38472667
2,57,32825382
2,58,30235472
2,59,33330913
2,60,34659338
2,61,31101059
2,62,32934761
2,63,29913527
2,64,34220277
2,65,31505222
2,66,33224607
2,67,34194822
2,68,32871963
2,69,31728680
2,70,33319156
2,71,29727388
2,72,31524170
2,73,34023025
2,74,31862591
2,75,31319253
2,76,31240420
2,77,28883415
2,78,34895677
2,79,34337061
2,80,38684776
2,81,27228418
2,82,29309333
2,83,25646714
2,84,32388613
2,85,44917107
2,86,31937970
2,87,30686760
2,88,29914346
2,89,37239816
2,90,25021552
2,91,35120289
2,92,32063360
2,93,34302416
2,94,36296362
2,95,29702699
2,96,27149146
2,97,41887562
2,98,36013225
2,99,29948398
2,100,31209264
3,1,46890261
3,2,49610826
3,3,36214403
3,4,35291258
3,5,30752414
3,6,31883477
3,7,30159072
3,8,29465193
3,9,33925723
3,10,34767168
3,11,30269196
3,12,25242405
3,13,29837145
3,14,34975874
3,15,32213735
3,16,31582555
3,17,30794236
3,18,28844085
3,19,28497320
3,20,34679805
3,21,30040413
3,22,31898874
3,23,32781012
3,24,29016024
3,25,31644938
3,26,33782790
3,27,30860714
3,28,34386761
3,29,33855267
3,30,31360338
3,31,29792964
3,32,30630445
3,33,34954011
3,34,29536695
3,35,33552912
3,36,33141092
3,37,34134651
3,38,29127368
3,39,29738420
3,40,36242538
3,41,32288403
3,42,31649197
3,43,31506107
3,44,32435833
3,45,31659550
3,46,30846834
3,47,36443119
3,48,40861433
3,49,37520116
3,50,35714878
3,51,28477700
3,52,29989022
3,53,30500340
3,54,36745954
3,55,40158240
3,56,33786015
3,57,31914540
3,58,30527551
3,59,28067547
3,60,39644810
3,61,31296249
3,62,35358410
3,63,34199125
3,64,33636026
3,65,35588714
3,66,31819193
3,67,37510112
3,68,27515351
3,69,27398734
3,70,29007148
3,71,23845688
3,72,33481079
3,73,25809144
3,74,40540906
3,75,34048348
3,76,31663528
3,77,30667647
3,78,31645425
3,79,29833472
3,80,35692902
3,81,34497476
3,82,37248991
3,83,25668436
3,84,31885610
3,85,33867401
3,86,30874535
3,87,32685883
3,88,39586186
3,89,33705824
3,90,31871455
3,91,33186651
3,92,39606408
3,93,29895730
3,94,33233229
3,95,33610245
3,96,26351487
3,97,30068239
3,98,31938153
3,99,36786173
3,100,34500548
4,1,36591637
4,2,62378789
4,3,33666473
4,4,28756517
4,5,35788755
4,6,38179137
4,7,29472380
4,8,32127816
4,9,34769558
4,10,28781811
4,11,96681761
4,12,63617188
4,13,46340301
4,14,39220676
4,15,32177260
4,16,39435099
4,17,33293762
4,18,35412949
4,19,25654250
4,20,26828319
4,21,33549328
4,22,33500527
4,23,33095080
4,24,31341907
4,25,34088806
4,26,30263671
4,27,31023228
4,28,29643779
4,29,25369399
4,30,27825578
4,31,30415809
4,32,29623807
4,33,28420019
4,34,32150450
4,35,34318183
4,36,29874172
4,37,30765332
4,38,32634497
4,39,39444298
4,40,31570239
4,41,31799218
4,42,27623141
4,43,29501462
4,44,42786072
4,45,26383808
4,46,31324425
4,47,33314421
4,48,28002995
4,49,29281235
4,50,27144565
4,51,33335167
4,52,32737059
4,53,32782240
4,54,31892125
4,55,32989131
4,56,31054164
4,57,28521427
4,58,28340898
4,59,26318319
4,60,31022805
4,61,27928698
4,62,28476410
4,63,29260601
4,64,26815534
4,65,38481536
4,66,32399463
4,67,29234062
4,68,32331026
4,69,25344558
4,70,25767630
4,71,32468290
4,72,28434764
4,73,31775393
4,74,28505114
4,75,27717943
4,76,33626624
4,77,30534215
4,78,35895342
4,79,25970252
4,80,24124844
4,81,20313185
4,82,24468256
4,83,17425901
4,84,17241968
4,85,14890203
4,86,16163846
4,87,17344094
4,88,18193136
4,89,16614564
4,90,18746405
4,91,19135973
4,92,16843105
4,93,16941495
4,94,22662264
4,95,68888496
4,96,25131085
4,97,26160715
4,98,27402193
4,99,26138942
4,100,31069163
5,1,49708319
5,2,72241260
5,3,34818149
5,4,46100222
5,5,29913830
5,6,33703524
5,7,30963235
5,8,31935591
5,9,33137750
5,10,35200429
5,11,31275214
5,12,26612561
5,13,28936267
5,14,25650522
5,15,29125966
5,16,29332047
5,17,35671744
5,18,28414895
5,19,29131178
5,20,27644549
5,21,26902558
5,22,31392824
5,23,26133727
5,24,28758363
5,25,26844365
5,26,24472794
5,27,34413851
5,28,59468209
5,29,105300051
5,30,184263003
5,31,76259581
5,32,69589125
5,33,40196976
5,34,29178844
5,35,36139062
5,36,29669810
5,37,27898503
5,38,35272917
5,39,34297166
5,40,32177063
5,41,27009011
5,42,33574967
5,43,33157407
5,44,28994348
5,45,34918824
5,46,33873996
5,47,36250153
5,48,30917666
5,49,31214968
5,50,32523112
5,51,29218002
5,52,34539669
5,53,34711014
5,54,25200663
5,55,26591047
5,56,30744051
5,57,29860543
5,58,29420634
5,59,33540884
5,60,30191373
5,61,31012419
5,62,34003781
5,63,29845729
5,64,29188241
5,65,36468388
5,66,34100920
5,67,27337592
5,68,28592595
5,69,33645510
5,70,30592668
5,71,30586826
5,72,31467091
5,73,34644136
5,74,28380849
5,75,38510860
5,76,91123269
5,77,29874766
5,78,36392238
5,79,30635841
5,80,29768520
5,81,39470512
5,82,34783055
5,83,40313772
5,84,29530647
5,85,26658839
5,86,33444952
5,87,34230228
5,88,30352876
5,89,31375744
5,90,41665694
5,91,39602626
5,92,30420576
5,93,30206209
5,94,31244976
5,95,33269657
5,96,35569684
5,97,37223325
5,98,32100168
5,99,30381233
5,100,28512471
