iteration,operation,ns
1,1,33747742
1,2,53317343
1,3,58702578
1,4,56517886
1,5,36443407
1,6,47849863
1,7,36931964
1,8,30913969
1,9,31167706
1,10,31088349
1,11,32068270
1,12,33746605
1,13,28555688
1,14,39610016
1,15,35007989
1,16,17010938
1,17,28421092
1,18,39035462
1,19,36504746
1,20,29285721
1,21,19386337
1,22,36670642
1,23,56310182
1,24,42590749
1,25,16945439
1,26,37036374
1,27,23019470
1,28,31080813
1,29,17915675
1,30,41356309
1,31,70378677
1,32,39340655
1,33,36657059
1,34,53760684
1,35,46525390
1,36,37217948
1,37,37826820
1,38,37032666
1,39,37635831
1,40,53262507
1,41,53390474
1,42,20532003
1,43,16323965
1,44,22224979
1,45,20023489
1,46,31396968
1,47,37300966
1,48,35519118
1,49,17767406
1,50,43267289
1,51,58207899
1,52,20179701
1,53,31536017
1,54,24944808
1,55,35167404
1,56,31669507
1,57,27609827
1,58,22974255
1,59,48331063
1,60,34918110
1,61,29418702
1,62,43348092
1,63,50805188
1,64,38967380
1,65,99154243
1,66,23556408
1,67,19629713
1,68,39178262
1,69,36643757
1,70,56879451
1,71,39971756
1,72,78031114
1,73,276236446
1,74,99628458
1,75,72706828
1,76,47124936
1,77,46328271
1,78,40898352
1,79,48280761
1,80,19626385
1,81,62174176
1,82,45875186
1,83,57315939
1,84,36892604
1,85,46890985
1,86,42762325
1,87,56593940
1,88,61267812
1,89,46422114
1,90,42334400
1,91,16780587
1,92,17280202
1,93,43621370
1,94,42920807
1,95,117124947
1,96,49116386
1,97,37351073
1,98,20915884
1,99,64346796
1,100,19469093
2,1,120900447
2,2,16899173
2,3,14581634
2,4,74538107
2,5,60275078
2,6,68317403
2,7,159385339
2,8,50085649
2,9,35648088
2,10,126727380
2,11,68208045
2,12,36103122
2,13,36707873
2,14,34129157
2,15,20811288
2,16,40080940
2,17,82111325
2,18,25904524
2,19,38395513
2,20,51257684
2,21,32893741
2,22,19012626
2,23,11580892
2,24,35237008
2,25,51380704
2,26,43775752
2,27,39528801
2,28,50890551
2,29,38855235
2,30,97621153
2,31,35120779
2,32,62625197
2,33,67596766
2,34,19399453
2,35,41703299
2,36,67042486
2,37,66898258
2,38,33128381
2,39,62123455
2,40,39045297
2,41,76868352
2,42,47002356
2,43,17366750
2,44,54707831
2,45,65563008
2,46,33664542
2,47,136213658
2,48,36999407
2,49,33616245
2,50,54075315
2,51,17728622
2,52,35770803
2,53,79344241
2,54,39618689
2,55,32757313
2,56,17073146
2,57,65868442
2,58,59464987
2,59,56233758
2,60,61407732
2,61,18043344
2,62,67839278
2,63,68160979
2,64,48654228
2,65,38002230
2,66,34919323
2,67,78996933
2,68,37095030
2,69,33997542
2,70,74117126
2,71,81196747
2,72,74348167
2,73,23642670
2,74,18343590
2,75,55704380
2,76,92699323
2,77,42471845
2,78,37665723
2,79,89378145
2,80,27820489
2,81,63277062
2,82,35462689
2,83,17002312
2,84,16635924
2,85,86105096
2,86,92613674
2,87,29883151
2,88,37985864
2,89,20896877
2,90,33311513
2,91,35793347
2,92,18898585
2,93,27489354
2,94,19238100
2,95,42690169
2,96,20046921
2,97,44757806
2,98,19655553
2,99,35854332
2,100,54606486
3,1,58042691
3,2,63170988
3,3,42979586
3,4,45041053
3,5,45319870
3,6,52088406
3,7,14320767
3,8,16911623
3,9,36225038
3,10,30969844
3,11,30816288
3,12,36555132
3,13,53072075
3,14,53231337
3,15,54881214
3,16,37242497
3,17,87707823
3,18,48136240
3,19,38767051
3,20,16784752
3,21,97529321
3,22,50636854
3,23,34189803
3,24,59639623
3,25,14267651
3,26,36990155
3,27,41722052
3,28,55864922
3,29,11570287
3,30,42240661
3,31,44485375
3,32,46717367
3,33,39083450
3,34,22055754
3,35,41837272
3,36,33818645
3,37,37320156
3,38,36835725
3,39,53043301
3,40,53415898
3,41,42811878
3,42,38766127
3,43,20268191
3,44,14730120
3,45,39506159
3,46,42549566
3,47,36946442
3,48,46003659
3,49,40737877
3,50,39358452
3,51,39133387
3,52,47767662
3,53,36253822
3,54,13537394
3,55,41848544
3,56,57254762
3,57,54579094
3,58,54154669
3,59,56479621
3,60,17242653
3,61,34861684
3,62,54964295
3,63,16469016
3,64,40070137
3,65,21299078
3,66,38789172
3,67,17033203
3,68,34679853
3,69,33964253
3,70,51322759
3,71,74654934
3,72,119917604
3,73,33186421
3,74,18113140
3,75,24104858
3,76,36781468
3,77,53410505
3,78,16799377
3,79,53232605
3,80,40961573
3,81,24882759
3,82,20335902
3,83,37135637
3,84,20140519
3,85,31874621
3,86,37140633
3,87,38129898
3,88,22147455
3,89,46808531
3,90,33777625
3,91,36321210
3,92,20496230
3,93,37796662
3,94,35015898
3,95,26798073
3,96,34384735
3,97,36839823
3,98,20195250
3,99,84169605
3,100,42074303
4,1,36098572
4,2,40633358
4,3,39079024
4,4,18782129
4,5,14249483
4,6,18732767
4,7,40892807
4,8,51353128
4,9,51859031
4,10,35145445
4,11,30223209
4,12,32554073
4,13,33181634
4,14,33865348
4,15,35361400
4,16,32736111
4,17,16097634
4,18,38413379
4,19,30791957
4,20,33091270
4,21,49778350
4,22,33318895
4,23,29919670
4,24,40071781
4,25,27425340
4,26,16345733
4,27,59257780
4,28,32454346
4,29,37911462
4,30,24164062
4,31,19241852
4,32,52894431
4,33,42250234
4,34,38927465
4,35,31023694
4,36,47163706
4,37,34104194
4,38,29446283
4,39,35431662
4,40,41771654
4,41,92671968
4,42,39952291
4,43,19575411
4,44,43962855
4,45,49238943
4,46,16163473
4,47,35529309
4,48,30819875
4,49,51832040
4,50,32663507
4,51,32172532
4,52,284182788
4,53,149021851
4,54,68716490
4,55,73068285
4,56,44060744
