iteration,operation,ns
1,1,59142783
1,2,48587311
1,3,41790595
1,4,38677471
1,5,36553191
1,6,50708278
1,7,38890880
1,8,31676407
1,9,19371782
1,10,45677189
1,11,29204697
1,12,34428316
1,13,16246063
1,14,39677969
1,15,31829812
1,16,40201083
1,17,28501063
1,18,41720443
1,19,36589458
1,20,54107212
1,21,53572018
1,22,39587226
1,23,56904414
1,24,31439832
1,25,31449641
1,26,68211054
1,27,52494625
1,28,37334247
1,29,14697629
1,30,38968237
1,31,22403904
1,32,42491740
1,33,34257039
1,34,37405463
1,35,64135318
1,36,16993181
1,37,57471614
1,38,34773835
1,39,48300396
1,40,48421429
1,41,14674887
1,42,48925049
1,43,34028966
1,44,16942502
1,45,53313922
1,46,37546589
1,47,41519364
1,48,30942801
1,49,37320527
1,50,42881489
1,51,40848273
1,52,32484813
1,53,89170920
1,54,29174135
1,55,95554887
1,56,38880685
1,57,22289512
1,58,17287050
1,59,37070614
1,60,42933566
1,61,36668189
1,62,36461630
1,63,55966937
1,64,15283469
1,65,39113680
1,66,39812002
1,67,38581509
1,68,163652822
1,69,193724223
1,70,117701420
1,71,44157827
1,72,65658979
1,73,40523693
1,74,45939185
1,75,19016225
1,76,46099047
1,77,22881767
1,78,39350024
1,79,38163642
1,80,19993448
1,81,36171185
1,82,49735848
1,83,59636823
1,84,57214736
1,85,64614107
1,86,48592716
1,87,16290279
1,88,60096621
1,89,28614141
1,90,22361554
1,91,62299278
1,92,45384336
1,93,64960710
1,94,50362550
1,95,44514510
1,96,21845092
1,97,41077488
1,98,36424032
1,99,33197893
1,100,26685319
2,1,84323089
2,2,56237405
2,3,37240571
2,4,17039915
2,5,79451077
2,6,112490331
2,7,144164453
2,8,31014983
2,9,38525843
2,10,22162257
2,11,19816551
2,12,19938048
2,13,19967044
2,14,19475324
2,15,87655870
2,16,75804393
2,17,66289735
2,18,37671376
2,19,39019394
2,20,45533099
2,21,50232725
2,22,84124376
2,23,60745851
2,24,70041775
2,25,86565616
2,26,73220298
2,27,19092627
2,28,72548710
2,29,41264589
2,30,81277869
2,31,35284382
2,32,96033516
2,33,56539766
2,34,33667714
2,35,55393554
2,36,33446220
2,37,20143390
2,38,61148560
2,39,68337559
2,40,33801383
2,41,68275196
2,42,25603402
2,43,71151788
2,44,73334656
2,45,91092995
2,46,39628869
2,47,50736896
2,48,60695204
2,49,52314758
2,50,19950463
2,51,19955062
2,52,39719329
2,53,31327950
2,54,33143569
2,55,18475297
2,56,27210197
2,57,17082922
2,58,56190122
2,59,39383057
2,60,37541571
2,61,34731819
2,62,18815781
2,63,39191899
2,64,50381988
2,65,34647951
2,66,33622401
2,67,17761725
2,68,58303193
2,69,33970067
2,70,35545128
2,71,40963425
2,72,48351299
2,73,71112535
2,74,17028086
2,75,84179302
2,76,68696988
2,77,18524210
2,78,136025040
2,79,33690952
2,80,39191954
2,81,16251071
2,82,84030676
2,83,37682051
2,84,36442621
2,85,16065398
2,86,80059737
2,87,65859127
2,88,16144671
2,89,39634063
2,90,30140668
2,91,81741041
2,92,78460999
2,93,16488196
2,94,65988695
2,95,35345692
2,96,40091558
2,97,36947225
2,98,83415814
2,99,35581687
2,100,43240824
3,1,64116984
3,2,68406233
3,3,44658038
3,4,35394701
3,5,47788920
3,6,13967629
3,7,35237786
3,8,34023033
3,9,33532713
3,10,53094541
3,11,19883291
3,12,33568106
3,13,36537717
3,14,33533707
3,15,16798476
3,16,39329031
3,17,38885552
3,18,39155651
3,19,30675144
3,20,37213052
3,21,42353060
3,22,36358390
3,23,30632617
3,24,37348712
3,25,35297375
3,26,38562122
3,27,36984436
3,28,39761345
3,29,42797023
3,30,19798019
3,31,34160114
3,32,33637060
3,33,38955009
3,34,33632135
3,35,56388115
3,36,44881497
3,37,22527733
3,38,40025933
3,39,53426029
3,40,27777186
3,41,36751085
3,42,34374720
3,43,25307066
3,44,56135148
3,45,31034410
3,46,39366073
3,47,34206745
3,48,18154935
3,49,43709583
3,50,39744396
3,51,42294735
3,52,17365390
3,53,37090401
3,54,45955798
3,55,37590605
3,56,39656754
3,57,19744764
3,58,19368534
3,59,33790071
3,60,16664772
3,61,17750117
3,62,92402085
3,63,35997088
3,64,34255150
3,65,54938000
3,66,39458019
3,67,62534890
3,68,34563004
3,69,32829002
3,70,38475322
3,71,54206450
3,72,37372523
3,73,40916091
3,74,19533357
3,75,36241618
3,76,209923107
3,77,47250977
3,78,17032728
3,79,39244908
3,80,61746624
3,81,36597579
3,82,56317621
3,83,18180237
3,84,42343942
3,85,40000895
3,86,57243000
3,87,28834235
3,88,37668214
3,89,39316447
3,90,67399008
3,91,19606342
3,92,33725124
3,93,35597465
3,94,51273329
