iteration,operation,ns
1,1,19348485
1,2,68765564
1,3,183278832
1,4,172978644
1,5,100331282
1,6,67026315
1,7,106497901
1,8,23161530
1,9,21107585
1,10,47205236
1,11,103470214
1,12,23383016
1,13,206411544
1,14,85051058
1,15,97689066
1,16,104060543
1,17,74745087
1,18,157928801
1,19,114928201
1,20,33786249
1,21,140293697
1,22,33051505
1,23,90163590
1,24,109326821
1,25,64965450
1,26,72139062
1,27,118163629
1,28,116668567
1,29,152798847
1,30,144595999
1,31,155752974
1,32,75339572
1,33,86238778
1,34,160479204
1,35,100129092
1,36,145793056
1,37,133716143
1,38,103618918
1,39,182159963
1,40,67687362
1,41,81171437
1,42,63516209
1,43,180840693
1,44,94370003
1,45,17954758
1,46,68866789
1,47,43176902
1,48,88957030
1,49,159022282
1,50,37635364
1,51,121004655
1,52,97751956
1,53,115999913
1,54,106393651
1,55,119238542
1,56,130084470
1,57,27350976
1,58,110376555
1,59,66250663
1,60,65898863
1,61,56176617
1,62,69184813
1,63,87864199
1,64,137646415
1,65,99277079
1,66,85468137
1,67,37270540
1,68,76669376
1,69,114874580
1,70,57112135
1,71,68066119
1,72,28427158
1,73,12816165
1,74,92573146
1,75,100125533
1,76,30621100
1,77,80918143
1,78,70433897
1,79,14081844
1,80,123995814
1,81,52477775
1,82,34683907
1,83,54119587
1,84,68265417
1,85,104455586
1,86,71018395
1,87,118571558
1,88,146948593
1,89,105603831
1,90,153921696
1,91,66135165
1,92,111039989
1,93,75366838
1,94,106594452
1,95,138556085
1,96,18144220
1,97,110159742
1,98,105584691
1,99,60853565
1,100,93665802
2,1,22539563
2,2,34175097
2,3,49643667
2,4,123147371
2,5,105328779
2,6,67825768
2,7,19941500
2,8,17715343
2,9,31529546
2,10,103874603
2,11,21492855
2,12,188965584
2,13,122850453
2,14,117674327
2,15,75671542
2,16,137526005
2,17,20120250
2,18,35700599
2,19,35736881
2,20,129998559
2,21,140963918
2,22,36281567
2,23,92963901
2,24,21558686
2,25,125790447
2,26,68886479
2,27,28946049
2,28,27390173
2,29,86810886
2,30,101674628
2,31,120074893
2,32,59033249
2,33,61966746
2,34,121761792
2,35,165639278
2,36,93575533
2,37,61013058
2,38,124895752
2,39,125083960
2,40,136574338
2,41,37286195
2,42,93894830
2,43,160367439
2,44,38179330
2,45,36351447
2,46,18331715
2,47,124307529
2,48,161961271
2,49,116710089
2,50,97400635
2,51,105554786
2,52,35113264
2,53,89525833
2,54,79470686
2,55,66685788
2,56,65764034
2,57,54508723
2,58,160319792
2,59,17642426
2,60,129814291
2,61,116365488
2,62,108104796
2,63,108041504
2,64,59617734
2,65,23077387
2,66,99836594
2,67,36737994
2,68,33797847
2,69,89004407
2,70,11607363
2,71,134776784
2,72,42022139
2,73,93214894
2,74,92603622
2,75,166705209
2,76,105278651
2,77,120639911
2,78,59396036
2,79,112202470
2,80,36081034
2,81,164527131
2,82,139173587
2,83,26607207
2,84,64778692
2,85,100676712
2,86,127797674
2,87,22090187
2,88,94801635
2,89,17825868
2,90,111772234
2,91,183834332
2,92,93587928
2,93,135838283
2,94,123124581
2,95,102408162
2,96,62861531
2,97,104027719
2,98,127718727
2,99,116684636
2,100,117065928
3,1,70869488
3,2,65394370
3,3,30065981
3,4,176729507
3,5,77314737
3,6,103776733
3,7,121798381
3,8,133549811
3,9,113466539
3,10,32920594
3,11,108946202
3,12,125156385
3,13,109125297
3,14,70826884
3,15,171933386
3,16,35097829
3,17,101780551
3,18,128981653
3,19,51173655
3,20,123170325
3,21,160605518
3,22,165766174
3,23,125350629
3,24,99697151
3,25,160809712
3,26,109267131
3,27,143708775
3,28,137055311
3,29,80640944
3,30,27664873
3,31,99186476
3,32,128145905
3,33,115493524
3,34,23620451
3,35,146809044
3,36,108259575
3,37,73321505
3,38,21148572
3,39,149315377
3,40,39240972
3,41,73342068
3,42,130090132
3,43,99608563
3,44,130617930
3,45,89799886
3,46,66876737
3,47,132077956
3,48,145843740
3,49,127838033
3,50,163932906
3,51,81591210
3,52,152052657
3,53,13032940
3,54,25798979
3,55,12892189
3,56,130220657
3,57,153036555
3,58,35328654
3,59,92138668
3,60,113533922
3,61,103715565
3,62,21725985
3,63,17549749
3,64,51592161
3,65,143252045
3,66,173983607
3,67,122997784
3,68,82544150
3,69,122932343
3,70,114278953
3,71,61866789
3,72,142052250
3,73,56854791
3,74,149064498
3,75,143976971
3,76,81385306
3,77,51517298
3,78,58196957
3,79,58020945
3,80,56675258
3,81,20078929
3,82,112328034
3,83,120077137
3,84,114846702
3,85,57653892
3,86,68014707
3,87,154053618
3,88,143223542
3,89,65924091
3,90,18261752
3,91,107009399
3,92,47847454
3,93,109268404
3,94,35602172
3,95,19789383
3,96,148702067
3,97,37355656
3,98,18342662
3,99,57550387
3,100,67925832
4,1,209199303
4,2,67690968
4,3,127733153
4,4,146337548
4,5,122846725
4,6,137516245
4,7,112973725
4,8,157008811
4,9,35873513
4,10,89474806
4,11,66143248
4,12,178173785
4,13,206520458
4,14,139625525
4,15,58464198
4,16,115778589
4,17,60534528
4,18,33068813
4,19,47612102
4,20,61287864
4,21,96372230
4,22,114072696
4,23,18095416
4,24,94086470
4,25,79837078
4,26,179817453
4,27,64107577
4,28,27124522
4,29,158891293
4,30,65090812
4,31,91712600
4,32,125848749
4,33,66961257
4,34,123457099
4,35,107906845
4,36,86615831
4,37,155545031
4,38,24076808
4,39,61225918
4,40,141084488
4,41,102642575
4,42,125894997
4,43,161949746
4,44,186588603
4,45,101072273
4,46,35444209
4,47,112639885
4,48,98092357
4,49,109276467
4,50,108833154
4,51,112126447
4,52,136379297
4,53,63071155
4,54,137934456
4,55,49030562
4,56,53554982
4,57,17624332
4,58,36120090
4,59,90333409
4,60,182144189
4,61,106485495
4,62,132806171
4,63,37559815
4,64,36439859
4,65,67727022
4,66,46106088
4,67,32559967
4,68,46343308
4,69,37359872
4,70,83126883
4,71,39490319
4,72,80690475
4,73,107902812
4,74,54803318
4,75,89143693
4,76,136844666
4,77,125685471
4,78,168572563
4,79,107283799
4,80,152737913
4,81,34270709
4,82,90687308
4,83,80257511
4,84,80666008
4,85,150088744
4,86,32813672
4,87,65867160
4,88,103546919
4,89,65737625
4,90,79701171
4,91,107057061
4,92,35466570
4,93,99431568
4,94,35623588
4,95,86659592
4,96,60458242
4,97,88275243
4,98,105880441
4,99,71056220
4,100,128855086
5,1,68810094
5,2,90973032
5,3,64889109
5,4,221994493
5,5,36849852
5,6,179953010
5,7,37098489
5,8,100057413
5,9,121681003
5,10,66717237
5,11,21830013
5,12,175027576
5,13,38728539
5,14,89711451
5,15,82991651
5,16,100187957
5,17,28509544
5,18,129998635
5,19,68071918
5,20,23221642
5,21,32695588
5,22,89857951
5,23,82781891
5,24,99217188
5,25,38278579
5,26,109592001
5,27,142319932
5,28,122770955
5,29,67122693
5,30,63675444
5,31,50329024
5,32,61678207
5,33,89080497
5,34,55928822
5,35,133642514
5,36,179184404
5,37,147892979
5,38,37084884
5,39,187205011
5,40,61593503
5,41,91436162
5,42,32731744
5,43,37395104
5,44,83142492
5,45,90515008
5,46,131250387
5,47,109401663
5,48,99923932
5,49,72898351
5,50,122490119
5,51,70821694
5,52,60348076
5,53,77913217
5,54,164210926
5,55,177034196
5,56,26274157
5,57,111252791
5,58,56103303
5,59,109331820
5,60,61851831
5,61,129814723
5,62,76200713
5,63,22041832
5,64,21590720
5,65,56342235
5,66,119284348
5,67,73505403
5,68,163757298
5,69,126682491
5,70,128292101
5,71,115178240
5,72,37776754
5,73,147709660
5,74,114280722
5,75,58897239
5,76,128699887
5,77,115325912
5,78,198143560
5,79,167953280
5,80,117253507
5,81,157726340
5,82,186601863
5,83,18066773
5,84,174652491
5,85,128783275
5,86,112502100
5,87,96045193
5,88,79074859
5,89,40769279
5,90,56314864
5,91,138198409
5,92,177852301
5,93,167527681
5,94,52912345
5,95,119082251
5,96,38217077
5,97,79688952
5,98,150643652
5,99,188810983
5,100,176336453
