iteration,operation,ns
1,1,100220968
1,2,29844304
1,3,16249357
1,4,43779748
1,5,39755942
1,6,20233808
1,7,19378458
1,8,34199767
1,9,34813844
1,10,56611583
1,11,25061863
1,12,56190465
1,13,35901413
1,14,30797381
1,15,36590944
1,16,50315915
1,17,39924631
1,18,61987306
1,19,51487019
1,20,34683097
1,21,14537534
1,22,42312257
1,23,40098776
1,24,33353178
1,25,53595518
1,26,42192209
1,27,56043919
1,28,46218545
1,29,18810356
1,30,28742294
1,31,28540627
1,32,44255391
1,33,39537041
1,34,28793455
1,35,39493124
1,36,60585175
1,37,43841191
1,38,37951514
1,39,18752425
1,40,34708241
1,41,56439394
1,42,40409439
1,43,34840704
1,44,20371872
1,45,36410601
1,46,31337789
1,47,54642943
1,48,31197853
1,49,40116710
1,50,18549109
1,51,44347226
1,52,32038749
1,53,33221040
1,54,13839301
1,55,43776855
1,56,32732535
1,57,32169034
1,58,34637868
1,59,18669362
1,60,26117607
1,61,24024375
1,62,18753227
1,63,38552118
1,64,33217481
1,65,30029104
1,66,35284007
1,67,39365274
1,68,32145349
1,69,27720084
1,70,36048696
1,71,33826411
1,72,49324028
1,73,38993413
1,74,36962678
1,75,42173698
1,76,36356608
1,77,55979494
1,78,19727742
1,79,11456754
1,80,54357441
1,81,53805470
1,82,18763118
1,83,18457616
1,84,37585666
1,85,34595525
1,86,35227186
1,87,15747372
1,88,34429347
1,89,23928032
1,90,43032917
1,91,34671267
1,92,35201160
1,93,55024564
1,94,30338171
1,95,34026329
1,96,31230597
1,97,12862863
1,98,34458407
1,99,24933464
1,100,35175175
2,1,39660215
2,2,86562698
2,3,39400965
2,4,34139907
2,5,44460060
2,6,32507601
2,7,19734638
2,8,19398269
2,9,19249271
2,10,35742084
2,11,35934230
2,12,32419883
2,13,32705841
2,14,21589037
2,15,35018052
2,16,58680541
2,17,17186445
2,18,35879360
2,19,47991624
2,20,54096548
2,21,47273223
2,22,38166955
2,23,38165084
2,24,24452692
2,25,27916273
2,26,32277640
2,27,32854113
2,28,38853973
2,29,36869435
2,30,32482768
2,31,67511312
2,32,52179479
2,33,49377625
2,34,38566796
2,35,31278031
2,36,44000335
2,37,18766683
2,38,72655729
2,39,59710595
2,40,34718733
2,41,44415065
2,42,33492066
2,43,55506348
2,44,32251511
2,45,22718371
2,46,37759721
2,47,38286031
2,48,37325876
2,49,35247246
2,50,39402814
2,51,11823127
2,52,54426434
2,53,31960293
2,54,32758013
2,55,30725459
2,56,36789123
2,57,31639439
2,58,38830578
2,59,13649366
2,60,36379268
2,61,18333418
2,62,28465531
2,63,37089543
2,64,18428716
2,65,32144506
2,66,28556460
2,67,23794514
2,68,32772196
2,69,20026787
2,70,9573239
2,71,21788110
2,72,20441107
2,73,32144106
2,74,14150140
2,75,61888519
2,76,46043306
2,77,51304435
2,78,30982673
2,79,12681440
2,80,31522793
2,81,36494719
2,82,34447497
2,83,66923500
2,84,40178315
2,85,36262348
2,86,40459693
2,87,25377154
2,88,25896886
2,89,39110206
2,90,43432539
2,91,50570953
2,92,36759599
2,93,40926281
2,94,39939828
2,95,38694524
2,96,17071443
2,97,65684757
2,98,16977564
2,99,48952377
2,100,33221709
3,1,59206203
3,2,14605288
3,3,52675607
3,4,22418202
3,5,39576845
3,6,47073330
3,7,22078223
3,8,37287313
3,9,35204223
3,10,16619110
3,11,16571186
3,12,39813092
3,13,39223244
3,14,22360713
3,15,38898900
3,16,51578332
3,17,15153648
3,18,38767108
3,19,36823234
3,20,39669621
3,21,38534061
3,22,33561659
3,23,60593894
3,24,30528847
3,25,52610541
3,26,33470592
3,27,53982348
3,28,52514872
3,29,45926964
3,30,31161092
3,31,35634479
3,32,34869324
3,33,30591924
3,34,60872265
3,35,27783881
3,36,21506274
3,37,33233342
3,38,61970954
3,39,16822981
3,40,39026565
3,41,52510313
3,42,58553514
3,43,56038859
3,44,33152094
3,45,36557043
3,46,19946015
3,47,32402092
3,48,41486904
3,49,20167475
3,50,42219432
3,51,20747019
3,52,53040535
3,53,39285446
3,54,30434162
3,55,54889548
3,56,39294836
3,57,28188892
3,58,36359786
3,59,33643445
3,60,39403389
3,61,39331650
