iteration,operation,ns
1,1,3991156
1,2,3663722
1,3,4322004
1,4,3155835
1,5,4029143
1,6,2688902
1,7,2525938
1,8,2580085
1,9,4126755
1,10,3116874
1,11,2728896
1,12,2894494
1,13,2299947
1,14,1800018
1,15,3302968
1,16,2567939
1,17,2497223
1,18,3667587
1,19,2540801
1,20,4319582
1,21,4897456
1,22,1907262
1,23,2267312
1,24,2638894
1,25,1919857
1,26,1983341
1,27,2784898
1,28,2799379
1,29,2524249
1,30,2646069
1,31,2390281
1,32,6236802
1,33,3699464
1,34,5213654
1,35,6859451
1,36,4620673
1,37,8150502
1,38,6591282
1,39,7935248
1,40,6061832
1,41,10338448
1,42,4507325
1,43,2788961
1,44,7168167
1,45,3747314
1,46,2872737
1,47,11465623
1,48,4119306
1,49,2754329
1,50,7829681
1,51,5560703
1,52,3763134
1,53,5252644
1,54,11079522
1,55,2653757
1,56,2322856
1,57,2473723
1,58,2845947
1,59,2966267
1,60,3938210
1,61,2881583
1,62,9636909
1,63,2305830
1,64,1973358
1,65,1958135
1,66,2555665
1,67,1719554
1,68,3172631
1,69,2777634
1,70,2265184
1,71,4991464
1,72,1968108
1,73,2259862
1,74,2815695
1,75,3415882
1,76,3124689
1,77,6284006
1,78,7465539
1,79,3333146
1,80,1915546
1,81,2455296
1,82,2520148
1,83,2942892
1,84,8042063
1,85,2167539
1,86,5215495
1,87,3025801
1,88,3178752
1,89,5881737
1,90,2718038
1,91,2649698
1,92,2511680
1,93,7709402
1,94,4468436
1,95,2802677
1,96,1904557
1,97,2675368
1,98,1975769
1,99,7415712
1,100,3443209
2,1,2098521
2,2,2534694
2,3,2306593
2,4,1803526
2,5,3262535
2,6,3909076
2,7,2468711
2,8,2844884
2,9,2126405
2,10,2264869
2,11,3270091
2,12,6904916
2,13,3394554
2,14,6241450
2,15,7637180
2,16,3984594
2,17,11217975
2,18,5861239
2,19,3635613
2,20,2597068
2,21,2378309
2,22,4182963
2,23,4058766
2,24,3822235
2,25,2599670
2,26,2433801
2,27,3754440
2,28,2895844
2,29,10050520
2,30,4671358
2,31,9540722
2,32,4143764
2,33,10898616
2,34,7201919
2,35,2777171
2,36,10080349
2,37,4373145
2,38,7144169
2,39,2713821
2,40,11086548
2,41,5544187
2,42,2808367
2,43,3322239
2,44,2437535
2,45,4947253
2,46,6077652
2,47,3472071
2,48,2044672
2,49,3344358
2,50,2205670
2,51,2218534
2,52,1964135
2,53,1766378
2,54,4022376
2,55,2717532
2,56,3098532
2,57,3053985
2,58,3194865
2,59,2796715
2,60,3139767
2,61,3410833
2,62,3808683
2,63,4520778
2,64,4064150
2,65,2875523
2,66,2214979
2,67,3937738
2,68,3137833
2,69,3774807
2,70,3283617
2,71,2124076
2,72,3314186
2,73,2000131
2,74,3610946
2,75,2501618
2,76,2463746
2,77,3730929
2,78,3869014
2,79,2103827
2,80,2240332
2,81,2412438
2,82,6307187
2,83,4398849
2,84,4628533
2,85,2451510
2,86,2251328
2,87,2322783
2,88,1902891
2,89,2108582
2,90,1447460
2,91,1957895
2,92,1440650
2,93,1672535
2,94,7010945
2,95,6167960
2,96,3102315
2,97,2039815
2,98,1666244
2,99,1556207
2,100,1529090
3,1,3209757
3,2,5628747
3,3,2125013
3,4,3283234
3,5,3927176
3,6,1995931
3,7,2528985
3,8,3114127
3,9,2547727
3,10,3384313
3,11,2409032
3,12,1767485
3,13,2328614
3,14,2078226
3,15,2278666
3,16,2743314
3,17,5110444
3,18,4299430
3,19,6027015
3,20,5285433
3,21,3475575
3,22,3460177
3,23,5787591
3,24,6368320
3,25,3824648
3,26,4971941
3,27,12899680
3,28,4258147
3,29,3725167
3,30,3857732
3,31,3392243
3,32,7662737
3,33,4508814
3,34,5330077
3,35,3543240
3,36,8224019
3,37,7461920
3,38,8271928
3,39,3379753
3,40,3685875
3,41,3898178
3,42,9474866
3,43,6700711
3,44,3406727
3,45,5981058
3,46,2605212
3,47,2888218
3,48,3679303
3,49,4692692
3,50,4317726
3,51,6409726
3,52,3001836
3,53,6740787
3,54,3055732
3,55,7258659
3,56,6712666
3,57,2493539
3,58,4051369
3,59,3373917
3,60,2708899
3,61,4296783
3,62,2549257
3,63,2542792
3,64,2992741
3,65,3000401
3,66,2270291
3,67,3262341
3,68,3097871
3,69,1847887
3,70,4344016
3,71,7115660
3,72,3670905
3,73,1846437
3,74,2614586
3,75,2013585
3,76,3839953
3,77,2486256
3,78,4753656
3,79,6012657
3,80,3159058
3,81,2852956
3,82,4354500
3,83,3369612
3,84,3756390
3,85,3764316
3,86,2192306
3,87,2085194
3,88,2520326
3,89,2624678
3,90,1668636
3,91,3348066
3,92,1675023
3,93,2087776
3,94,2379480
3,95,1816578
3,96,2534227
3,97,1594157
3,98,1807975
3,99,1716922
3,100,1549796
4,1,8158800
4,2,11217887
4,3,6174085
4,4,8936943
4,5,5045688
4,6,7792891
4,7,8169488
4,8,8612817
4,9,9721866
4,10,9914630
4,11,2442181
4,12,3450076
4,13,5573385
4,14,6216826
4,15,6477388
4,16,15693547
4,17,2345422
4,18,2487035
4,19,2831570
4,20,2431065
4,21,5330251
4,22,2454176
4,23,3433910
4,24,3319188
4,25,2934724
4,26,4680121
4,27,5481687
4,28,8392572
4,29,4166593
4,30,2909583
4,31,3166014
4,32,7500788
4,33,1958996
4,34,2876414
4,35,2472117
4,36,2081687
4,37,2120632
4,38,1649651
4,39,1963647
4,40,2131244
4,41,2726308
4,42,1709473
4,43,2439791
4,44,1975060
4,45,2013833
4,46,2304120
4,47,3068117
4,48,2070040
4,49,2554570
4,50,2009540
4,51,2237794
4,52,2457098
4,53,2356168
4,54,6226646
4,55,7366268
4,56,7017922
4,57,6740416
4,58,5757957
4,59,2858158
4,60,8541567
4,61,3794599
4,62,6338210
4,63,10001635
4,64,2469187
4,65,7585076
4,66,6674741
4,67,3198354
4,68,7454083
4,69,9780940
4,70,8800668
4,71,4985504
4,72,4718687
4,73,11375299
4,74,5917412
4,75,3981424
4,76,3695895
4,77,4015951
4,78,3615307
4,79,2427875
4,80,2004643
4,81,3150822
4,82,4070097
4,83,3569320
4,84,3702991
4,85,5003934
4,86,5415220
4,87,3658312
4,88,4213594
4,89,5535536
4,90,4394400
4,91,3349848
4,92,8775308
4,93,4794830
4,94,7270913
4,95,4721256
4,96,3852335
4,97,8489761
4,98,4844971
4,99,3208737
4,100,3365036
5,1,3325413
5,2,2299255
5,3,1972256
5,4,3294563
5,5,3777148
5,6,2676502
5,7,3489602
5,8,4036015
5,9,3945167
5,10,5569351
5,11,2675761
5,12,4171372
5,13,5281444
5,14,4311811
5,15,4042316
5,16,2817226
5,17,6406495
5,18,4163580
5,19,4628855
5,20,4674056
5,21,5553301
5,22,7966578
5,23,3265825
5,24,2457155
5,25,2922725
5,26,3316368
5,27,2414372
5,28,3102804
5,29,7932402
5,30,3313183
5,31,6693784
5,32,2655389
5,33,4320989
5,34,7717971
5,35,5924756
5,36,2638941
5,37,3447279
5,38,5942480
5,39,9214757
5,40,4706853
5,41,5155474
5,42,4474356
5,43,6090658
5,44,4348450
5,45,5656024
5,46,6241260
5,47,3921108
5,48,4143206
5,49,3369744
5,50,4794927
5,51,6000261
5,52,7678328
5,53,6007269
5,54,5979275
5,55,3772694
5,56,6877108
5,57,2195712
5,58,2874661
5,59,2593309
5,60,2690999
5,61,2797916
5,62,2714062
5,63,2986790
5,64,2434380
5,65,1791376
5,66,2036968
5,67,2638360
5,68,1743732
5,69,2443234
5,70,2120356
5,71,1690153
5,72,2504338
5,73,2635795
5,74,1584516
5,75,2149778
5,76,6315083
5,77,5381996
5,78,2881468
5,79,2808020
5,80,4894069
5,81,10250050
5,82,4653237
5,83,1958409
5,84,5076334
5,85,4660093
5,86,4797270
5,87,4359423
5,88,3790483
5,89,2184868
5,90,9773224
5,91,3042286
5,92,2567890
5,93,2056989
5,94,7629611
5,95,3122236
5,96,3388402
5,97,8577745
5,98,2694833
5,99,2591351
5,100,3458194
