iteration,operation,ns
1,1,2660767
1,2,15549476
1,3,6102393
1,4,14098110
1,5,7127640
1,6,5169495
1,7,4177677
1,8,3359149
1,9,2711940
1,10,7540813
1,11,5252031
1,12,7938560
1,13,6950803
1,14,3193004
1,15,5674594
1,16,7948770
1,17,6919012
1,18,8129365
1,19,4310155
1,20,11182181
1,21,6588608
1,22,10778050
1,23,7351751
1,24,7840253
1,25,7488617
1,26,4921787
1,27,8065482
1,28,6935832
1,29,3459257
1,30,9867806
1,31,7314624
1,32,12550046
1,33,7103009
1,34,7874932
1,35,9844091
1,36,4534247
1,37,4293067
1,38,6153859
1,39,1829380
1,40,3146947
1,41,5639947
1,42,2269320
1,43,4557794
1,44,1971304
1,45,5335511
1,46,4840831
1,47,6434241
1,48,4408135
1,49,7286488
1,50,13138511
1,51,4743093
1,52,5498829
1,53,4643671
1,54,20547624
1,55,3054504
1,56,16535523
1,57,11517653
1,58,5905436
1,59,13810922
1,60,18867265
1,61,12090231
1,62,7394339
1,63,11015865
1,64,12065794
1,65,12448544
1,66,11136514
1,67,8869662
1,68,3025974
1,69,10921944
1,70,7669708
1,71,10806037
1,72,15879278
1,73,3390504
1,74,13958273
1,75,18895997
1,76,15859307
1,77,21995942
1,78,11623423
1,79,7905377
1,80,8171560
1,81,7769691
1,82,8959370
1,83,3311704
1,84,4443799
1,85,6951560
1,86,6313715
1,87,4328727
1,88,7940077
1,89,6227693
1,90,6140401
1,91,19849886
1,92,4726025
1,93,6646821
1,94,7271783
1,95,10722731
1,96,8708373
1,97,6168068
1,98,1772419
1,99,3722694
1,100,6375906
2,1,4209851
2,2,2288931
2,3,4432038
2,4,4903412
2,5,6449142
2,6,4374549
2,7,3801294
2,8,4261626
2,9,4000504
2,10,6414072
2,11,4547531
2,12,8557152
2,13,5902915
2,14,21352823
2,15,15218983
2,16,11050472
2,17,11138843
2,18,4277560
2,19,13379778
2,20,5959150
2,21,6028556
2,22,12604297
2,23,5505215
2,24,6024203
2,25,7396603
2,26,7614608
2,27,4905730
2,28,3178855
2,29,7139703
2,30,10438984
2,31,6681248
2,32,6881254
2,33,3332069
2,34,5825141
2,35,6561945
2,36,7519991
2,37,4682130
2,38,5694122
2,39,4713500
2,40,3604613
2,41,12840900
2,42,13193231
2,43,10163704
2,44,20001457
2,45,9267821
2,46,14407469
2,47,13909924
2,48,12750740
2,49,7400716
2,50,14192006
2,51,10037938
2,52,4506532
2,53,9802954
2,54,10101461
2,55,7264821
2,56,9547601
2,57,6363118
2,58,7838622
2,59,2588643
2,60,6764403
2,61,7214290
2,62,7190944
2,63,8093033
2,64,13015006
2,65,5175797
2,66,7694382
2,67,6715194
2,68,9215608
2,69,7095397
2,70,11218125
2,71,5324453
2,72,11592860
2,73,7656178
2,74,16421767
2,75,4871983
2,76,6464188
2,77,5311039
2,78,5102431
2,79,3360345
2,80,4550356
2,81,10923450
2,82,16794111
2,83,9636282
2,84,5602404
2,85,8716953
2,86,11604441
2,87,7992902
2,88,16402860
2,89,3351481
2,90,6153806
2,91,7581826
2,92,5272489
2,93,3918058
2,94,6872864
2,95,2924801
2,96,3893107
2,97,5350021
2,98,4365799
2,99,1869969
2,100,3941445
3,1,3142692
3,2,1907206
3,3,2245315
3,4,4429976
3,5,4559206
3,6,6745975
3,7,6186392
3,8,2513223
3,9,5712217
3,10,13950295
3,11,4518736
3,12,2708857
3,13,5308987
3,14,10195817
3,15,3792376
3,16,7476999
3,17,12135016
3,18,11610287
3,19,5635132
3,20,4876803
3,21,8670192
3,22,7762096
3,23,6972028
3,24,4616176
3,25,8285584
3,26,4232518
3,27,5627249
3,28,5505471
3,29,6943973
3,30,5728895
3,31,4972778
3,32,2237646
3,33,5958090
3,34,4750302
3,35,3798693
3,36,7629009
3,37,4092985
3,38,5251707
3,39,2355365
3,40,2439881
3,41,2772377
3,42,16414345
3,43,10469029
3,44,6496778
3,45,8615589
3,46,11381640
3,47,3221621
3,48,11522328
3,49,7229333
3,50,7652124
3,51,7839288
3,52,11275485
3,53,3905176
3,54,4926842
3,55,7244795
3,56,3894011
3,57,6060795
3,58,2690583
3,59,3218987
3,60,5251010
3,61,6278439
3,62,14971445
3,63,8600026
3,64,6604091
3,65,6687286
3,66,3037623
3,67,7446168
3,68,4681818
3,69,22591363
3,70,6994185
3,71,7407845
3,72,16215966
3,73,7775264
3,74,12391824
3,75,4646868
3,76,9085755
3,77,3473274
3,78,9992014
3,79,3021001
3,80,7577145
3,81,5150286
3,82,4974126
3,83,5011268
3,84,5275230
3,85,7682459
3,86,9572085
3,87,5090633
3,88,9841992
3,89,4888231
3,90,10864145
3,91,6071118
3,92,6047947
3,93,11006981
3,94,6571484
3,95,5744155
3,96,11495736
3,97,4136835
3,98,5362335
3,99,12151438
3,100,10103071
4,1,5127820
4,2,5734429
4,3,4504142
4,4,7421251
4,5,6376677
4,6,2411126
4,7,4543957
4,8,5029259
4,9,5032324
4,10,5277588
4,11,4601379
4,12,13299610
4,13,11126785
4,14,4002875
4,15,7868689
4,16,7328594
4,17,7185184
4,18,17836744
4,19,14795027
4,20,5572328
4,21,6820462
4,22,4056957
4,23,9137182
4,24,4775573
4,25,5461099
4,26,6373278
4,27,2762937
4,28,6980582
4,29,6106463
4,30,10918678
4,31,10341280
4,32,7935991
4,33,5997308
