iteration,operation,ns
1,1,1981709
1,2,2474864
1,3,1530184
1,4,3128077
1,5,2688055
1,6,1574602
1,7,1947869
1,8,2396256
1,9,2401191
1,10,2543903
1,11,1721604
1,12,2398076
1,13,3124743
1,14,2106912
1,15,2547196
1,16,2614325
1,17,1735843
1,18,1818891
1,19,3109936
1,20,1640317
1,21,1421703
1,22,2034581
1,23,1916277
1,24,1572673
1,25,4271038
1,26,2967035
1,27,1719242
1,28,2221734
1,29,3164318
1,30,2249298
1,31,2578760
1,32,2167735
1,33,1640830
1,34,1865400
1,35,2050699
1,36,2598162
1,37,2149374
1,38,1908180
1,39,1601568
1,40,2966785
1,41,2265400
1,42,5977720
1,43,2490327
1,44,2613516
1,45,3008937
1,46,3939936
1,47,2949651
1,48,2141534
1,49,1835874
1,50,3791844
1,51,5008177
1,52,2720168
1,53,2190164
1,54,2029356
1,55,3828731
1,56,2259716
1,57,1742982
1,58,2799865
1,59,2499210
1,60,1754665
1,61,1700917
1,62,1914151
1,63,3138001
1,64,2783583
1,65,2705952
1,66,1577836
1,67,1679520
1,68,2252240
1,69,2631415
1,70,2735608
1,71,3193184
1,72,1930671
1,73,3401078
1,74,5775979
1,75,2221190
1,76,1711704
1,77,2860259
1,78,1863677
1,79,2902950
1,80,1515087
1,81,2333239
1,82,2116369
1,83,2781414
1,84,2680733
1,85,2399339
1,86,2936557
1,87,3486419
1,88,1573806
1,89,2648941
1,90,2576032
1,91,2145192
1,92,3236032
1,93,2789230
1,94,2675762
1,95,2387311
1,96,1737959
1,97,2735412
1,98,3443603
1,99,3731284
1,100,2370427
2,1,3394117
2,2,2449184
2,3,3112465
2,4,1676412
2,5,1903535
2,6,1731481
2,7,2406577
2,8,1596983
2,9,2959570
2,10,3981498
2,11,2056250
2,12,2185660
2,13,2887249
2,14,1543669
2,15,2185750
2,16,1747384
2,17,3320457
2,18,2198102
2,19,1586969
2,20,2696895
2,21,2170629
2,22,1483073
2,23,2748113
2,24,2824910
2,25,3882305
2,26,2275493
2,27,1656988
2,28,2033390
2,29,3604781
2,30,2039318
2,31,1759027
2,32,2086772
2,33,2941386
2,34,2227571
2,35,1588307
2,36,4157070
2,37,2002889
2,38,4478663
2,39,4229871
2,40,1700856
2,41,3272724
2,42,1663556
2,43,1943968
2,44,1956354
2,45,2090598
2,46,2382700
2,47,2369248
2,48,3157210
2,49,3893166
2,50,2321678
2,51,2159458
2,52,2058286
2,53,1750645
2,54,2150735
2,55,2302140
2,56,3704042
2,57,2282754
2,58,1613689
2,59,2997299
2,60,2882700
2,61,1811853
2,62,1795972
2,63,2622747
2,64,2596920
2,65,1996355
2,66,2137450
2,67,2367039
2,68,2126411
2,69,2019822
2,70,2228542
2,71,2903442
2,72,3597262
2,73,1790250
2,74,1846060
2,75,1793306
2,76,3556786
2,77,2296394
2,78,3165160
2,79,2624761
2,80,2473432
2,81,2183763
2,82,2129538
2,83,1599388
2,84,4045194
2,85,2413582
2,86,2280004
2,87,3083413
2,88,2421832
2,89,2372916
2,90,1628451
2,91,1414214
2,92,4381443
2,93,1826803
2,94,1778616
2,95,1329403
2,96,1624460
2,97,2477425
2,98,2383249
2,99,2424761
2,100,1928530
3,1,4184028
3,2,2943056
3,3,1993473
3,4,2508484
3,5,3855421
3,6,2468624
3,7,2511573
3,8,2503400
3,9,2146967
3,10,2175790
3,11,2366584
3,12,1767086
3,13,3487614
3,14,3559204
3,15,2317139
3,16,1655831
3,17,2240460
3,18,2085420
3,19,3260524
3,20,1939421
3,21,2977489
3,22,1889925
3,23,2474506
3,24,2723963
3,25,2511042
3,26,3795806
3,27,1803357
3,28,2708148
3,29,2101235
3,30,3062624
3,31,1995190
3,32,1742678
3,33,1658263
3,34,1740572
3,35,4257080
3,36,2449771
3,37,3251213
3,38,2245161
3,39,2071047
3,40,2987895
3,41,2902867
3,42,1933838
3,43,2667987
3,44,2460220
3,45,1626809
3,46,2412857
3,47,2767535
3,48,2077943
3,49,2403246
3,50,3546147
3,51,2366295
3,52,2268577
3,53,1554481
3,54,2817736
3,55,2357420
3,56,2955389
3,57,1919999
3,58,3565638
3,59,1773851
3,60,2335208
3,61,1959682
3,62,2256216
3,63,2738378
3,64,2023717
3,65,3900280
3,66,2292286
3,67,2040998
3,68,3842076
3,69,2365757
3,70,2278858
3,71,1808841
3,72,2872322
3,73,2357279
3,74,3059940
3,75,3376889
3,76,1969452
3,77,2915703
3,78,2054047
3,79,2639597
3,80,3214936
3,81,3503921
3,82,2754112
3,83,1637238
3,84,2162221
3,85,2297917
3,86,2790572
3,87,3910626
3,88,3743860
3,89,2565372
3,90,1378686
3,91,2401881
3,92,3015302
3,93,1744287
3,94,2225687
3,95,2343118
3,96,1862448
3,97,1694359
3,98,2357700
3,99,1624827
3,100,2378689
4,1,1376169
4,2,2211349
4,3,1752018
4,4,1669329
4,5,2233144
4,6,1939292
4,7,2592623
4,8,2303305
4,9,1452935
4,10,2011319
4,11,2226682
4,12,2375443
