iteration,operation,ns
1,1,915683
1,2,4688321
1,3,1427656
1,4,3100309
1,5,1292594
1,6,3263637
1,7,3111993
1,8,1075359
1,9,3722426
1,10,1271441
1,11,3856975
1,12,1125677
1,13,1105246
1,14,962890
1,15,822762
1,16,2956598
1,17,1131675
1,18,3357312
1,19,886902
1,20,1189502
1,21,1108990
1,22,1052830
1,23,1111073
1,24,2834996
1,25,3125904
1,26,3020111
1,27,1123766
1,28,4274551
1,29,990316
1,30,3320436
1,31,1152973
1,32,843272
1,33,2545985
1,34,4730283
1,35,3360457
1,36,3348106
1,37,3160523
1,38,1121980
1,39,2943235
1,40,2742754
1,41,3846356
1,42,1196503
1,43,3270609
1,44,1008113
1,45,4001830
1,46,749140
1,47,1164006
1,48,3419260
1,49,3051375
1,50,3313273
1,51,1115207
1,52,4188707
1,53,4464032
1,54,2655800
1,55,4200832
1,56,4970083
1,57,1064509
1,58,1305940
1,59,2473811
1,60,2876568
1,61,1109619
1,62,912832
1,63,2997273
1,64,884132
1,65,2924703
1,66,1127836
1,67,790034
1,68,3104472
1,69,3358785
1,70,3094982
1,71,1416559
1,72,905123
1,73,1078817
1,74,3659495
1,75,3728118
1,76,3254059
1,77,1721742
1,78,1345243
1,79,1551626
1,80,1839994
1,81,4889511
1,82,4892145
1,83,1123434
1,84,1406118
1,85,1297384
1,86,1169598
1,87,3279422
1,88,1310744
1,89,4663380
1,90,4645354
1,91,1157735
1,92,3933522
1,93,5756485
1,94,3789391
1,95,1163677
1,96,1260442
1,97,4382539
1,98,3049130
1,99,1097006
1,100,887919
2,1,3226760
2,2,3218583
2,3,4481699
2,4,2940984
2,5,5005953
2,6,1368303
2,7,1334690
2,8,3045296
2,9,4179617
2,10,1452073
2,11,3617382
2,12,2651469
2,13,1207977
2,14,3181672
2,15,2459822
2,16,1143767
2,17,932552
2,18,1154522
2,19,1205036
2,20,1056385
2,21,1263000
2,22,1082207
2,23,1061636
2,24,1172774
2,25,3222089
2,26,1133377
2,27,3363041
2,28,967149
2,29,3174281
2,30,3569740
2,31,1109498
2,32,2906891
2,33,4156523
2,34,2862996
2,35,3332290
2,36,670285
2,37,1276193
2,38,1279173
2,39,1182253
2,40,2871341
2,41,2773884
2,42,4307163
2,43,820695
2,44,1318935
2,45,1303960
2,46,2394843
2,47,4080510
2,48,1462624
2,49,3394327
2,50,3122134
2,51,1202287
2,52,3661020
2,53,2894673
2,54,4814406
2,55,1062712
2,56,1171466
2,57,2701537
2,58,1112285
2,59,1172864
2,60,1232936
2,61,981405
2,62,1111585
2,63,1164741
2,64,2916261
2,65,1165162
2,66,4393992
2,67,3193211
2,68,1315558
2,69,3124355
2,70,4123121
2,71,1131376
2,72,5211779
2,73,943958
2,74,1173417
2,75,4679692
2,76,1084558
2,77,3048292
2,78,4745841
2,79,3245432
2,80,3422630
2,81,3565396
2,82,981727
2,83,1271065
2,84,3834335
2,85,3317566
2,86,2793914
2,87,3351067
2,88,1573680
2,89,1573266
2,90,1160498
2,91,1179396
2,92,1093505
2,93,961704
2,94,1272943
2,95,854848
2,96,2577664
2,97,4995114
2,98,3198512
2,99,3560995
2,100,3157437
3,1,1110421
3,2,1240555
3,3,3276422
3,4,3338322
3,5,2692782
3,6,4615097
3,7,4739632
3,8,3354587
3,9,1154241
3,10,3242564
3,11,1106457
3,12,1068918
3,13,2439005
3,14,1036244
3,15,1042699
3,16,3372866
3,17,2759004
3,18,1117078
3,19,3205276
3,20,1365925
3,21,2595956
3,22,3314237
3,23,2253733
3,24,3537653
3,25,2996679
3,26,1336201
3,27,1066517
3,28,902621
3,29,3056853
3,30,1103155
3,31,1099861
3,32,1299140
3,33,1185523
3,34,885553
3,35,1023046
3,36,1293106
3,37,1300511
3,38,1289171
3,39,3441865
3,40,3036663
3,41,4781004
3,42,1054945
3,43,3319489
3,44,3883631
3,45,5849559
3,46,4436100
3,47,982277
3,48,3605234
3,49,2819273
3,50,3534045
3,51,1293696
3,52,1006943
3,53,821588
3,54,3764603
3,55,3154553
3,56,860312
3,57,942649
3,58,3253859
3,59,2965481
3,60,1136027
3,61,4325086
3,62,1490196
3,63,3360808
3,64,1237335
3,65,3303878
3,66,1159793
3,67,3416745
3,68,4332569
3,69,3338527
3,70,4962088
3,71,1184236
3,72,3327277
3,73,3072914
3,74,1060196
3,75,2819806
3,76,4575541
3,77,1210571
3,78,4535236
3,79,1210289
3,80,1252718
3,81,741786
3,82,4458585
3,83,4408937
3,84,3639056
3,85,5026687
3,86,3854151
3,87,3945245
3,88,1129050
3,89,1110111
3,90,1286576
3,91,2532230
3,92,806652
3,93,842751
3,94,1075179
3,95,5662741
3,96,2947800
3,97,4054135
3,98,4363328
3,99,3895774
3,100,1746228
4,1,2770734
4,2,1191693
4,3,4482634
4,4,3205266
4,5,3002002
4,6,1202445
4,7,739447
4,8,1098414
4,9,1254103
4,10,3867575
4,11,3347237
4,12,3393688
4,13,2911024
4,14,1144017
4,15,1022778
4,16,3385541
4,17,1222098
4,18,3201954
4,19,935413
4,20,936147
4,21,2878479
4,22,3123765
4,23,1285677
4,24,1092820
4,25,3602790
4,26,1323323
4,27,1041412
4,28,3000332
4,29,1182607
4,30,1042283
4,31,1277552
4,32,1057727
4,33,968792
4,34,1170146
4,35,1183722
4,36,4266769
4,37,1482698
4,38,3306772
4,39,2783920
4,40,3305100
4,41,1048558
4,42,1193268
4,43,792892
4,44,3077783
4,45,2959027
4,46,1099172
4,47,3548314
4,48,3526806
4,49,1083754
4,50,3026958
4,51,1250742
4,52,2649886
4,53,3203558
4,54,3440224
4,55,4483291
4,56,3025462
4,57,4453055
4,58,1455078
4,59,2934156
4,60,741465
4,61,1121552
4,62,3680678
4,63,3088835
4,64,4092023
4,65,4563603
4,66,1082065
4,67,3323118
4,68,3129929
4,69,1229843
4,70,3151917
4,71,3366052
4,72,1082885
4,73,3224513
4,74,2747518
4,75,3873944
4,76,3032094
