iteration,operation,ns
1,1,14447301
1,2,3207463
1,3,21767332
1,4,7517206
1,5,7276535
1,6,10759775
1,7,13792316
1,8,8427075
1,9,5667036
1,10,10828792
1,11,5365087
1,12,6716834
1,13,4850237
1,14,4380722
1,15,7478857
1,16,7231325
1,17,5687617
1,18,4041117
1,19,30925172
1,20,20139850
1,21,11009924
1,22,10075335
1,23,20813868
1,24,5873046
1,25,9810885
1,26,5529522
1,27,9415480
1,28,10162658
1,29,22102404
1,30,10198967
1,31,2707641
1,32,6235682
1,33,11815259
1,34,16809547
1,35,16468681
1,36,4133431
1,37,9066159
1,38,3592361
1,39,8760179
1,40,9238948
1,41,7369721
1,42,11685017
1,43,9559627
1,44,22715176
1,45,7791022
1,46,7552129
1,47,29057826
1,48,8586956
1,49,6066718
1,50,4674249
1,51,6499171
1,52,8529683
1,53,9597573
1,54,4556208
1,55,5961364
1,56,3070253
1,57,6929293
1,58,5740316
1,59,2875256
1,60,9505035
1,61,10726827
1,62,12331540
1,63,11937255
1,64,9481428
1,65,2419668
1,66,2214574
1,67,3731718
1,68,6974760
1,69,6221579
1,70,6362225
1,71,7963851
1,72,6161182
1,73,5065106
1,74,8962131
1,75,6589622
1,76,5085607
1,77,7647533
1,78,7633447
1,79,5131293
1,80,10239401
1,81,3949093
1,82,5440349
1,83,10688108
1,84,6049983
1,85,14267421
1,86,16165119
1,87,4453428
1,88,10082093
1,89,9982401
1,90,38459618
1,91,17034688
1,92,12088861
1,93,11615290
1,94,11400390
1,95,14533576
1,96,12059872
1,97,7314789
1,98,4755767
1,99,7102580
1,100,3374734
2,1,6802206
2,2,7728732
2,3,4864453
2,4,6017768
2,5,4289117
2,6,4759194
2,7,5513635
2,8,7504671
2,9,4446819
2,10,5890414
2,11,3900822
2,12,4326276
2,13,4405792
2,14,4291319
2,15,9166421
2,16,6016717
2,17,1914430
2,18,7907735
2,19,5638418
2,20,5692678
2,21,9350041
2,22,1948672
2,23,4999144
2,24,13135685
2,25,3213523
2,26,6271561
2,27,4977400
2,28,7574167
2,29,11793871
2,30,10890395
2,31,12817074
2,32,8510811
2,33,3197983
2,34,14219127
2,35,11562219
2,36,6918473
2,37,17667656
2,38,12016262
2,39,19694333
2,40,10648052
2,41,6795662
2,42,2917549
2,43,8648956
2,44,3928033
2,45,4686375
2,46,8938951
2,47,4392706
2,48,5053732
2,49,3706636
2,50,8547631
2,51,14737954
2,52,13844255
2,53,12904328
2,54,9066612
2,55,12991690
2,56,8145351
2,57,3331561
2,58,6137191
2,59,7088431
2,60,2731434
2,61,7600106
2,62,5985387
2,63,4324117
2,64,3694802
2,65,7455413
2,66,9466758
2,67,22163067
2,68,4586192
2,69,7523981
2,70,12755717
2,71,9919136
2,72,10751856
2,73,18147631
2,74,10563802
2,75,5767099
2,76,8914854
2,77,6029601
2,78,4869359
2,79,13538375
2,80,5022502
2,81,2744351
2,82,7469882
2,83,5425711
2,84,4259251
2,85,6428214
2,86,4740838
2,87,5766697
2,88,6318492
2,89,5871575
2,90,6090483
2,91,9490260
2,92,5063026
2,93,7040363
2,94,6022080
2,95,3277328
2,96,6281137
2,97,5180016
2,98,3610233
2,99,6733724
2,100,6738574
3,1,6138018
3,2,3308346
3,3,5225963
3,4,4957744
3,5,4346795
3,6,3811071
3,7,2378781
3,8,5365849
3,9,3993289
3,10,6584864
3,11,4647728
3,12,3126496
3,13,4430854
3,14,3773707
3,15,7231033
3,16,6709665
3,17,5946921
3,18,4817043
3,19,3907819
3,20,6081386
3,21,11261936
3,22,5506965
3,23,4764987
3,24,5416956
3,25,2650375
3,26,8347460
3,27,5007330
3,28,11578848
3,29,5553596
3,30,13359536
3,31,6519814
3,32,8696968
3,33,11283789
3,34,10779731
3,35,2209708
3,36,8186793
3,37,9941262
3,38,5243600
3,39,24561203
3,40,20879079
3,41,17814612
3,42,7229392
3,43,14953321
3,44,16396298
3,45,10760088
3,46,11979221
3,47,8244503
3,48,8254324
3,49,9429965
3,50,5634488
3,51,14781684
3,52,13142742
3,53,7196148
3,54,5468100
3,55,5113860
3,56,5651090
3,57,8044960
3,58,2697345
3,59,10590561
3,60,15401712
3,61,4332823
3,62,3332814
3,63,17203464
3,64,11855487
